epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1727527107850,2024-09-28T15.38.27.850,0.000,12.622,6.098,111.890
1727527107860,2024-09-28T15.38.27.860,0.010,12.988,6.829,111.829
1727527107870,2024-09-28T15.38.27.870,0.020,15.244,8.476,110.610
1727527107880,2024-09-28T15.38.27.880,0.030,21.098,5.488,108.598
1727527107890,2024-09-28T15.38.27.890,0.040,28.354,-0.183,105.854
1727527107900,2024-09-28T15.38.27.900,0.050,33.902,-5.000,103.659
1727527107910,2024-09-28T15.38.27.910,0.060,34.512,-10.122,100.061
1727527107920,2024-09-28T15.38.27.920,0.070,31.585,-13.232,91.037
1727527107930,2024-09-28T15.38.27.930,0.080,26.098,-11.341,80.549
1727527107940,2024-09-28T15.38.27.940,0.090,19.756,-5.854,72.561
1727527107950,2024-09-28T15.38.27.950,0.100,14.085,2.012,66.159
1727527107960,2024-09-28T15.38.27.960,0.110,11.524,8.232,61.098
1727527107970,2024-09-28T15.38.27.970,0.120,12.683,9.390,55.732
1727527107980,2024-09-28T15.38.27.980,0.130,15.732,5.854,50.793
1727527107990,2024-09-28T15.38.27.990,0.140,19.756,0.427,47.012
1727527108000,2024-09-28T15.38.28.000,0.150,22.439,-3.963,42.134
1727527108010,2024-09-28T15.38.28.010,0.160,22.256,-6.098,33.902
1727527108020,2024-09-28T15.38.28.020,0.170,19.634,-5.305,22.500
1727527108030,2024-09-28T15.38.28.030,0.180,15.122,-2.073,9.573
1727527108040,2024-09-28T15.38.28.040,0.190,9.390,-0.854,-2.927
1727527108050,2024-09-28T15.38.28.050,0.200,3.415,-2.500,-15.732
1727527108060,2024-09-28T15.38.28.060,0.210,-1.524,-5.183,-29.573
1727527108070,2024-09-28T15.38.28.070,0.220,-4.634,-9.085,-42.378
1727527108080,2024-09-28T15.38.28.080,0.230,-6.585,-13.476,-51.707
1727527108090,2024-09-28T15.38.28.090,0.240,-7.988,-15.122,-58.232
1727527108100,2024-09-28T15.38.28.100,0.250,-9.146,-11.220,-63.963
1727527108110,2024-09-28T15.38.28.110,0.260,-10.488,-4.207,-68.841
1727527108120,2024-09-28T15.38.28.120,0.270,-11.524,1.402,-73.232
1727527108130,2024-09-28T15.38.28.130,0.280,-12.073,3.598,-78.354
1727527108140,2024-09-28T15.38.28.140,0.290,-12.744,2.378,-83.293
1727527108150,2024-09-28T15.38.28.150,0.300,-13.963,-1.524,-87.744
1727527108160,2024-09-28T15.38.28.160,0.310,-16.037,-6.646,-92.622
1727527108170,2024-09-28T15.38.28.170,0.320,-19.268,-11.341,-98.902
1727527108180,2024-09-28T15.38.28.180,0.330,-22.683,-14.085,-106.280
1727527108190,2024-09-28T15.38.28.190,0.340,-26.341,-13.232,-111.951
1727527108200,2024-09-28T15.38.28.200,0.350,-29.512,-7.866,-114.512
1727527108210,2024-09-28T15.38.28.210,0.360,-32.073,0.732,-115.793
1727527108220,2024-09-28T15.38.28.220,0.370,-33.780,6.220,-116.463
1727527108230,2024-09-28T15.38.28.230,0.380,-34.695,6.585,-117.683
1727527108240,2024-09-28T15.38.28.240,0.390,-35.671,4.451,-118.963
1727527108250,2024-09-28T15.38.28.250,0.400,-36.402,0.488,-118.171
1727527108260,2024-09-28T15.38.28.260,0.410,-36.524,-4.085,-118.720
1727527108270,2024-09-28T15.38.28.270,0.420,-36.159,-6.768,-120.854
1727527108280,2024-09-28T15.38.28.280,0.430,-35.183,-6.707,-121.220
1727527108290,2024-09-28T15.38.28.290,0.440,-34.512,-0.854,-120.854
1727527108300,2024-09-28T15.38.28.300,0.450,-35.854,10.732,-121.341
1727527108310,2024-09-28T15.38.28.310,0.460,-38.415,22.439,-120.671
1727527108320,2024-09-28T15.38.28.320,0.470,-40.854,29.756,-119.512
1727527108330,2024-09-28T15.38.28.330,0.480,-42.622,31.768,-120.427
1727527108340,2024-09-28T15.38.28.340,0.490,-45.976,30.366,-123.841
1727527108350,2024-09-28T15.38.28.350,0.500,-49.817,24.268,-127.927
1727527108360,2024-09-28T15.38.28.360,0.510,-51.037,15.671,-135.854
1727527108370,2024-09-28T15.38.28.370,0.520,-50.671,9.512,-147.012
1727527108380,2024-09-28T15.38.28.380,0.530,-46.646,5.122,-152.927
1727527108390,2024-09-28T15.38.28.390,0.540,-39.573,3.415,-151.463
1727527108400,2024-09-28T15.38.28.400,0.550,-32.500,5.976,-149.756
1727527108410,2024-09-28T15.38.28.410,0.560,-29.207,9.756,-149.329
1727527108420,2024-09-28T15.38.28.420,0.570,-30.488,10.122,-150.915
1727527108430,2024-09-28T15.38.28.430,0.580,-35.061,8.049,-156.951
1727527108440,2024-09-28T15.38.28.440,0.590,-41.037,0.549,-167.500
1727527108450,2024-09-28T15.38.28.450,0.600,-46.707,-11.098,-177.439
1727527108460,2024-09-28T15.38.28.460,0.610,-50.671,-21.280,-174.756
1727527108470,2024-09-28T15.38.28.470,0.620,-48.476,-28.110,-159.695
1727527108480,2024-09-28T15.38.28.480,0.630,-42.134,-25.488,-147.317
1727527108490,2024-09-28T15.38.28.490,0.640,-35.427,-10.549,-142.256
1727527108500,2024-09-28T15.38.28.500,0.650,-29.756,8.415,-138.110
1727527108510,2024-09-28T15.38.28.510,0.660,-26.890,21.341,-132.622
1727527108520,2024-09-28T15.38.28.520,0.670,-25.671,24.695,-127.744
1727527108530,2024-09-28T15.38.28.530,0.680,-24.939,21.585,-123.110
1727527108540,2024-09-28T15.38.28.540,0.690,-24.634,17.378,-116.220
1727527108550,2024-09-28T15.38.28.550,0.700,-22.195,14.756,-107.805
1727527108560,2024-09-28T15.38.28.560,0.710,-18.232,14.817,-99.024
1727527108570,2024-09-28T15.38.28.570,0.720,-13.293,15.000,-91.220
1727527108580,2024-09-28T15.38.28.580,0.730,-7.378,14.817,-85.061
1727527108590,2024-09-28T15.38.28.590,0.740,-2.866,15.122,-76.707
1727527108600,2024-09-28T15.38.28.600,0.750,-0.732,15.183,-66.159
1727527108610,2024-09-28T15.38.28.610,0.760,-0.061,16.220,-57.073
1727527108620,2024-09-28T15.38.28.620,0.770,-0.976,16.159,-47.805
1727527108630,2024-09-28T15.38.28.630,0.780,-2.378,14.695,-40.854
1727527108640,2024-09-28T15.38.28.640,0.790,-3.415,11.951,-35.671
1727527108650,2024-09-28T15.38.28.650,0.800,-3.354,7.500,-26.098
1727527108660,2024-09-28T15.38.28.660,0.810,-0.915,2.866,-17.927
1727527108670,2024-09-28T15.38.28.670,0.820,2.805,0.244,-12.927
1727527108680,2024-09-28T15.38.28.680,0.830,6.037,1.341,-5.122
1727527108690,2024-09-28T15.38.28.690,0.840,6.707,5.610,5.122
1727527108700,2024-09-28T15.38.28.700,0.850,5.793,9.634,15.305
1727527108710,2024-09-28T15.38.28.710,0.860,5.793,8.232,25.366
1727527108720,2024-09-28T15.38.28.720,0.870,6.280,2.439,34.512
1727527108730,2024-09-28T15.38.28.730,0.880,7.439,-2.988,42.073
1727527108740,2024-09-28T15.38.28.740,0.890,8.720,-6.220,47.622
1727527108750,2024-09-28T15.38.28.750,0.900,10.427,-8.841,52.561
1727527108760,2024-09-28T15.38.28.760,0.910,12.927,-10.183,57.561
1727527108770,2024-09-28T15.38.28.770,0.920,14.939,-9.024,63.598
1727527108780,2024-09-28T15.38.28.780,0.930,15.976,-5.366,71.524
1727527108790,2024-09-28T15.38.28.790,0.940,17.744,-2.256,79.756
1727527108800,2024-09-28T15.38.28.800,0.950,20.366,-2.256,87.988
1727527108810,2024-09-28T15.38.28.810,0.960,23.110,-4.817,96.098
1727527108820,2024-09-28T15.38.28.820,0.970,24.146,-7.500,102.256
1727527108830,2024-09-28T15.38.28.830,0.980,22.866,-10.366,105.610
1727527108840,2024-09-28T15.38.28.840,0.990,19.695,-13.171,107.378
1727527108850,2024-09-28T15.38.28.850,1.000,16.524,-15.854,110.061
1727527108860,2024-09-28T15.38.28.860,1.010,15.427,-16.951,115.549
1727527108870,2024-09-28T15.38.28.870,1.020,16.646,-15.793,122.927
1727527108880,2024-09-28T15.38.28.880,1.030,19.024,-12.195,130.122
1727527108890,2024-09-28T15.38.28.890,1.040,21.646,-9.756,135.976
1727527108900,2024-09-28T15.38.28.900,1.050,23.902,-8.720,140.793
1727527108910,2024-09-28T15.38.28.910,1.060,24.756,-9.756,144.817
1727527108920,2024-09-28T15.38.28.920,1.070,24.146,-12.805,147.195
1727527108930,2024-09-28T15.38.28.930,1.080,22.378,-16.037,146.463
1727527108940,2024-09-28T15.38.28.940,1.090,20.976,-17.195,144.329
1727527108950,2024-09-28T15.38.28.950,1.100,20.549,-15.061,146.098
1727527108960,2024-09-28T15.38.28.960,1.110,21.098,-9.268,150.244
1727527108970,2024-09-28T15.38.28.970,1.120,22.378,-2.500,153.659
1727527108980,2024-09-28T15.38.28.980,1.130,24.695,1.463,157.683
1727527108990,2024-09-28T15.38.28.990,1.140,28.537,1.341,161.829
1727527109000,2024-09-28T15.38.29.000,1.150,31.280,-2.561,162.988
1727527109010,2024-09-28T15.38.29.010,1.160,31.220,-8.537,159.634
1727527109020,2024-09-28T15.38.29.020,1.170,28.171,-12.439,153.049
1727527109030,2024-09-28T15.38.29.030,1.180,22.561,-12.866,145.976
