epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1727527107849,2024-09-28T15.38.27.849,0.000,0.124,0.035,0.915
1727527107859,2024-09-28T15.38.27.859,0.010,0.115,0.015,0.935
1727527107869,2024-09-28T15.38.27.869,0.020,0.090,-0.012,0.955
1727527107879,2024-09-28T15.38.27.879,0.030,0.096,-0.018,0.981
1727527107889,2024-09-28T15.38.27.889,0.040,0.108,-0.011,0.997
1727527107899,2024-09-28T15.38.27.899,0.050,0.057,-0.001,1.013
1727527107909,2024-09-28T15.38.27.909,0.060,-0.015,-0.002,1.010
1727527107919,2024-09-28T15.38.27.919,0.070,-0.005,0.003,0.995
1727527107929,2024-09-28T15.38.27.929,0.080,0.010,0.004,0.985
1727527107939,2024-09-28T15.38.27.939,0.090,0.008,-0.003,0.970
1727527107949,2024-09-28T15.38.27.949,0.100,0.018,-0.012,0.972
1727527107959,2024-09-28T15.38.27.959,0.110,0.041,-0.032,0.988
1727527107969,2024-09-28T15.38.27.969,0.120,0.054,-0.046,0.994
1727527107979,2024-09-28T15.38.27.979,0.130,0.044,-0.062,0.996
1727527107989,2024-09-28T15.38.27.989,0.140,0.011,-0.069,1.010
1727527107999,2024-09-28T15.38.27.999,0.150,-0.040,-0.074,1.022
1727527108009,2024-09-28T15.38.28.009,0.160,-0.076,-0.073,1.023
1727527108019,2024-09-28T15.38.28.019,0.170,-0.085,-0.065,1.021
1727527108029,2024-09-28T15.38.28.029,0.180,-0.120,-0.061,1.030
1727527108039,2024-09-28T15.38.28.039,0.190,-0.193,-0.062,1.038
1727527108049,2024-09-28T15.38.28.049,0.200,-0.222,-0.061,1.050
1727527108059,2024-09-28T15.38.28.059,0.210,-0.191,-0.053,1.077
1727527108069,2024-09-28T15.38.28.069,0.220,-0.178,-0.049,1.091
1727527108079,2024-09-28T15.38.28.079,0.230,-0.186,-0.056,1.090
1727527108089,2024-09-28T15.38.28.089,0.240,-0.152,-0.060,1.083
1727527108099,2024-09-28T15.38.28.099,0.250,-0.070,-0.056,1.070
1727527108109,2024-09-28T15.38.28.109,0.260,0.000,-0.055,1.055
1727527108119,2024-09-28T15.38.28.119,0.270,0.036,-0.048,1.042
1727527108129,2024-09-28T15.38.28.129,0.280,0.053,-0.036,1.031
1727527108139,2024-09-28T15.38.28.139,0.290,0.043,-0.021,1.031
1727527108149,2024-09-28T15.38.28.149,0.300,0.017,-0.002,1.048
1727527108159,2024-09-28T15.38.28.159,0.310,0.004,0.016,1.053
1727527108169,2024-09-28T15.38.28.169,0.320,0.044,0.037,1.059
1727527108179,2024-09-28T15.38.28.179,0.330,0.085,0.052,1.060
1727527108189,2024-09-28T15.38.28.189,0.340,0.103,0.066,1.050
1727527108199,2024-09-28T15.38.28.199,0.350,0.157,0.079,1.039
1727527108209,2024-09-28T15.38.28.209,0.360,0.201,0.079,1.038
1727527108219,2024-09-28T15.38.28.219,0.370,0.194,0.068,1.029
1727527108229,2024-09-28T15.38.28.229,0.380,0.184,0.058,1.008
1727527108239,2024-09-28T15.38.28.239,0.390,0.170,0.052,0.985
1727527108249,2024-09-28T15.38.28.249,0.400,0.160,0.042,0.963
1727527108259,2024-09-28T15.38.28.259,0.410,0.187,0.037,0.961
1727527108269,2024-09-28T15.38.28.269,0.420,0.208,0.043,0.982
1727527108279,2024-09-28T15.38.28.279,0.430,0.220,0.062,0.995
1727527108289,2024-09-28T15.38.28.289,0.440,0.262,0.086,0.989
1727527108299,2024-09-28T15.38.28.299,0.450,0.297,0.096,0.986
1727527108309,2024-09-28T15.38.28.309,0.460,0.268,0.095,0.992
1727527108319,2024-09-28T15.38.28.319,0.470,0.227,0.102,0.995
1727527108329,2024-09-28T15.38.28.329,0.480,0.216,0.109,0.987
1727527108339,2024-09-28T15.38.28.339,0.490,0.193,0.120,0.964
1727527108349,2024-09-28T15.38.28.349,0.500,0.189,0.124,0.926
1727527108359,2024-09-28T15.38.28.359,0.510,0.256,0.123,0.911
1727527108369,2024-09-28T15.38.28.369,0.520,0.276,0.103,0.926
1727527108379,2024-09-28T15.38.28.379,0.530,0.236,0.075,0.952
1727527108389,2024-09-28T15.38.28.389,0.540,0.244,0.065,0.973
1727527108399,2024-09-28T15.38.28.399,0.550,0.293,0.066,0.986
1727527108409,2024-09-28T15.38.28.409,0.560,0.316,0.069,0.966
1727527108419,2024-09-28T15.38.28.419,0.570,0.374,0.085,0.920
1727527108429,2024-09-28T15.38.28.429,0.580,0.443,0.108,0.863
1727527108439,2024-09-28T15.38.28.439,0.590,0.479,0.100,0.834
1727527108449,2024-09-28T15.38.28.449,0.600,0.400,0.078,0.833
1727527108459,2024-09-28T15.38.28.459,0.610,0.221,0.043,0.878
1727527108469,2024-09-28T15.38.28.469,0.620,0.184,0.037,0.920
1727527108479,2024-09-28T15.38.28.479,0.630,0.317,0.051,0.960
1727527108489,2024-09-28T15.38.28.489,0.640,0.467,0.046,0.981
1727527108499,2024-09-28T15.38.28.499,0.650,0.531,0.028,0.958
1727527108509,2024-09-28T15.38.28.509,0.660,0.524,0.013,0.913
1727527108519,2024-09-28T15.38.28.519,0.670,0.503,-0.002,0.873
1727527108529,2024-09-28T15.38.28.529,0.680,0.468,-0.013,0.854
1727527108539,2024-09-28T15.38.28.539,0.690,0.440,-0.026,0.872
1727527108549,2024-09-28T15.38.28.549,0.700,0.458,-0.041,0.895
1727527108559,2024-09-28T15.38.28.559,0.710,0.473,-0.057,0.919
1727527108569,2024-09-28T15.38.28.569,0.720,0.506,-0.064,0.947
1727527108579,2024-09-28T15.38.28.579,0.730,0.555,-0.050,0.966
1727527108589,2024-09-28T15.38.28.589,0.740,0.554,-0.042,0.958
1727527108599,2024-09-28T15.38.28.599,0.750,0.566,-0.046,0.944
