epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1727527380342,2024-09-28T15.43.00.342,0.000,25.427,1.341,162.195
1727527380352,2024-09-28T15.43.00.352,0.010,25.549,-0.061,163.232
1727527380362,2024-09-28T15.43.00.362,0.020,26.585,-1.220,168.902
1727527380372,2024-09-28T15.43.00.372,0.030,25.854,-2.256,175.610
1727527380382,2024-09-28T15.43.00.382,0.040,23.293,-2.622,177.622
1727527380392,2024-09-28T15.43.00.392,0.050,19.634,-1.768,175.366
1727527380402,2024-09-28T15.43.00.402,0.060,17.561,0.732,176.159
1727527380412,2024-09-28T15.43.00.412,0.070,18.476,5.488,180.366
1727527380422,2024-09-28T15.43.00.422,0.080,20.732,10.610,182.500
1727527380432,2024-09-28T15.43.00.432,0.090,23.171,14.146,181.037
1727527380442,2024-09-28T15.43.00.442,0.100,25.732,14.024,177.500
1727527380452,2024-09-28T15.43.00.452,0.110,28.049,9.512,172.439
1727527380462,2024-09-28T15.43.00.462,0.120,28.963,3.598,166.402
1727527380472,2024-09-28T15.43.00.472,0.130,29.085,-0.122,159.085
1727527380482,2024-09-28T15.43.00.482,0.140,29.817,-0.732,151.890
1727527380492,2024-09-28T15.43.00.492,0.150,30.976,1.037,145.427
1727527380502,2024-09-28T15.43.00.502,0.160,32.988,4.573,139.451
1727527380512,2024-09-28T15.43.00.512,0.170,36.524,9.146,135.305
1727527380522,2024-09-28T15.43.00.522,0.180,41.098,14.085,132.439
1727527380532,2024-09-28T15.43.00.532,0.190,45.549,17.683,128.171
1727527380542,2024-09-28T15.43.00.542,0.200,48.232,18.049,121.524
1727527380552,2024-09-28T15.43.00.552,0.210,48.354,17.317,112.439
1727527380562,2024-09-28T15.43.00.562,0.220,46.159,16.524,102.500
1727527380572,2024-09-28T15.43.00.572,0.230,41.585,15.244,94.756
1727527380582,2024-09-28T15.43.00.582,0.240,35.549,14.268,89.634
1727527380592,2024-09-28T15.43.00.592,0.250,30.366,16.768,84.146
1727527380602,2024-09-28T15.43.00.602,0.260,28.720,22.866,78.963
1727527380612,2024-09-28T15.43.00.612,0.270,31.341,27.134,74.878
1727527380622,2024-09-28T15.43.00.622,0.280,35.488,23.537,70.793
1727527380632,2024-09-28T15.43.00.632,0.290,37.866,11.524,65.976
1727527380642,2024-09-28T15.43.00.642,0.300,39.207,-4.207,61.341
1727527380652,2024-09-28T15.43.00.652,0.310,40.000,-19.329,57.195
1727527380662,2024-09-28T15.43.00.662,0.320,39.451,-29.817,50.244
1727527380672,2024-09-28T15.43.00.672,0.330,38.171,-31.037,39.390
1727527380682,2024-09-28T15.43.00.682,0.340,35.305,-22.195,31.463
1727527380692,2024-09-28T15.43.00.692,0.350,30.549,-8.537,26.341
1727527380702,2024-09-28T15.43.00.702,0.360,23.415,5.549,17.378
1727527380712,2024-09-28T15.43.00.712,0.370,14.695,13.963,8.963
1727527380722,2024-09-28T15.43.00.722,0.380,7.439,12.317,2.988
1727527380732,2024-09-28T15.43.00.732,0.390,2.866,4.573,-5.610
1727527380742,2024-09-28T15.43.00.742,0.400,-0.183,-3.902,-14.939
1727527380752,2024-09-28T15.43.00.752,0.410,-2.378,-11.098,-22.622
1727527380762,2024-09-28T15.43.00.762,0.420,-4.085,-16.037,-29.878
1727527380772,2024-09-28T15.43.00.772,0.430,-5.000,-20.000,-37.134
1727527380782,2024-09-28T15.43.00.782,0.440,-6.037,-24.573,-44.939
1727527380792,2024-09-28T15.43.00.792,0.450,-8.537,-29.207,-53.720
1727527380802,2024-09-28T15.43.00.802,0.460,-13.720,-31.707,-62.256
1727527380812,2024-09-28T15.43.00.812,0.470,-20.610,-32.195,-70.488
1727527380822,2024-09-28T15.43.00.822,0.480,-28.476,-30.549,-78.720
1727527380832,2024-09-28T15.43.00.832,0.490,-36.829,-27.561,-85.793
1727527380842,2024-09-28T15.43.00.842,0.500,-45.122,-25.061,-92.500
