epoc (ms);timestamp (+0300);elapsed (s);acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
1,72753E+12;2024-09-28T15.42.35.520;0.590;0.725;0.076;0.890;26.463;-16.707;110.427
1,72753E+12;2024-09-28T15.42.35.530;0.600;0.658;0.074;0.897;27.134;-12.073;116.768
1,72753E+12;2024-09-28T15.42.35.540;0.610;0.619;0.082;0.903;25.183;-8.049;118.110
1,72753E+12;2024-09-28T15.42.35.550;0.620;0.548;0.080;0.912;21.402;-6.402;117.012
1,72753E+12;2024-09-28T15.42.35.560;0.630;0.465;0.073;0.922;17.439;-9.817;115.000
1,72753E+12;2024-09-28T15.42.35.570;0.640;0.427;0.060;0.941;14.756;-16.890;110.427
1,72753E+12;2024-09-28T15.42.35.580;0.650;0.383;0.041;0.948;14.268;-26.585;107.195
1,72753E+12;2024-09-28T15.42.35.590;0.660;0.355;0.029;0.943;15.976;-36.524;106.951
1,72753E+12;2024-09-28T15.42.35.600;0.670;0.393;0.022;0.933;19.146;-45.976;107.927
1,72753E+12;2024-09-28T15.42.35.610;0.680;0.429;0.019;0.911;22.683;-56.280;109.695
1,72753E+12;2024-09-28T15.42.35.620;0.690;0.462;0.033;0.878;23.841;-64.573;112.317
1,72753E+12;2024-09-28T15.42.35.630;0.700;0.588;0.071;0.837;22.805;-67.866;111.768
1,72753E+12;2024-09-28T15.42.35.640;0.710;0.740;0.109;0.810;23.110;-66.524;105.671
1,72753E+12;2024-09-28T15.42.35.650;0.720;0.727;0.120;0.820;26.463;-60.549;101.890
1,72753E+12;2024-09-28T15.42.35.660;0.730;0.611;0.112;0.820;31.585;-48.841;113.171
1,72753E+12;2024-09-28T15.42.35.670;0.740;0.706;0.142;0.800;36.829;-28.841;127.317
1,72753E+12;2024-09-28T15.42.35.680;0.750;0.847;0.185;0.787;38.415;-0.183;134.390
1,72753E+12;2024-09-28T15.42.35.690;0.760;0.811;0.205;0.771;38.354;26.585;143.293
1,72753E+12;2024-09-28T15.42.35.700;0.770;0.715;0.208;0.766;40.183;43.293;155.549
1,72753E+12;2024-09-28T15.42.35.710;0.780;0.646;0.196;0.781;43.841;47.988;165.549
1,72753E+12;2024-09-28T15.42.35.720;0.790;0.589;0.192;0.785;47.378;43.415;170.549
1,72753E+12;2024-09-28T15.42.35.730;0.800;0.548;0.200;0.772;49.451;35.976;171.463
1,72753E+12;2024-09-28T15.42.35.740;0.810;0.526;0.199;0.769;51.280;31.280;172.378
1,72753E+12;2024-09-28T15.42.35.750;0.820;0.522;0.195;0.776;53.049;30.793;173.354
1,72753E+12;2024-09-28T15.42.35.760;0.830;0.499;0.198;0.777;53.476;31.768;174.939
1,72753E+12;2024-09-28T15.42.35.770;0.840;0.481;0.205;0.769;53.415;32.073;177.378
1,72753E+12;2024-09-28T15.42.35.780;0.850;0.483;0.202;0.772;54.451;30.610;178.293
1,72753E+12;2024-09-28T15.42.35.790;0.860;0.472;0.196;0.775;56.707;27.195;178.598
1,72753E+12;2024-09-28T15.42.35.800;0.870;0.440;0.193;0.770;59.207;23.598;180.610
1,72753E+12;2024-09-28T15.42.35.810;0.880;0.430;0.185;0.788;62.500;20.122;183.415
1,72753E+12;2024-09-28T15.42.35.820;0.890;0.416;0.177;0.813;66.646;18.049;184.817
1,72753E+12;2024-09-28T15.42.35.830;0.900;0.392;0.169;0.827;69.573;17.988;183.293
1,72753E+12;2024-09-28T15.42.35.840;0.910;0.367;0.167;0.825;70.061;19.329;179.634
1,72753E+12;2024-09-28T15.42.35.850;0.920;0.317;0.165;0.814;68.720;20.488;176.646
1,72753E+12;2024-09-28T15.42.35.860;0.930;0.276;0.160;0.804;67.866;19.939;174.390
1,72753E+12;2024-09-28T15.42.35.870;0.940;0.241;0.149;0.792;67.012;20.122;172.683
1,72753E+12;2024-09-28T15.42.35.880;0.950;0.238;0.136;0.794;67.256;21.951;172.744
1,72753E+12;2024-09-28T15.42.35.890;0.960;0.252;0.130;0.823;71.159;25.183;171.768
1,72753E+12;2024-09-28T15.42.35.900;0.970;0.207;0.109;0.875;76.768;27.744;170.183
1,72753E+12;2024-09-28T15.42.35.910;0.980;0.131;0.096;0.917;81.585;26.829;167.683
1,72753E+12;2024-09-28T15.42.35.920;0.990;0.073;0.094;0.929;84.146;23.598;163.537
1,72753E+12;2024-09-28T15.42.35.930;1.000;0.053;0.097;0.928;83.232;19.817;157.439
1,72753E+12;2024-09-28T15.42.35.940;1.010;0.040;0.093;0.919;79.451;16.768;147.988
1,72753E+12;2024-09-28T15.42.35.950;1.020;0.035;0.088;0.909;74.512;18.963;136.585
1,72753E+12;2024-09-28T15.42.35.960;1.030;0.006;0.079;0.924;69.390;29.878;129.329
1,72753E+12;2024-09-28T15.42.35.970;1.040;-0.004;0.060;0.946;64.817;46.890;124.634
1,72753E+12;2024-09-28T15.42.35.980;1.050;0.022;0.058;0.981;61.402;63.354;118.232
1,72753E+12;2024-09-28T15.42.35.990;1.060;-0.008;0.058;1.025;60.610;70.671;112.744
1,72753E+12;2024-09-28T15.42.36.000;1.070;-0.071;0.061;1.063;61.951;63.232;108.293
1,72753E+12;2024-09-28T15.42.36.010;1.080;-0.106;0.062;1.076;62.317;45.610;103.171
1,72753E+12;2024-09-28T15.42.36.020;1.090;-0.049;0.074;1.069;60.915;25.976;95.122
1,72753E+12;2024-09-28T15.42.36.030;1.100;-0.011;0.079;1.077;57.500;11.829;84.268
1,72753E+12;2024-09-28T15.42.36.040;1.110;-0.059;0.044;1.102;52.866;5.183;76.585
1,72753E+12;2024-09-28T15.42.36.050;1.120;-0.062;-0.000;1.139;48.293;7.500;70.671
1,72753E+12;2024-09-28T15.42.36.060;1.130;-0.032;-0.027;1.170;41.829;15.915;62.622
1,72753E+12;2024-09-28T15.42.36.070;1.140;-0.036;-0.041;1.196;34.268;23.476;51.585
1,72753E+12;2024-09-28T15.42.36.080;1.150;-0.099;-0.058;1.227;27.134;25.305;39.024
1,72753E+12;2024-09-28T15.42.36.090;1.160;-0.162;-0.055;1.260;21.768;21.951;27.378
1,72753E+12;2024-09-28T15.42.36.100;1.170;-0.186;-0.049;1.287;17.622;14.756;15.854
1,72753E+12;2024-09-28T15.42.36.110;1.180;-0.201;-0.033;1.297;13.659;3.902;2.622
1,72753E+12;2024-09-28T15.42.36.120;1.190;-0.219;-0.010;1.286;8.354;-9.146;-11.341
1,72753E+12;2024-09-28T15.42.36.130;1.200;-0.256;0.013;1.269;0.427;-20.244;-23.354
1,72753E+12;2024-09-28T15.42.36.140;1.210;-0.255;0.035;1.257;-8.293;-27.561;-33.293
1,72753E+12;2024-09-28T15.42.36.150;1.220;-0.227;0.062;1.244;-16.402;-29.878;-44.329
1,72753E+12;2024-09-28T15.42.36.160;1.230;-0.213;0.084;1.216;-24.207;-26.220;-55.671
1,72753E+12;2024-09-28T15.42.36.170;1.240;-0.190;0.109;1.182;-31.646;-18.293;-65.549
1,72753E+12;2024-09-28T15.42.36.180;1.250;-0.180;0.123;1.147;-37.683;-11.341;-75.305
1,72753E+12;2024-09-28T15.42.36.190;1.260;-0.208;0.125;1.117;-42.073;-10.366;-85.244
1,72753E+12;2024-09-28T15.42.36.200;1.270;-0.240;0.132;1.096;-44.878;-15.061;-95.915
1,72753E+12;2024-09-28T15.42.36.210;1.280;-0.231;0.137;1.059;-46.646;-21.402;-107.866
1,72753E+12;2024-09-28T15.42.36.220;1.290;-0.214;0.132;1.042;-48.476;-25.915;-119.512
1,72753E+12;2024-09-28T15.42.36.230;1.300;-0.216;0.128;1.034;-49.451;-29.939;-130.427
1,72753E+12;2024-09-28T15.42.36.240;1.310;-0.194;0.136;1.032;-49.573;-32.988;-142.012
1,72753E+12;2024-09-28T15.42.36.250;1.320;-0.147;0.158;1.035;-50.000;-33.354;-153.049
1,72753E+12;2024-09-28T15.42.36.260;1.330;-0.113;0.179;1.033;-50.915;-31.768;-162.073
1,72753E+12;2024-09-28T15.42.36.270;1.340;-0.093;0.202;1.036;-52.805;-29.695;-170.122
1,72753E+12;2024-09-28T15.42.36.280;1.350;-0.075;0.229;1.044;-56.890;-28.171;-178.049
1,72753E+12;2024-09-28T15.42.36.290;1.360;-0.042;0.250;1.027;-62.744;-26.890;-185.976
1,72753E+12;2024-09-28T15.42.36.300;1.370;0.013;0.262;1.023;-68.415;-23.841;-193.354
1,72753E+12;2024-09-28T15.42.36.310;1.380;0.044;0.252;1.023;-72.195;-22.561;-198.598
1,72753E+12;2024-09-28T15.42.36.320;1.390;0.076;0.247;1.020;-73.780;-24.085;-204.268
1,72753E+12;2024-09-28T15.42.36.330;1.400;0.094;0.244;1.012;-75.122;-26.098;-210.000
1,72753E+12;2024-09-28T15.42.36.340;1.410;0.131;0.252;0.999;-76.220;-27.317;-214.024
1,72753E+12;2024-09-28T15.42.36.350;1.420;0.165;0.264;0.984;-76.951;-26.463;-216.890
1,72753E+12;2024-09-28T15.42.36.360;1.430;0.201;0.272;0.972;-77.439;-24.512;-217.866
1,72753E+12;2024-09-28T15.42.36.370;1.440;0.244;0.286;0.954;-78.354;-22.378;-218.110
1,72753E+12;2024-09-28T15.42.36.380;1.450;0.286;0.302;0.935;-79.939;-19.390;-217.012
1,72753E+12;2024-09-28T15.42.36.390;1.460;0.338;0.314;0.916;-81.463;-15.549;-213.963
1,72753E+12;2024-09-28T15.42.36.400;1.470;0.385;0.314;0.902;-82.683;-12.622;-209.329
1,72753E+12;2024-09-28T15.42.36.410;1.480;0.439;0.321;0.890;-82.744;-11.220;-204.207
1,72753E+12;2024-09-28T15.42.36.420;1.490;0.500;0.320;0.873;-81.402;-11.341;-199.329
1,72753E+12;2024-09-28T15.42.36.430;1.500;0.550;0.309;0.864;-78.354;-13.720;-194.512
