epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1727525855340,2024-09-28T15.17.35.340,0.000,0.034,1.049,0.816
1727525855350,2024-09-28T15.17.35.350,0.010,0.067,1.083,0.831
1727525855360,2024-09-28T15.17.35.360,0.020,0.108,1.109,0.829
1727525855370,2024-09-28T15.17.35.370,0.030,0.062,1.107,0.861
1727525855380,2024-09-28T15.17.35.380,0.040,0.063,1.112,0.900
1727525855390,2024-09-28T15.17.35.390,0.050,0.054,1.137,0.895
1727525855400,2024-09-28T15.17.35.400,0.060,0.073,1.176,0.885
1727525855410,2024-09-28T15.17.35.410,0.070,0.189,1.262,0.823
1727525855420,2024-09-28T15.17.35.420,0.080,0.100,1.274,0.789
1727525855430,2024-09-28T15.17.35.430,0.090,0.047,1.265,0.848
1727525855440,2024-09-28T15.17.35.440,0.100,0.253,1.321,0.956
1727525855450,2024-09-28T15.17.35.450,0.110,0.272,1.368,0.995
1727525855460,2024-09-28T15.17.35.460,0.120,0.121,1.357,1.004
1727525855470,2024-09-28T15.17.35.470,0.130,0.116,1.360,0.995
1727525855480,2024-09-28T15.17.35.480,0.140,0.127,1.365,1.001
1727525855490,2024-09-28T15.17.35.490,0.150,0.116,1.335,1.010
1727525855500,2024-09-28T15.17.35.500,0.160,0.125,1.299,1.002
1727525855510,2024-09-28T15.17.35.510,0.170,0.111,1.250,0.957
1727525855520,2024-09-28T15.17.35.520,0.180,0.082,1.188,0.916
1727525855530,2024-09-28T15.17.35.530,0.190,0.039,1.123,0.892
1727525855540,2024-09-28T15.17.35.540,0.200,0.044,1.064,0.902
1727525855550,2024-09-28T15.17.35.550,0.210,0.106,1.035,0.908
1727525855560,2024-09-28T15.17.35.560,0.220,0.147,1.003,0.871
1727525855570,2024-09-28T15.17.35.570,0.230,0.137,0.954,0.812
1727525855580,2024-09-28T15.17.35.580,0.240,0.100,0.890,0.721
1727525855590,2024-09-28T15.17.35.590,0.250,0.063,0.795,0.665
1727525855600,2024-09-28T15.17.35.600,0.260,0.035,0.711,0.640
1727525855610,2024-09-28T15.17.35.610,0.270,0.014,0.641,0.594
1727525855620,2024-09-28T15.17.35.620,0.280,0.010,0.570,0.600
1727525855630,2024-09-28T15.17.35.630,0.290,0.014,0.531,0.644
1727525855640,2024-09-28T15.17.35.640,0.300,0.060,0.516,0.680
1727525855650,2024-09-28T15.17.35.650,0.310,0.126,0.490,0.646
1727525855660,2024-09-28T15.17.35.660,0.320,0.149,0.445,0.575
1727525855670,2024-09-28T15.17.35.670,0.330,0.156,0.363,0.501
1727525855680,2024-09-28T15.17.35.680,0.340,0.129,0.259,0.429
1727525855690,2024-09-28T15.17.35.690,0.350,0.059,0.141,0.354
1727525855700,2024-09-28T15.17.35.700,0.360,-0.026,0.028,0.296
1727525855710,2024-09-28T15.17.35.710,0.370,-0.039,-0.069,0.248
1727525855720,2024-09-28T15.17.35.720,0.380,0.013,-0.150,0.216
1727525855730,2024-09-28T15.17.35.730,0.390,0.050,-0.217,0.187
1727525855740,2024-09-28T15.17.35.740,0.400,0.066,-0.269,0.166
1727525855750,2024-09-28T15.17.35.750,0.410,0.083,-0.311,0.155
1727525855760,2024-09-28T15.17.35.760,0.420,0.059,-0.354,0.144
1727525855770,2024-09-28T15.17.35.770,0.430,0.007,-0.393,0.164
1727525855780,2024-09-28T15.17.35.780,0.440,-0.037,-0.419,0.179
1727525855790,2024-09-28T15.17.35.790,0.450,-0.079,-0.444,0.196
1727525855800,2024-09-28T15.17.35.800,0.460,-0.104,-0.460,0.207
1727525855810,2024-09-28T15.17.35.810,0.470,-0.089,-0.467,0.228
1727525855820,2024-09-28T15.17.35.820,0.480,-0.030,-0.477,0.275
1727525855830,2024-09-28T15.17.35.830,0.490,0.026,-0.476,0.315
1727525855840,2024-09-28T15.17.35.840,0.500,0.041,-0.478,0.333
1727525855850,2024-09-28T15.17.35.850,0.510,0.024,-0.489,0.362
1727525855860,2024-09-28T15.17.35.860,0.520,0.016,-0.477,0.403
1727525855870,2024-09-28T15.17.35.870,0.530,0.013,-0.448,0.462
1727525855880,2024-09-28T15.17.35.880,0.540,-0.005,-0.417,0.481
1727525855890,2024-09-28T15.17.35.890,0.550,-0.025,-0.391,0.463
1727525855900,2024-09-28T15.17.35.900,0.560,-0.034,-0.357,0.422
1727525855910,2024-09-28T15.17.35.910,0.570,-0.036,-0.310,0.369
1727525855920,2024-09-28T15.17.35.920,0.580,-0.030,-0.248,0.337
1727525855930,2024-09-28T15.17.35.930,0.590,-0.008,-0.191,0.341
1727525855940,2024-09-28T15.17.35.940,0.600,0.007,-0.140,0.393
1727525855950,2024-09-28T15.17.35.950,0.610,-0.005,-0.102,0.468
1727525855960,2024-09-28T15.17.35.960,0.620,-0.049,-0.062,0.536
1727525855970,2024-09-28T15.17.35.970,0.630,-0.052,0.001,0.589
1727525855980,2024-09-28T15.17.35.980,0.640,0.002,0.064,0.632
1727525855990,2024-09-28T15.17.35.990,0.650,0.067,0.140,0.644
1727525856000,2024-09-28T15.17.36.000,0.660,0.046,0.225,0.597
1727525856010,2024-09-28T15.17.36.010,0.670,-0.061,0.308,0.498
1727525856020,2024-09-28T15.17.36.020,0.680,-0.123,0.404,0.445
1727525856030,2024-09-28T15.17.36.030,0.690,-0.065,0.499,0.484
1727525856040,2024-09-28T15.17.36.040,0.700,0.039,0.567,0.579
1727525856050,2024-09-28T15.17.36.050,0.710,0.117,0.622,0.702
1727525856060,2024-09-28T15.17.36.060,0.720,0.141,0.667,0.770
1727525856070,2024-09-28T15.17.36.070,0.730,0.079,0.694,0.792
1727525856080,2024-09-28T15.17.36.080,0.740,0.007,0.741,0.805
1727525856090,2024-09-28T15.17.36.090,0.750,0.002,0.828,0.822
1727525856100,2024-09-28T15.17.36.100,0.760,0.049,0.912,0.829
1727525856110,2024-09-28T15.17.36.110,0.770,0.045,1.002,0.769
1727525856120,2024-09-28T15.17.36.120,0.780,0.005,1.124,0.697
1727525856130,2024-09-28T15.17.36.130,0.790,0.024,1.239,0.658
1727525856140,2024-09-28T15.17.36.140,0.800,0.117,1.304,0.680
1727525856150,2024-09-28T15.17.36.150,0.810,0.254,1.324,0.757
1727525856160,2024-09-28T15.17.36.160,0.820,0.327,1.331,0.842
1727525856170,2024-09-28T15.17.36.170,0.830,0.276,1.320,0.879
1727525856180,2024-09-28T15.17.36.180,0.840,0.220,1.335,0.862
1727525856190,2024-09-28T15.17.36.190,0.850,0.199,1.381,0.836
1727525856200,2024-09-28T15.17.36.200,0.860,0.160,1.435,0.820
1727525856210,2024-09-28T15.17.36.210,0.870,0.134,1.488,0.806
1727525856220,2024-09-28T15.17.36.220,0.880,0.163,1.534,0.775
1727525856230,2024-09-28T15.17.36.230,0.890,0.204,1.554,0.750
1727525856240,2024-09-28T15.17.36.240,0.900,0.244,1.519,0.795
1727525856250,2024-09-28T15.17.36.250,0.910,0.259,1.449,0.854
1727525856260,2024-09-28T15.17.36.260,0.920,0.275,1.375,0.893
1727525856270,2024-09-28T15.17.36.270,0.930,0.270,1.322,0.907
1727525856280,2024-09-28T15.17.36.280,0.940,0.214,1.275,0.905
1727525856290,2024-09-28T15.17.36.290,0.950,0.131,1.249,0.891
1727525856300,2024-09-28T15.17.36.300,0.960,0.151,1.223,0.880
1727525856310,2024-09-28T15.17.36.310,0.970,0.260,1.224,0.872
1727525856320,2024-09-28T15.17.36.320,0.980,0.276,1.193,0.904
1727525856330,2024-09-28T15.17.36.330,0.990,0.207,1.103,0.957
1727525856340,2024-09-28T15.17.36.340,1.000,0.209,1.061,0.969
1727525856350,2024-09-28T15.17.36.350,1.010,0.150,1.030,0.966
1727525856360,2024-09-28T15.17.36.360,1.020,0.063,0.979,0.986
1727525856370,2024-09-28T15.17.36.370,1.030,0.019,0.934,1.026
1727525856380,2024-09-28T15.17.36.380,1.040,0.038,0.910,1.025
1727525856390,2024-09-28T15.17.36.390,1.050,0.013,0.905,0.965
1727525856400,2024-09-28T15.17.36.400,1.060,-0.034,0.922,0.901
1727525856410,2024-09-28T15.17.36.410,1.070,-0.035,0.948,0.868
1727525856420,2024-09-28T15.17.36.420,1.080,-0.042,0.961,0.849
1727525856430,2024-09-28T15.17.36.430,1.090,-0.059,1.005,0.824
1727525856440,2024-09-28T15.17.36.440,1.100,-0.054,1.073,0.785
1727525856450,2024-09-28T15.17.36.450,1.110,0.017,1.114,0.783
1727525856460,2024-09-28T15.17.36.460,1.120,0.129,1.170,0.783
1727525856470,2024-09-28T15.17.36.470,1.130,0.142,1.208,0.737
1727525856480,2024-09-28T15.17.36.480,1.140,-0.011,1.219,0.684
1727525856490,2024-09-28T15.17.36.490,1.150,0.265,1.216,0.635
1727525856500,2024-09-28T15.17.36.500,1.160,0.213,1.219,0.523
1727525856510,2024-09-28T15.17.36.510,1.170,-0.408,1.238,0.489
1727525856520,2024-09-28T15.17.36.520,1.180,-0.459,1.263,0.521
1727525856530,2024-09-28T15.17.36.530,1.190,-0.207,1.282,0.610
1727525856540,2024-09-28T15.17.36.540,1.200,0.081,1.230,0.760
1727525856550,2024-09-28T15.17.36.550,1.210,0.089,1.362,0.778
1727525856560,2024-09-28T15.17.36.560,1.220,0.247,1.469,0.768
