epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1727525879733,2024-09-28T15.17.59.733,0.000,85.183,-46.402,-18.598
1727525879743,2024-09-28T15.17.59.743,0.010,81.585,-42.256,-17.622
1727525879753,2024-09-28T15.17.59.753,0.020,64.207,-18.841,-14.573
1727525879763,2024-09-28T15.17.59.763,0.030,47.805,13.293,-10.366
1727525879773,2024-09-28T15.17.59.773,0.040,41.829,28.963,-9.268
1727525879783,2024-09-28T15.17.59.783,0.050,41.098,21.768,-9.268
1727525879793,2024-09-28T15.17.59.793,0.060,38.963,1.220,-9.207
1727525879803,2024-09-28T15.17.59.803,0.070,32.073,-16.524,-11.280
1727525879813,2024-09-28T15.17.59.813,0.080,20.305,-24.146,-10.488
1727525879823,2024-09-28T15.17.59.823,0.090,7.317,-24.939,-5.793
1727525879833,2024-09-28T15.17.59.833,0.100,-4.085,-17.012,-2.927
1727525879843,2024-09-28T15.17.59.843,0.110,-14.451,-0.793,-2.500
1727525879853,2024-09-28T15.17.59.853,0.120,-25.305,14.817,-0.549
1727525879863,2024-09-28T15.17.59.863,0.130,-38.415,22.439,2.012
1727525879873,2024-09-28T15.17.59.873,0.140,-53.720,15.732,6.037
1727525879883,2024-09-28T15.17.59.883,0.150,-70.061,-2.012,13.659
1727525879893,2024-09-28T15.17.59.893,0.160,-87.805,-14.756,22.683
1727525879903,2024-09-28T15.17.59.903,0.170,-106.220,-9.512,33.171
1727525879913,2024-09-28T15.17.59.913,0.180,-122.805,6.098,43.902
1727525879923,2024-09-28T15.17.59.923,0.190,-135.915,17.439,52.256
1727525879933,2024-09-28T15.17.59.933,0.200,-147.500,21.585,59.573
1727525879943,2024-09-28T15.17.59.943,0.210,-159.756,22.561,66.341
1727525879953,2024-09-28T15.17.59.953,0.220,-173.293,21.890,71.280
1727525879963,2024-09-28T15.17.59.963,0.230,-188.232,23.902,76.829
1727525879973,2024-09-28T15.17.59.973,0.240,-201.037,29.268,82.988
1727525879983,2024-09-28T15.17.59.983,0.250,-210.915,32.866,87.256
1727525879993,2024-09-28T15.17.59.993,0.260,-223.171,33.902,90.854
1727525880003,2024-09-28T15.18.00.003,0.270,-237.500,31.463,97.683
1727525880013,2024-09-28T15.18.00.013,0.280,-252.256,27.012,107.866
1727525880023,2024-09-28T15.18.00.023,0.290,-265.366,24.085,115.305
1727525880033,2024-09-28T15.18.00.033,0.300,-275.793,28.354,112.439
1727525880043,2024-09-28T15.18.00.043,0.310,-282.622,33.720,103.537
1727525880053,2024-09-28T15.18.00.053,0.320,-284.817,30.915,97.622
1727525880063,2024-09-28T15.18.00.063,0.330,-282.744,22.317,94.817
1727525880073,2024-09-28T15.18.00.073,0.340,-279.268,16.829,91.890
1727525880083,2024-09-28T15.18.00.083,0.350,-276.646,15.122,91.280
1727525880093,2024-09-28T15.18.00.093,0.360,-274.329,14.817,95.122
1727525880103,2024-09-28T15.18.00.103,0.370,-272.866,15.915,99.329
1727525880113,2024-09-28T15.18.00.113,0.380,-274.268,19.695,98.659
1727525880123,2024-09-28T15.18.00.123,0.390,-278.720,25.427,95.122
1727525880133,2024-09-28T15.18.00.133,0.400,-285.000,27.622,95.854
1727525880143,2024-09-28T15.18.00.143,0.410,-290.366,23.537,94.024
1727525880153,2024-09-28T15.18.00.153,0.420,-290.793,17.683,83.963
1727525880163,2024-09-28T15.18.00.163,0.430,-284.024,12.500,76.280
1727525880173,2024-09-28T15.18.00.173,0.440,-273.598,8.902,74.573
1727525880183,2024-09-28T15.18.00.183,0.450,-261.951,8.354,74.939
1727525880193,2024-09-28T15.18.00.193,0.460,-250.366,12.988,74.390
1727525880203,2024-09-28T15.18.00.203,0.470,-240.671,19.024,74.268
1727525880213,2024-09-28T15.18.00.213,0.480,-234.695,21.646,75.793
1727525880223,2024-09-28T15.18.00.223,0.490,-233.780,18.659,79.817
1727525880233,2024-09-28T15.18.00.233,0.500,-234.451,10.793,83.720
1727525880243,2024-09-28T15.18.00.243,0.510,-234.024,3.537,87.073
1727525880253,2024-09-28T15.18.00.253,0.520,-230.000,-0.366,90.427
1727525880263,2024-09-28T15.18.00.263,0.530,-220.183,-0.488,88.963
1727525880273,2024-09-28T15.18.00.273,0.540,-203.537,2.378,82.561
1727525880283,2024-09-28T15.18.00.283,0.550,-180.976,5.244,75.854
1727525880293,2024-09-28T15.18.00.293,0.560,-158.476,7.073,65.976
1727525880303,2024-09-28T15.18.00.303,0.570,-143.902,6.829,56.341
1727525880313,2024-09-28T15.18.00.313,0.580,-135.915,1.707,52.500
1727525880323,2024-09-28T15.18.00.323,0.590,-129.390,-6.402,52.927
1727525880333,2024-09-28T15.18.00.333,0.600,-121.220,-11.951,50.427
1727525880343,2024-09-28T15.18.00.343,0.610,-110.854,-11.220,44.817
1727525880353,2024-09-28T15.18.00.353,0.620,-95.183,-8.537,40.366
1727525880363,2024-09-28T15.18.00.363,0.630,-74.329,-6.159,34.939
1727525880373,2024-09-28T15.18.00.373,0.640,-51.098,-3.780,28.659
1727525880383,2024-09-28T15.18.00.383,0.650,-30.366,-2.378,23.232
1727525880393,2024-09-28T15.18.00.393,0.660,-13.780,-3.720,16.768
1727525880403,2024-09-28T15.18.00.403,0.670,-0.976,-7.744,9.756
1727525880413,2024-09-28T15.18.00.413,0.680,7.134,-11.646,5.000
1727525880423,2024-09-28T15.18.00.423,0.690,10.854,-13.659,1.037
1727525880433,2024-09-28T15.18.00.433,0.700,12.256,-10.305,-4.207
1727525880443,2024-09-28T15.18.00.443,0.710,14.085,-2.317,-7.805
1727525880453,2024-09-28T15.18.00.453,0.720,19.085,3.415,-8.963
