epoc (ms);timestamp (+0300);elapsed (s);acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
1,72753E+12;2024-09-28T15.32.15.937;0.000;0.302;0.210;0.741;59.939;7.378;206.707
1,72753E+12;2024-09-28T15.32.15.947;0.010;0.338;0.232;0.756;60.915;10.122;206.768
1,72753E+12;2024-09-28T15.32.15.957;0.020;0.358;0.249;0.759;62.927;24.756;207.134
1,72753E+12;2024-09-28T15.32.15.967;0.030;0.353;0.260;0.773;64.817;44.573;206.037
1,72753E+12;2024-09-28T15.32.15.977;0.040;0.271;0.276;0.815;67.378;58.598;203.171
1,72753E+12;2024-09-28T15.32.15.987;0.050;0.126;0.283;0.856;71.341;63.476;199.390
1,72753E+12;2024-09-28T15.32.15.997;0.060;-0.002;0.286;0.889;74.329;61.037;194.878
1,72753E+12;2024-09-28T15.32.16.007;0.070;-0.102;0.295;0.919;77.134;54.939;189.817
1,72753E+12;2024-09-28T15.32.16.017;0.080;-0.217;0.284;0.967;80.122;42.073;185.061
1,72753E+12;2024-09-28T15.32.16.027;0.090;-0.368;0.243;1.026;83.293;21.159;179.939
1,72753E+12;2024-09-28T15.32.16.037;0.100;-0.519;0.191;1.110;87.317;-2.317;173.841
1,72753E+12;2024-09-28T15.32.16.047;0.110;-0.608;0.179;1.208;91.280;-21.524;163.476
1,72753E+12;2024-09-28T15.32.16.057;0.120;-0.605;0.196;1.247;92.378;-30.549;148.171
1,72753E+12;2024-09-28T15.32.16.067;0.130;-0.533;0.231;1.256;86.402;-25.183;131.951
1,72753E+12;2024-09-28T15.32.16.077;0.140;-0.460;0.253;1.272;74.512;-10.732;112.866
1,72753E+12;2024-09-28T15.32.16.087;0.150;-0.454;0.236;1.289;60.732;0.976;89.878
1,72753E+12;2024-09-28T15.32.16.097;0.160;-0.491;0.209;1.289;45.732;3.963;67.988
1,72753E+12;2024-09-28T15.32.16.107;0.170;-0.531;0.177;1.283;31.829;-0.915;45.915
1,72753E+12;2024-09-28T15.32.16.117;0.180;-0.536;0.142;1.266;20.244;-10.122;28.415
1,72753E+12;2024-09-28T15.32.16.127;0.190;-0.477;0.133;1.222;8.232;-20.610;12.195
1,72753E+12;2024-09-28T15.32.16.137;0.200;-0.388;0.126;1.173;-4.390;-27.378;-8.171
1,72753E+12;2024-09-28T15.32.16.147;0.210;-0.265;0.115;1.120;-16.707;-24.207;-29.695
1,72753E+12;2024-09-28T15.32.16.157;0.220;-0.143;0.118;1.071;-29.512;-10.854;-49.268
1,72753E+12;2024-09-28T15.32.16.167;0.230;-0.072;0.112;1.039;-40.671;6.463;-67.317
1,72753E+12;2024-09-28T15.32.16.177;0.240;-0.046;0.099;1.015;-47.988;19.329;-80.549
1,72753E+12;2024-09-28T15.32.16.187;0.250;-0.034;0.101;0.992;-52.805;23.476;-91.524
1,72753E+12;2024-09-28T15.32.16.197;0.260;-0.053;0.096;0.987;-55.244;19.024;-101.951
1,72753E+12;2024-09-28T15.32.16.207;0.270;-0.087;0.074;0.981;-55.427;7.073;-109.695
1,72753E+12;2024-09-28T15.32.16.217;0.280;-0.094;0.078;0.971;-54.695;-8.232;-115.610
1,72753E+12;2024-09-28T15.32.16.227;0.290;-0.061;0.095;0.959;-54.146;-20.793;-120.427
1,72753E+12;2024-09-28T15.32.16.237;0.300;-0.021;0.105;0.951;-53.720;-28.963;-124.451
1,72753E+12;2024-09-28T15.32.16.247;0.310;0.006;0.122;0.939;-53.293;-33.780;-128.720
1,72753E+12;2024-09-28T15.32.16.257;0.320;0.043;0.156;0.913;-54.634;-33.780;-133.476
1,72753E+12;2024-09-28T15.32.16.267;0.330;0.111;0.187;0.898;-57.683;-24.268;-137.866
1,72753E+12;2024-09-28T15.32.16.277;0.340;0.174;0.204;0.898;-59.390;-7.683;-140.732
1,72753E+12;2024-09-28T15.32.16.287;0.350;0.186;0.197;0.907;-59.085;7.561;-143.049
1,72753E+12;2024-09-28T15.32.16.297;0.360;0.122;0.163;0.919;-56.037;13.841;-145.610
1,72753E+12;2024-09-28T15.32.16.307;0.370;0.036;0.113;0.935;-50.000;9.024;-147.622
1,72753E+12;2024-09-28T15.32.16.317;0.380;-0.035;0.078;0.960;-41.951;-1.768;-148.720
1,72753E+12;2024-09-28T15.32.16.327;0.390;-0.031;0.095;0.994;-33.841;-14.085;-148.902
1,72753E+12;2024-09-28T15.32.16.337;0.400;0.009;0.130;1.008;-26.768;-23.720;-149.512
1,72753E+12;2024-09-28T15.32.16.347;0.410;0.043;0.148;1.010;-21.768;-29.634;-151.341
1,72753E+12;2024-09-28T15.32.16.357;0.420;0.071;0.173;0.984;-19.817;-31.463;-153.841
1,72753E+12;2024-09-28T15.32.16.367;0.430;0.101;0.188;0.944;-22.439;-27.378;-155.366
1,72753E+12;2024-09-28T15.32.16.377;0.440;0.166;0.179;0.928;-27.439;-19.329;-156.524
1,72753E+12;2024-09-28T15.32.16.387;0.450;0.221;0.162;0.937;-31.098;-9.146;-160.976
1,72753E+12;2024-09-28T15.32.16.397;0.460;0.229;0.126;0.944;-33.720;3.049;-164.939
1,72753E+12;2024-09-28T15.32.16.407;0.470;0.242;0.099;0.965;-34.878;14.939;-165.732
1,72753E+12;2024-09-28T15.32.16.417;0.480;0.233;0.107;1.012;-34.085;22.500;-167.012
1,72753E+12;2024-09-28T15.32.16.427;0.490;0.201;0.114;1.033;-30.122;21.585;-168.171
1,72753E+12;2024-09-28T15.32.16.437;0.500;0.173;0.126;1.037;-26.098;11.707;-168.171
1,72753E+12;2024-09-28T15.32.16.447;0.510;0.153;0.145;1.027;-23.110;-3.049;-167.988
1,72753E+12;2024-09-28T15.32.16.457;0.520;0.165;0.156;0.989;-22.195;-16.159;-167.073
1,72753E+12;2024-09-28T15.32.16.467;0.530;0.207;0.157;0.949;-23.902;-22.134;-164.878
1,72753E+12;2024-09-28T15.32.16.477;0.540;0.267;0.152;0.926;-26.402;-20.366;-163.049
1,72753E+12;2024-09-28T15.32.16.487;0.550;0.319;0.144;0.922;-28.354;-12.866;-162.500
1,72753E+12;2024-09-28T15.32.16.497;0.560;0.343;0.142;0.937;-29.817;-3.293;-162.378
1,72753E+12;2024-09-28T15.32.16.507;0.570;0.346;0.156;0.968;-29.817;5.488;-162.378
1,72753E+12;2024-09-28T15.32.16.517;0.580;0.341;0.181;0.987;-29.024;10.000;-161.585
1,72753E+12;2024-09-28T15.32.16.527;0.590;0.319;0.191;0.983;-28.110;6.463;-160.183
1,72753E+12;2024-09-28T15.32.16.537;0.600;0.271;0.182;0.963;-27.561;-5.122;-158.354
1,72753E+12;2024-09-28T15.32.16.547;0.610;0.253;0.171;0.935;-26.829;-20.305;-155.122
1,72753E+12;2024-09-28T15.32.16.557;0.620;0.306;0.142;0.905;-25.915;-30.671;-150.976
1,72753E+12;2024-09-28T15.32.16.567;0.630;0.397;0.111;0.886;-25.244;-32.073;-147.439
1,72753E+12;2024-09-28T15.32.16.577;0.640;0.464;0.103;0.879;-24.024;-26.890;-144.024
1,72753E+12;2024-09-28T15.32.16.587;0.650;0.483;0.098;0.872;-22.439;-19.268;-138.780
1,72753E+12;2024-09-28T15.32.16.597;0.660;0.486;0.088;0.884;-20.854;-10.122;-132.988
1,72753E+12;2024-09-28T15.32.16.607;0.670;0.516;0.097;0.927;-18.232;-0.671;-127.744
1,72753E+12;2024-09-28T15.32.16.617;0.680;0.544;0.121;0.954;-14.329;5.976;-122.744
1,72753E+12;2024-09-28T15.32.16.627;0.690;0.513;0.114;0.945;-11.280;4.817;-116.463
1,72753E+12;2024-09-28T15.32.16.637;0.700;0.477;0.086;0.922;-9.512;-5.305;-109.329
1,72753E+12;2024-09-28T15.32.16.647;0.710;0.472;0.073;0.903;-8.232;-19.024;-102.561
1,72753E+12;2024-09-28T15.32.16.657;0.720;0.491;0.064;0.889;-6.768;-31.037;-94.817
1,72753E+12;2024-09-28T15.32.16.667;0.730;0.509;0.057;0.872;-5.854;-40.610;-84.878
1,72753E+12;2024-09-28T15.32.16.677;0.740;0.536;0.047;0.859;-4.878;-48.841;-74.756
1,72753E+12;2024-09-28T15.32.16.687;0.750;0.581;0.036;0.873;-3.537;-51.707;-66.402
1,72753E+12;2024-09-28T15.32.16.697;0.760;0.641;0.028;0.905;-2.195;-42.744;-59.878
1,72753E+12;2024-09-28T15.32.16.707;0.770;0.731;0.021;0.934;-0.610;-21.280;-53.476
1,72753E+12;2024-09-28T15.32.16.717;0.780;0.775;0.010;0.955;1.341;6.768;-46.707
1,72753E+12;2024-09-28T15.32.16.727;0.790;0.730;-0.003;0.963;2.744;26.707;-39.329
1,72753E+12;2024-09-28T15.32.16.737;0.800;0.631;-0.005;0.955;3.780;29.756;-33.841
1,72753E+12;2024-09-28T15.32.16.747;0.810;0.521;-0.017;0.933;3.049;18.476;-29.085
1,72753E+12;2024-09-28T15.32.16.757;0.820;0.455;-0.027;0.924;0.976;0.549;-22.927
1,72753E+12;2024-09-28T15.32.16.767;0.830;0.453;-0.016;0.932;-0.732;-16.037;-17.500
1,72753E+12;2024-09-28T15.32.16.777;0.840;0.475;-0.010;0.953;-1.890;-23.902;-13.110
1,72753E+12;2024-09-28T15.32.16.787;0.850;0.515;-0.017;0.969;-2.378;-22.195;-7.378
1,72753E+12;2024-09-28T15.32.16.797;0.860;0.553;-0.023;0.969;-2.195;-14.451;-2.622
1,72753E+12;2024-09-28T15.32.16.807;0.870;0.547;-0.025;0.966;-2.256;-4.451;-0.305
1,72753E+12;2024-09-28T15.32.16.817;0.880;0.507;-0.029;0.971;-2.439;4.268;2.988
1,72753E+12;2024-09-28T15.32.16.827;0.890;0.463;-0.033;0.971;-2.439;7.683;6.341
1,72753E+12;2024-09-28T15.32.16.837;0.900;0.423;-0.031;0.956;-2.256;6.098;7.622
1,72753E+12;2024-09-28T15.32.16.847;0.910;0.384;-0.033;0.950;-1.890;2.622;9.451
1,72753E+12;2024-09-28T15.32.16.857;0.920;0.364;-0.035;0.959;-0.366;-0.671;13.049
1,72753E+12;2024-09-28T15.32.16.867;0.930;0.359;-0.030;0.961;1.951;-3.476;16.890
1,72753E+12;2024-09-28T15.32.16.877;0.940;0.364;-0.032;0.955;3.902;-5.183;19.207
1,72753E+12;2024-09-28T15.32.16.887;0.950;0.373;-0.030;0.953;5.671;-4.939;20.488
1,72753E+12;2024-09-28T15.32.16.897;0.960;0.388;-0.022;0.964;7.256;-2.744;22.195
1,72753E+12;2024-09-28T15.32.16.907;0.970;0.399;-0.012;0.974;8.841;-0.671;23.780
1,72753E+12;2024-09-28T15.32.16.917;0.980;0.405;-0.001;0.983;9.878;0.671;24.817
1,72753E+12;2024-09-28T15.32.16.927;0.990;0.416;0.008;0.992;9.817;1.524;26.037
1,72753E+12;2024-09-28T15.32.16.937;1.000;0.435;0.018;0.982;8.232;0.793;27.012
1,72753E+12;2024-09-28T15.32.16.947;1.010;0.445;0.016;0.960;5.427;-1.463;28.293
1,72753E+12;2024-09-28T15.32.16.957;1.020;0.462;0.012;0.949;2.134;-4.939;31.402
1,72753E+12;2024-09-28T15.32.16.967;1.030;0.489;0.017;0.947;-0.183;-8.720;36.280
1,72753E+12;2024-09-28T15.32.16.977;1.040;0.535;0.025;0.943;-1.220;-10.610;41.707
1,72753E+12;2024-09-28T15.32.16.987;1.050;0.572;0.027;0.940;-0.976;-9.817;47.805
1,72753E+12;2024-09-28T15.32.16.997;1.060;0.595;0.018;0.938;0.488;-6.402;55.366
1,72753E+12;2024-09-28T15.32.17.007;1.070;0.615;0.019;0.931;3.049;-0.793;63.110
1,72753E+12;2024-09-28T15.32.17.017;1.080;0.636;0.030;0.916;5.549;4.878;70.610
1,72753E+12;2024-09-28T15.32.17.027;1.090;0.647;0.034;0.920;7.866;9.573;77.195
1,72753E+12;2024-09-28T15.32.17.037;1.100;0.634;0.048;0.926;10.122;11.585;82.683
1,72753E+12;2024-09-28T15.32.17.047;1.110;0.609;0.065;0.921;11.768;9.634;88.720
1,72753E+12;2024-09-28T15.32.17.057;1.120;0.591;0.073;0.911;12.561;4.939;94.207
1,72753E+12;2024-09-28T15.32.17.067;1.130;0.559;0.082;0.901;11.829;-0.976;100.122
1,72753E+12;2024-09-28T15.32.17.077;1.140;0.542;0.094;0.904;10.793;-7.927;108.293
1,72753E+12;2024-09-28T15.32.17.087;1.150;0.546;0.109;0.906;9.817;-14.512;115.793
1,72753E+12;2024-09-28T15.32.17.097;1.160;0.557;0.120;0.900;9.207;-18.171;121.585
1,72753E+12;2024-09-28T15.32.17.107;1.170;0.569;0.120;0.891;8.841;-17.561;126.829
1,72753E+12;2024-09-28T15.32.17.117;1.180;0.579;0.108;0.885;8.963;-11.890;132.073
1,72753E+12;2024-09-28T15.32.17.127;1.190;0.582;0.100;0.881;10.488;-2.988;137.500
1,72753E+12;2024-09-28T15.32.17.137;1.200;0.574;0.107;0.872;12.683;5.488;142.683
1,72753E+12;2024-09-28T15.32.17.147;1.210;0.542;0.109;0.869;14.817;10.549;147.622
1,72753E+12;2024-09-28T15.32.17.157;1.220;0.510;0.118;0.873;17.134;10.427;151.341
1,72753E+12;2024-09-28T15.32.17.167;1.230;0.474;0.141;0.895;19.939;7.317;152.866
1,72753E+12;2024-09-28T15.32.17.177;1.240;0.408;0.161;0.912;22.988;2.134;156.829
