epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1727526705099,2024-09-28T15.31.45.099,0.000,-0.055,0.061,1.007
1727526705109,2024-09-28T15.31.45.109,0.010,-0.097,0.076,0.995
1727526705119,2024-09-28T15.31.45.119,0.020,-0.113,0.087,0.971
1727526705129,2024-09-28T15.31.45.129,0.030,-0.093,0.082,0.957
1727526705139,2024-09-28T15.31.45.139,0.040,-0.061,0.067,0.944
1727526705149,2024-09-28T15.31.45.149,0.050,0.011,0.056,0.939
1727526705159,2024-09-28T15.31.45.159,0.060,0.120,0.073,0.954
1727526705169,2024-09-28T15.31.45.169,0.070,0.218,0.113,0.975
1727526705179,2024-09-28T15.31.45.179,0.080,0.261,0.141,0.984
1727526705189,2024-09-28T15.31.45.189,0.090,0.244,0.153,0.976
1727526705199,2024-09-28T15.31.45.199,0.100,0.190,0.156,0.948
1727526705209,2024-09-28T15.31.45.209,0.110,0.123,0.147,0.919
1727526705219,2024-09-28T15.31.45.219,0.120,0.055,0.126,0.889
1727526705229,2024-09-28T15.31.45.229,0.130,0.015,0.115,0.864
1727526705239,2024-09-28T15.31.45.239,0.140,-0.006,0.102,0.852
1727526705249,2024-09-28T15.31.45.249,0.150,0.031,0.088,0.828
1727526705259,2024-09-28T15.31.45.259,0.160,0.189,0.101,0.799
1727526705269,2024-09-28T15.31.45.269,0.170,0.373,0.105,0.789
1727526705279,2024-09-28T15.31.45.279,0.180,0.471,0.104,0.826
1727526705289,2024-09-28T15.31.45.289,0.190,0.488,0.125,0.915
1727526705299,2024-09-28T15.31.45.299,0.200,0.427,0.153,0.985
1727526705309,2024-09-28T15.31.45.309,0.210,0.282,0.141,1.018
1727526705319,2024-09-28T15.31.45.319,0.220,0.108,0.117,1.004
1727526705329,2024-09-28T15.31.45.329,0.230,-0.006,0.140,0.975
1727526705339,2024-09-28T15.31.45.339,0.240,0.035,0.172,0.952
1727526705349,2024-09-28T15.31.45.349,0.250,0.195,0.197,0.949
1727526705359,2024-09-28T15.31.45.359,0.260,0.391,0.221,0.975
1727526705369,2024-09-28T15.31.45.369,0.270,0.599,0.237,1.038
1727526705379,2024-09-28T15.31.45.379,0.280,0.751,0.256,1.092
1727526705389,2024-09-28T15.31.45.389,0.290,0.725,0.241,1.112
1727526705399,2024-09-28T15.31.45.399,0.300,0.579,0.193,1.085
1727526705409,2024-09-28T15.31.45.409,0.310,0.417,0.157,1.049
1727526705419,2024-09-28T15.31.45.419,0.320,0.309,0.143,1.027
1727526705429,2024-09-28T15.31.45.429,0.330,0.314,0.129,1.007
1727526705439,2024-09-28T15.31.45.439,0.340,0.390,0.120,0.998
1727526705449,2024-09-28T15.31.45.449,0.350,0.445,0.125,0.994
1727526705459,2024-09-28T15.31.45.459,0.360,0.527,0.126,0.976
1727526705469,2024-09-28T15.31.45.469,0.370,0.649,0.123,0.965
