epoc (ms);timestamp (+0300);elapsed (s);acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
1,72753E+12;2024-09-28T15.30.24.858;0.580;0.508;0.010;0.895;-10.671;-4.695;-5.488
1,72753E+12;2024-09-28T15.30.24.868;0.590;0.461;0.002;0.890;-9.817;-11.220;-2.317
1,72753E+12;2024-09-28T15.30.24.878;0.600;0.450;-0.004;0.898;-8.171;-15.854;1.037
1,72753E+12;2024-09-28T15.30.24.888;0.610;0.479;-0.007;0.909;-5.183;-15.854;3.354
1,72753E+12;2024-09-28T15.30.24.898;0.620;0.491;-0.012;0.907;-1.402;-12.927;5.854
1,72753E+12;2024-09-28T15.30.24.908;0.630;0.477;-0.019;0.893;1.524;-9.817;9.268
1,72753E+12;2024-09-28T15.30.24.918;0.640;0.478;-0.014;0.873;3.659;-6.951;12.134
1,72753E+12;2024-09-28T15.30.24.928;0.650;0.492;-0.005;0.861;4.634;-3.354;13.537
1,72753E+12;2024-09-28T15.30.24.938;0.660;0.482;-0.005;0.863;4.634;1.280;14.451
1,72753E+12;2024-09-28T15.30.24.948;0.670;0.454;0.001;0.873;3.841;4.146;15.915
1,72753E+12;2024-09-28T15.30.24.958;0.680;0.436;0.010;0.891;3.293;4.817;16.463
1,72753E+12;2024-09-28T15.30.24.968;0.690;0.418;0.013;0.901;2.927;4.329;16.524
1,72753E+12;2024-09-28T15.30.24.978;0.700;0.397;0.008;0.906;2.744;3.232;18.049
1,72753E+12;2024-09-28T15.30.24.988;0.710;0.397;0.005;0.918;3.780;2.378;19.878
1,72753E+12;2024-09-28T15.30.24.998;0.720;0.416;0.007;0.929;5.610;3.537;21.341
1,72753E+12;2024-09-28T15.30.25.008;0.730;0.425;0.007;0.921;7.439;5.732;23.171
1,72753E+12;2024-09-28T15.30.25.018;0.740;0.420;0.007;0.903;8.415;8.049;25.427
1,72753E+12;2024-09-28T15.30.25.028;0.750;0.427;0.005;0.890;8.841;10.061;27.744
1,72753E+12;2024-09-28T15.30.25.038;0.760;0.438;0.006;0.885;9.634;11.037;29.146
1,72753E+12;2024-09-28T15.30.25.048;0.770;0.428;0.002;0.887;10.732;9.817;30.366
1,72753E+12;2024-09-28T15.30.25.058;0.780;0.414;-0.004;0.888;11.768;6.646;32.256
1,72753E+12;2024-09-28T15.30.25.068;0.790;0.438;0.003;0.896;12.805;5.000;34.085
1,72753E+12;2024-09-28T15.30.25.078;0.800;0.478;0.018;0.908;13.232;7.134;36.768
1,72753E+12;2024-09-28T15.30.25.088;0.810;0.524;0.039;0.918;13.293;11.951;40.549
1,72753E+12;2024-09-28T15.30.25.098;0.820;0.560;0.051;0.922;12.805;17.561;44.390
1,72753E+12;2024-09-28T15.30.25.108;0.830;0.575;0.053;0.919;12.317;20.671;48.841
1,72753E+12;2024-09-28T15.30.25.118;0.840;0.563;0.053;0.906;12.134;19.146;54.146
1,72753E+12;2024-09-28T15.30.25.128;0.850;0.551;0.049;0.893;12.195;15.671;60.122
1,72753E+12;2024-09-28T15.30.25.138;0.860;0.568;0.046;0.890;11.951;13.354;67.134
1,72753E+12;2024-09-28T15.30.25.148;0.870;0.600;0.052;0.893;12.500;13.110;73.598
1,72753E+12;2024-09-28T15.30.25.158;0.880;0.613;0.057;0.905;14.085;13.963;80.122
1,72753E+12;2024-09-28T15.30.25.168;0.890;0.611;0.059;0.919;16.159;13.415;87.134
1,72753E+12;2024-09-28T15.30.25.178;0.900;0.595;0.063;0.925;18.354;10.549;94.024
1,72753E+12;2024-09-28T15.30.25.188;0.910;0.578;0.067;0.926;20.488;6.220;101.341
1,72753E+12;2024-09-28T15.30.25.198;0.920;0.562;0.065;0.928;22.683;0.549;108.841
1,72753E+12;2024-09-28T15.30.25.208;0.930;0.550;0.057;0.921;24.939;-6.037;116.098
1,72753E+12;2024-09-28T15.30.25.218;0.940;0.541;0.044;0.916;27.805;-13.659;122.683
1,72753E+12;2024-09-28T15.30.25.228;0.950;0.529;0.019;0.917;30.915;-22.073;128.841
1,72753E+12;2024-09-28T15.30.25.238;0.960;0.525;0.003;0.923;34.207;-31.159;133.902
1,72753E+12;2024-09-28T15.30.25.248;0.970;0.540;0.015;0.927;38.049;-39.024;136.768
1,72753E+12;2024-09-28T15.30.25.258;0.980;0.542;0.028;0.927;42.683;-44.451;139.451
1,72753E+12;2024-09-28T15.30.25.268;0.990;0.519;0.037;0.919;46.463;-48.598;144.146
1,72753E+12;2024-09-28T15.30.25.278;1.000;0.515;0.054;0.918;49.634;-50.305;149.390
1,72753E+12;2024-09-28T15.30.25.288;1.010;0.544;0.079;0.933;52.195;-45.854;153.049
1,72753E+12;2024-09-28T15.30.25.298;1.020;0.577;0.110;0.942;54.024;-33.598;155.732
1,72753E+12;2024-09-28T15.30.25.308;1.030;0.573;0.133;0.951;54.695;-17.256;159.146
1,72753E+12;2024-09-28T15.30.25.318;1.040;0.516;0.152;0.953;52.988;-3.354;161.646
1,72753E+12;2024-09-28T15.30.25.328;1.050;0.450;0.162;0.942;49.329;2.378;161.829
1,72753E+12;2024-09-28T15.30.25.338;1.060;0.388;0.161;0.941;45.976;1.890;157.866
1,72753E+12;2024-09-28T15.30.25.348;1.070;0.297;0.145;0.931;43.049;-1.951;154.634
1,72753E+12;2024-09-28T15.30.25.358;1.080;0.242;0.112;0.923;40.732;-8.049;154.573
1,72753E+12;2024-09-28T15.30.25.368;1.090;0.236;0.099;0.936;40.488;-13.841;152.622
1,72753E+12;2024-09-28T15.30.25.378;1.100;0.227;0.082;0.955;42.744;-17.988;148.293
1,72753E+12;2024-09-28T15.30.25.388;1.110;0.203;0.075;0.974;46.280;-21.220;143.963
1,72753E+12;2024-09-28T15.30.25.398;1.120;0.191;0.093;0.982;49.451;-22.378;139.573
1,72753E+12;2024-09-28T15.30.25.408;1.130;0.218;0.113;0.972;50.183;-17.683;134.268
1,72753E+12;2024-09-28T15.30.25.418;1.140;0.254;0.134;0.947;47.805;-5.122;129.512
1,72753E+12;2024-09-28T15.30.25.428;1.150;0.276;0.140;0.916;43.659;11.280;126.890
