epoc (ms);timestamp (+0300);elapsed (s);acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
1,73E+12;2024-09-28T15.05.39.671;0.590;0.023;-0.664;0.196;219.146;8.598;-104.024
1,73E+12;2024-09-28T15.05.39.681;0.600;0.031;-0.637;0.292;227.927;18.902;-103.537
1,73E+12;2024-09-28T15.05.39.691;0.610;0.075;-0.617;0.421;237.622;30.793;-103.110
1,73E+12;2024-09-28T15.05.39.701;0.620;0.106;-0.609;0.487;244.756;46.646;-103.780
1,73E+12;2024-09-28T15.05.39.711;0.630;0.105;-0.579;0.466;245.671;65.488;-102.561
1,73E+12;2024-09-28T15.05.39.721;0.640;0.110;-0.526;0.397;241.463;75.183;-95.244
1,73E+12;2024-09-28T15.05.39.731;0.650;0.083;-0.456;0.354;235.671;62.561;-85.854
1,73E+12;2024-09-28T15.05.39.741;0.660;0.007;-0.375;0.382;229.878;27.012;-80.122
1,73E+12;2024-09-28T15.05.39.751;0.670;-0.029;-0.300;0.446;226.159;-21.646;-78.598
1,73E+12;2024-09-28T15.05.39.761;0.680;0.052;-0.222;0.597;225.000;-55.610;-79.390
1,73E+12;2024-09-28T15.05.39.771;0.690;0.284;-0.201;0.739;227.439;-57.683;-81.220
1,73E+12;2024-09-28T15.05.39.781;0.700;0.555;-0.201;0.774;229.512;-26.341;-89.024
1,73E+12;2024-09-28T15.05.39.791;0.710;0.689;-0.174;0.783;227.927;29.024;-100.183
1,73E+12;2024-09-28T15.05.39.801;0.720;0.638;-0.155;0.823;227.317;86.951;-100.244
1,73E+12;2024-09-28T15.05.39.811;0.730;0.454;-0.141;0.877;231.159;121.159;-84.146
1,73E+12;2024-09-28T15.05.39.821;0.740;0.251;-0.111;0.955;237.195;123.841;-62.805
1,73E+12;2024-09-28T15.05.39.831;0.750;0.146;-0.070;0.987;240.122;99.390;-46.951
1,73E+12;2024-09-28T15.05.39.841;0.760;0.149;-0.014;0.999;237.012;59.268;-42.134
1,73E+12;2024-09-28T15.05.39.851;0.770;0.178;0.044;1.002;227.683;13.780;-47.256
1,73E+12;2024-09-28T15.05.39.861;0.780;0.201;0.104;0.953;214.146;-27.805;-60.122
1,73E+12;2024-09-28T15.05.39.871;0.790;0.223;0.123;0.921;200.549;-56.585;-74.939
1,73E+12;2024-09-28T15.05.39.881;0.800;0.243;0.117;0.932;192.683;-69.146;-87.073
1,73E+12;2024-09-28T15.05.39.891;0.810;0.223;0.087;0.993;192.805;-64.268;-92.744
1,73E+12;2024-09-28T15.05.39.901;0.820;0.178;0.097;1.074;195.061;-41.463;-88.598
1,73E+12;2024-09-28T15.05.39.911;0.830;0.164;0.132;1.071;193.354;-11.402;-71.646
1,73E+12;2024-09-28T15.05.39.921;0.840;0.258;0.206;1.047;187.683;7.744;-54.878
1,73E+12;2024-09-28T15.05.39.931;0.850;0.321;0.277;1.115;180.671;9.268;-49.817
1,73E+12;2024-09-28T15.05.39.941;0.860;0.243;0.309;1.156;171.463;-17.439;-51.707
1,73E+12;2024-09-28T15.05.39.951;0.870;0.229;0.380;1.153;161.341;-66.707;-63.720
1,73E+12;2024-09-28T15.05.39.961;0.880;0.251;0.416;1.196;149.756;-102.317;-81.220
1,73E+12;2024-09-28T15.05.39.971;0.890;0.260;0.393;1.261;138.476;-105.976;-84.573
1,73E+12;2024-09-28T15.05.39.981;0.900;0.407;0.410;1.340;130.976;-74.024;-77.378
1,73E+12;2024-09-28T15.05.39.991;0.910;0.602;0.401;1.430;122.195;-11.220;-66.037
1,73E+12;2024-09-28T15.05.40.001;0.920;0.674;0.419;1.477;111.341;54.756;-53.963
1,73E+12;2024-09-28T15.05.40.011;0.930;0.591;0.444;1.516;100.793;100.976;-38.963
1,73E+12;2024-09-28T15.05.40.021;0.940;0.433;0.431;1.560;90.854;108.598;-22.622
1,73E+12;2024-09-28T15.05.40.031;0.950;0.313;0.440;1.577;82.195;72.012;-18.049
1,73E+12;2024-09-28T15.05.40.041;0.960;0.226;0.472;1.559;69.817;11.890;-24.268
1,73E+12;2024-09-28T15.05.40.051;0.970;0.225;0.510;1.502;52.439;-46.524;-29.695
1,73E+12;2024-09-28T15.05.40.061;0.980;0.332;0.533;1.468;33.659;-81.341;-31.037
1,73E+12;2024-09-28T15.05.40.071;0.990;0.437;0.507;1.497;17.134;-84.634;-27.561
1,73E+12;2024-09-28T15.05.40.081;1.000;0.511;0.473;1.543;5.610;-66.463;-18.598
1,73E+12;2024-09-28T15.05.40.091;1.010;0.559;0.450;1.548;-3.659;-37.439;-8.293
1,73E+12;2024-09-28T15.05.40.101;1.020;0.574;0.447;1.534;-12.073;-9.634;-0.061
1,73E+12;2024-09-28T15.05.40.111;1.030;0.550;0.444;1.537;-18.293;4.268;7.012
1,73E+12;2024-09-28T15.05.40.121;1.040;0.465;0.435;1.530;-24.085;3.232;12.500
1,73E+12;2024-09-28T15.05.40.131;1.050;0.409;0.440;1.498;-31.646;-7.195;18.354
1,73E+12;2024-09-28T15.05.40.141;1.060;0.407;0.455;1.418;-43.537;-16.098;25.122
1,73E+12;2024-09-28T15.05.40.151;1.070;0.471;0.476;1.320;-58.902;-19.939;28.841
1,73E+12;2024-09-28T15.05.40.161;1.080;0.517;0.468;1.278;-74.817;-16.098;28.293
1,73E+12;2024-09-28T15.05.40.171;1.090;0.467;0.416;1.284;-86.646;-8.415;31.951
1,73E+12;2024-09-28T15.05.40.181;1.100;0.409;0.378;1.361;-92.073;-2.500;39.939
