epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1727525175832,2024-09-28T15.06.15.832,0.000,-237.866,-55.000,95.610
1727525175842,2024-09-28T15.06.15.842,0.010,-235.732,-52.195,95.671
1727525175852,2024-09-28T15.06.15.852,0.020,-224.512,-42.561,96.463
1727525175862,2024-09-28T15.06.15.862,0.030,-209.268,-35.549,98.049
1727525175872,2024-09-28T15.06.15.872,0.040,-192.317,-34.817,97.439
1727525175882,2024-09-28T15.06.15.882,0.050,-173.537,-35.976,91.524
1727525175892,2024-09-28T15.06.15.892,0.060,-152.073,-36.707,81.829
1727525175902,2024-09-28T15.06.15.902,0.070,-129.390,-37.683,72.622
1727525175912,2024-09-28T15.06.15.912,0.080,-108.963,-34.695,65.427
1727525175922,2024-09-28T15.06.15.922,0.090,-90.854,-30.488,61.280
1727525175932,2024-09-28T15.06.15.932,0.100,-75.549,-25.549,58.780
1727525175942,2024-09-28T15.06.15.942,0.110,-63.476,-15.610,55.793
1727525175952,2024-09-28T15.06.15.952,0.120,-52.195,-3.293,54.329
1727525175962,2024-09-28T15.06.15.962,0.130,-40.427,8.293,53.963
1727525175972,2024-09-28T15.06.15.972,0.140,-27.866,16.768,51.159
1727525175982,2024-09-28T15.06.15.982,0.150,-14.024,20.000,46.341
1727525175992,2024-09-28T15.06.15.992,0.160,1.463,21.890,40.732
1727525176002,2024-09-28T15.06.16.002,0.170,18.293,23.598,35.061
1727525176012,2024-09-28T15.06.16.012,0.180,35.549,24.939,28.476
1727525176022,2024-09-28T15.06.16.022,0.190,53.293,24.512,21.098
1727525176032,2024-09-28T15.06.16.032,0.200,71.037,22.866,10.610
1727525176042,2024-09-28T15.06.16.042,0.210,87.073,22.256,-2.988
1727525176052,2024-09-28T15.06.16.052,0.220,101.463,23.232,-14.634
1727525176062,2024-09-28T15.06.16.062,0.230,114.451,20.854,-22.866
1727525176072,2024-09-28T15.06.16.072,0.240,124.939,15.305,-31.402
1727525176082,2024-09-28T15.06.16.082,0.250,134.207,8.598,-39.207
1727525176092,2024-09-28T15.06.16.092,0.260,143.841,2.073,-45.183
1727525176102,2024-09-28T15.06.16.102,0.270,153.110,-0.671,-50.671
1727525176112,2024-09-28T15.06.16.112,0.280,162.012,-0.061,-55.122
1727525176122,2024-09-28T15.06.16.122,0.290,170.549,4.329,-58.659
1727525176132,2024-09-28T15.06.16.132,0.300,177.866,11.707,-63.171
1727525176142,2024-09-28T15.06.16.142,0.310,183.720,17.744,-70.244
1727525176152,2024-09-28T15.06.16.152,0.320,187.256,18.354,-77.561
1727525176162,2024-09-28T15.06.16.162,0.330,189.207,11.768,-83.963
1727525176172,2024-09-28T15.06.16.172,0.340,191.768,1.768,-89.878
1727525176182,2024-09-28T15.06.16.182,0.350,196.707,-7.073,-97.073
1727525176192,2024-09-28T15.06.16.192,0.360,204.207,-9.695,-104.268
1727525176202,2024-09-28T15.06.16.202,0.370,214.390,-2.805,-109.268
1727525176212,2024-09-28T15.06.16.212,0.380,225.183,15.427,-111.159
1727525176222,2024-09-28T15.06.16.222,0.390,233.780,37.439,-112.256
1727525176232,2024-09-28T15.06.16.232,0.400,237.134,47.561,-112.561
1727525176242,2024-09-28T15.06.16.242,0.410,235.732,29.451,-111.646
1727525176252,2024-09-28T15.06.16.252,0.420,232.439,-1.098,-116.524
1727525176262,2024-09-28T15.06.16.262,0.430,229.512,-14.207,-118.537
1727525176272,2024-09-28T15.06.16.272,0.440,230.061,-2.317,-111.524
1727525176282,2024-09-28T15.06.16.282,0.450,233.902,31.524,-102.500
1727525176292,2024-09-28T15.06.16.292,0.460,237.805,64.024,-94.939
1727525176302,2024-09-28T15.06.16.302,0.470,238.232,79.695,-94.085
1727525176312,2024-09-28T15.06.16.312,0.480,237.439,71.951,-92.256
1727525176322,2024-09-28T15.06.16.322,0.490,237.927,46.402,-87.012
1727525176332,2024-09-28T15.06.16.332,0.500,237.927,18.293,-84.756
1727525176342,2024-09-28T15.06.16.342,0.510,235.976,-0.183,-85.793
1727525176352,2024-09-28T15.06.16.352,0.520,228.049,0.610,-77.500
1727525176362,2024-09-28T15.06.16.362,0.530,220.000,18.171,-52.256
1727525176372,2024-09-28T15.06.16.372,0.540,218.354,44.695,-23.110
1727525176382,2024-09-28T15.06.16.382,0.550,221.585,66.524,-7.439
1727525176392,2024-09-28T15.06.16.392,0.560,228.049,66.951,-12.317
1727525176402,2024-09-28T15.06.16.402,0.570,234.207,45.610,-28.415
1727525176412,2024-09-28T15.06.16.412,0.580,235.366,5.122,-45.671
1727525176422,2024-09-28T15.06.16.422,0.590,225.305,-41.890,-64.146
1727525176432,2024-09-28T15.06.16.432,0.600,203.780,-74.268,-72.927
1727525176442,2024-09-28T15.06.16.442,0.610,178.902,-65.000,-67.500
1727525176452,2024-09-28T15.06.16.452,0.620,156.220,-2.500,-47.927
