epoc (ms);timestamp (+0300);elapsed (s);acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
1,73E+12;2024-09-28T15.05.06.501;0.000;0.429;0.234;0.958;-215.671;5.000;85.183
1,73E+12;2024-09-28T15.05.06.511;0.010;0.363;0.157;1.037;-217.439;3.659;85.244
1,73E+12;2024-09-28T15.05.06.521;0.020;0.361;0.072;1.065;-222.561;-0.549;83.963
1,73E+12;2024-09-28T15.05.06.531;0.030;0.396;0.036;1.072;-223.780;-2.866;79.878
1,73E+12;2024-09-28T15.05.06.541;0.040;0.393;0.016;1.026;-220.427;-1.037;77.439
1,73E+12;2024-09-28T15.05.06.551;0.050;0.352;-0.007;1.000;-215.976;5.122;79.268
1,73E+12;2024-09-28T15.05.06.561;0.060;0.363;-0.025;0.981;-210.793;14.451;81.890
1,73E+12;2024-09-28T15.05.06.571;0.070;0.373;-0.035;0.888;-208.537;29.268;83.293
1,73E+12;2024-09-28T15.05.06.581;0.080;0.353;-0.058;0.797;-209.451;42.927;84.756
1,73E+12;2024-09-28T15.05.06.591;0.090;0.297;-0.098;0.701;-211.890;48.841;86.098
1,73E+12;2024-09-28T15.05.06.601;0.100;0.230;-0.128;0.643;-215.061;49.329;85.427
1,73E+12;2024-09-28T15.05.06.611;0.110;0.198;-0.176;0.632;-215.122;46.159;82.927
1,73E+12;2024-09-28T15.05.06.621;0.120;0.160;-0.234;0.595;-212.927;39.085;79.756
1,73E+12;2024-09-28T15.05.06.631;0.130;0.119;-0.266;0.540;-209.939;27.622;75.122
1,73E+12;2024-09-28T15.05.06.641;0.140;0.091;-0.299;0.518;-205.244;16.098;70.000
1,73E+12;2024-09-28T15.05.06.651;0.150;0.067;-0.350;0.474;-198.537;8.232;65.854
1,73E+12;2024-09-28T15.05.06.661;0.160;0.059;-0.372;0.425;-191.829;6.707;61.646
1,73E+12;2024-09-28T15.05.06.671;0.170;0.086;-0.391;0.402;-184.817;11.890;57.805
1,73E+12;2024-09-28T15.05.06.681;0.180;0.111;-0.422;0.373;-177.439;21.646;54.085
1,73E+12;2024-09-28T15.05.06.691;0.190;0.095;-0.444;0.315;-170.671;32.378;48.902
1,73E+12;2024-09-28T15.05.06.701;0.200;0.078;-0.460;0.296;-163.780;40.915;42.683
1,73E+12;2024-09-28T15.05.06.711;0.210;0.067;-0.490;0.302;-155.244;46.037;37.378
1,73E+12;2024-09-28T15.05.06.721;0.220;0.045;-0.531;0.268;-145.854;43.902;32.439
1,73E+12;2024-09-28T15.05.06.731;0.230;0.003;-0.548;0.217;-137.073;34.207;25.183
1,73E+12;2024-09-28T15.05.06.741;0.240;-0.031;-0.570;0.213;-128.110;20.976;18.598
1,73E+12;2024-09-28T15.05.06.751;0.250;-0.037;-0.601;0.193;-118.049;6.768;13.354
1,73E+12;2024-09-28T15.05.06.761;0.260;-0.031;-0.614;0.154;-108.720;-6.159;7.622
1,73E+12;2024-09-28T15.05.06.771;0.270;-0.017;-0.628;0.128;-100.366;-13.110;2.134
1,73E+12;2024-09-28T15.05.06.781;0.280;0.031;-0.645;0.119;-92.317;-13.415;-2.073
1,73E+12;2024-09-28T15.05.06.791;0.290;0.084;-0.659;0.092;-85.305;-8.659;-5.793
1,73E+12;2024-09-28T15.05.06.801;0.300;0.099;-0.682;0.050;-78.963;-1.402;-8.963
1,73E+12;2024-09-28T15.05.06.811;0.310;0.095;-0.708;0.000;-72.134;2.561;-11.829
1,73E+12;2024-09-28T15.05.06.821;0.320;0.069;-0.738;-0.051;-64.268;-0.427;-14.878
1,73E+12;2024-09-28T15.05.06.831;0.330;0.038;-0.763;-0.113;-54.817;-9.878;-17.805
1,73E+12;2024-09-28T15.05.06.841;0.340;0.029;-0.797;-0.193;-41.768;-23.780;-19.695
1,73E+12;2024-09-28T15.05.06.851;0.350;0.038;-0.829;-0.263;-24.268;-40.488;-23.963
1,73E+12;2024-09-28T15.05.06.861;0.360;0.055;-0.874;-0.326;0.305;-55.366;-33.110
1,73E+12;2024-09-28T15.05.06.871;0.370;0.082;-0.915;-0.355;33.537;-59.512;-44.695
1,73E+12;2024-09-28T15.05.06.881;0.380;0.145;-0.921;-0.349;74.207;-48.293;-54.268
1,73E+12;2024-09-28T15.05.06.891;0.390;0.234;-0.905;-0.342;121.220;-28.171;-60.488
1,73E+12;2024-09-28T15.05.06.901;0.400;0.253;-0.865;-0.306;168.293;-5.854;-65.793
1,73E+12;2024-09-28T15.05.06.911;0.410;0.188;-0.812;-0.210;212.500;14.268;-66.890
1,73E+12;2024-09-28T15.05.06.921;0.420;0.137;-0.737;-0.115;251.890;24.634;-64.512
1,73E+12;2024-09-28T15.05.06.931;0.430;0.100;-0.632;-0.017;280.366;27.561;-58.171
1,73E+12;2024-09-28T15.05.06.941;0.440;0.071;-0.529;0.063;295.976;27.012;-49.817
1,73E+12;2024-09-28T15.05.06.951;0.450;0.092;-0.394;0.117;298.537;27.500;-42.317
1,73E+12;2024-09-28T15.05.06.961;0.460;0.191;-0.267;0.174;291.463;30.976;-37.378
1,73E+12;2024-09-28T15.05.06.971;0.470;0.313;-0.179;0.262;281.220;33.476;-37.927
1,73E+12;2024-09-28T15.05.06.981;0.480;0.309;-0.126;0.433;273.537;35.122;-45.000
1,73E+12;2024-09-28T15.05.06.991;0.490;0.194;-0.142;0.626;271.829;31.829;-48.232
1,73E+12;2024-09-28T15.05.07.001;0.500;0.095;-0.157;0.706;273.232;22.378;-47.195
1,73E+12;2024-09-28T15.05.07.011;0.510;0.094;-0.117;0.706;273.659;10.488;-49.512
1,73E+12;2024-09-28T15.05.07.021;0.520;0.148;-0.068;0.699;272.988;0.244;-56.280
1,73E+12;2024-09-28T15.05.07.031;0.530;0.180;-0.018;0.719;273.902;-6.341;-63.598
1,73E+12;2024-09-28T15.05.07.041;0.540;0.204;0.015;0.776;276.585;-8.537;-68.476
1,73E+12;2024-09-28T15.05.07.051;0.550;0.189;0.056;0.833;271.768;3.537;-66.829
1,73E+12;2024-09-28T15.05.07.061;0.560;0.220;0.131;0.893;257.866;29.817;-54.024
1,73E+12;2024-09-28T15.05.07.071;0.570;0.405;0.210;0.958;244.573;56.524;-42.744
1,73E+12;2024-09-28T15.05.07.081;0.580;0.490;0.245;1.028;233.049;77.683;-42.927
1,73E+12;2024-09-28T15.05.07.091;0.590;0.328;0.209;1.052;223.476;74.512;-44.024
1,73E+12;2024-09-28T15.05.07.101;0.600;0.093;0.203;1.041;218.659;41.707;-43.537
1,73E+12;2024-09-28T15.05.07.111;0.610;0.004;0.231;1.089;219.390;4.573;-45.427
1,73E+12;2024-09-28T15.05.07.121;0.620;0.094;0.236;1.180;224.451;-13.598;-48.720
1,73E+12;2024-09-28T15.05.07.131;0.630;0.219;0.256;1.231;227.073;-8.171;-52.927
1,73E+12;2024-09-28T15.05.07.141;0.640;0.281;0.314;1.234;224.451;11.037;-55.122
1,73E+12;2024-09-28T15.05.07.151;0.650;0.257;0.388;1.164;211.707;32.988;-50.000
1,73E+12;2024-09-28T15.05.07.161;0.660;0.218;0.492;1.090;189.939;54.024;-33.171
1,73E+12;2024-09-28T15.05.07.171;0.670;0.264;0.541;1.092;169.695;61.585;-13.354
1,73E+12;2024-09-28T15.05.07.181;0.680;0.239;0.560;1.136;155.854;43.963;-5.122
1,73E+12;2024-09-28T15.05.07.191;0.690;0.117;0.540;1.182;148.232;1.951;-8.537
1,73E+12;2024-09-28T15.05.07.201;0.700;0.057;0.524;1.215;145.854;-42.378;-14.390
1,73E+12;2024-09-28T15.05.07.211;0.710;0.157;0.521;1.246;147.622;-63.049;-18.598
1,73E+12;2024-09-28T15.05.07.221;0.720;0.346;0.538;1.305;151.220;-46.707;-21.524
1,73E+12;2024-09-28T15.05.07.231;0.730;0.517;0.548;1.412;156.829;-3.841;-21.220
1,73E+12;2024-09-28T15.05.07.241;0.740;0.544;0.562;1.573;162.683;45.000;-19.451
1,73E+12;2024-09-28T15.05.07.251;0.750;0.396;0.605;1.641;161.585;82.317;-14.695
1,73E+12;2024-09-28T15.05.07.261;0.760;0.228;0.676;1.650;150.366;94.634;-1.646
1,73E+12;2024-09-28T15.05.07.271;0.770;0.117;0.737;1.672;132.256;72.988;10.061
1,73E+12;2024-09-28T15.05.07.281;0.780;-0.025;0.802;1.686;105.732;28.354;7.378
1,73E+12;2024-09-28T15.05.07.291;0.790;-0.128;0.828;1.657;71.220;-24.695;-0.244
1,73E+12;2024-09-28T15.05.07.301;0.800;-0.132;0.805;1.619;35.244;-71.280;-3.293
1,73E+12;2024-09-28T15.05.07.311;0.810;-0.042;0.785;1.608;2.073;-99.268;-3.476
1,73E+12;2024-09-28T15.05.07.321;0.820;0.130;0.753;1.648;-23.720;-103.780;-5.549
1,73E+12;2024-09-28T15.05.07.331;0.830;0.303;0.716;1.664;-42.012;-91.159;-9.817
1,73E+12;2024-09-28T15.05.07.341;0.840;0.385;0.694;1.619;-55.976;-71.768;-12.744
1,73E+12;2024-09-28T15.05.07.351;0.850;0.384;0.671;1.554;-68.476;-53.598;-10.976
1,73E+12;2024-09-28T15.05.07.361;0.860;0.364;0.638;1.495;-79.939;-41.951;-5.610
1,73E+12;2024-09-28T15.05.07.371;0.870;0.366;0.623;1.441;-89.878;-37.683;0.183
1,73E+12;2024-09-28T15.05.07.381;0.880;0.367;0.615;1.398;-99.939;-35.488;6.280
1,73E+12;2024-09-28T15.05.07.391;0.890;0.374;0.603;1.346;-111.220;-34.512;13.780
1,73E+12;2024-09-28T15.05.07.401;0.900;0.401;0.602;1.294;-123.110;-34.878;19.268
1,73E+12;2024-09-28T15.05.07.411;0.910;0.438;0.604;1.264;-134.085;-34.573;21.585
1,73E+12;2024-09-28T15.05.07.421;0.920;0.461;0.590;1.267;-143.110;-30.549;22.317
1,73E+12;2024-09-28T15.05.07.431;0.930;0.448;0.558;1.294;-150.915;-20.366;25.244
1,73E+12;2024-09-28T15.05.07.441;0.940;0.450;0.534;1.347;-156.524;-6.098;30.854
1,73E+12;2024-09-28T15.05.07.451;0.950;0.482;0.523;1.359;-160.671;9.146;33.720
1,73E+12;2024-09-28T15.05.07.461;0.960;0.480;0.515;1.330;-166.037;20.122;34.573
1,73E+12;2024-09-28T15.05.07.471;0.970;0.394;0.482;1.289;-173.293;15.915;38.293
1,73E+12;2024-09-28T15.05.07.481;0.980;0.273;0.462;1.235;-183.354;-6.220;43.963
1,73E+12;2024-09-28T15.05.07.491;0.990;0.215;0.436;1.175;-196.037;-37.561;50.793
1,73E+12;2024-09-28T15.05.07.501;1.000;0.250;0.397;1.148;-208.232;-64.756;56.341
1,73E+12;2024-09-28T15.05.07.511;1.010;0.355;0.351;1.158;-216.341;-76.220;59.451
1,73E+12;2024-09-28T15.05.07.521;1.020;0.462;0.292;1.151;-220.976;-68.476;62.561
1,73E+12;2024-09-28T15.05.07.531;1.030;0.538;0.248;1.101;-224.390;-49.146;64.756
1,73E+12;2024-09-28T15.05.07.541;1.040;0.549;0.212;1.050;-226.585;-25.854;66.707
1,73E+12;2024-09-28T15.05.07.551;1.050;0.538;0.167;0.995;-225.854;-5.610;68.476
1,73E+12;2024-09-28T15.05.07.561;1.060;0.502;0.135;0.922;-224.512;9.573;69.451
1,73E+12;2024-09-28T15.05.07.571;1.070;0.438;0.089;0.839;-221.951;14.512;71.829
1,73E+12;2024-09-28T15.05.07.581;1.080;0.350;0.047;0.742;-219.268;6.646;74.390
1,73E+12;2024-09-28T15.05.07.591;1.090;0.249;0.015;0.637;-219.756;-4.756;77.378
1,73E+12;2024-09-28T15.05.07.601;1.100;0.236;-0.028;0.585;-220.000;-12.622;82.012
1,73E+12;2024-09-28T15.05.07.611;1.110;0.307;-0.073;0.622;-215.976;-8.780;83.049
1,73E+12;2024-09-28T15.05.07.621;1.120;0.355;-0.120;0.653;-210.976;11.524;80.305
1,73E+12;2024-09-28T15.05.07.631;1.130;0.386;-0.146;0.667;-206.646;39.512;78.171
1,73E+12;2024-09-28T15.05.07.641;1.140;0.374;-0.166;0.669;-202.500;64.512;78.293
1,73E+12;2024-09-28T15.05.07.651;1.150;0.324;-0.197;0.635;-198.476;73.049;78.110
1,73E+12;2024-09-28T15.05.07.661;1.160;0.228;-0.219;0.554;-196.585;60.183;75.732
1,73E+12;2024-09-28T15.05.07.671;1.170;0.120;-0.263;0.500;-197.012;31.463;75.305
1,73E+12;2024-09-28T15.05.07.681;1.180;0.079;-0.316;0.499;-196.646;-0.244;75.000
1,73E+12;2024-09-28T15.05.07.691;1.190;0.134;-0.362;0.514;-194.573;-19.146;73.171
1,73E+12;2024-09-28T15.05.07.701;1.200;0.218;-0.396;0.557;-191.463;-17.195;71.890
1,73E+12;2024-09-28T15.05.07.711;1.210;0.272;-0.426;0.506;-189.390;0.183;72.500
1,73E+12;2024-09-28T15.05.07.721;1.220;0.304;-0.436;0.419;-189.634;22.500;71.951
1,73E+12;2024-09-28T15.05.07.731;1.230;0.285;-0.459;0.323;-190.427;43.415;69.573
1,73E+12;2024-09-28T15.05.07.741;1.240;0.221;-0.494;0.272;-188.780;58.049;66.829
1,73E+12;2024-09-28T15.05.07.751;1.250;0.144;-0.540;0.281;-180.732;62.622;63.659
1,73E+12;2024-09-28T15.05.07.761;1.260;0.064;-0.590;0.296;-167.561;58.841;60.976
1,73E+12;2024-09-28T15.05.07.771;1.270;0.018;-0.622;0.279;-152.256;51.037;57.866
1,73E+12;2024-09-28T15.05.07.781;1.280;0.013;-0.644;0.261;-135.671;42.012;53.598
1,73E+12;2024-09-28T15.05.07.791;1.290;-0.006;-0.669;0.223;-120.061;33.354;50.671
1,73E+12;2024-09-28T15.05.07.801;1.300;-0.035;-0.687;0.163;-106.402;25.549;46.524
1,73E+12;2024-09-28T15.05.07.811;1.310;-0.027;-0.695;0.122;-94.878;21.220;40.488
1,73E+12;2024-09-28T15.05.07.821;1.320;-0.000;-0.710;0.077;-85.122;20.610;32.317
1,73E+12;2024-09-28T15.05.07.831;1.330;0.002;-0.719;0.049;-76.829;23.110;21.768
1,73E+12;2024-09-28T15.05.07.841;1.340;-0.056;-0.735;0.053;-67.988;22.805;13.476
1,73E+12;2024-09-28T15.05.07.851;1.350;-0.149;-0.759;0.053;-56.280;14.024;8.110
1,73E+12;2024-09-28T15.05.07.861;1.360;-0.203;-0.779;0.046;-42.988;0.549;3.110
1,73E+12;2024-09-28T15.05.07.871;1.370;-0.193;-0.796;0.057;-27.744;-10.671;-3.354
1,73E+12;2024-09-28T15.05.07.881;1.380;-0.144;-0.812;0.073;-10.244;-18.902;-10.427
1,73E+12;2024-09-28T15.05.07.891;1.390;-0.129;-0.818;0.069;8.720;-26.037;-19.451
1,73E+12;2024-09-28T15.05.07.901;1.400;-0.134;-0.822;0.056;28.110;-33.780;-28.659
1,73E+12;2024-09-28T15.05.07.911;1.410;-0.129;-0.817;0.062;48.049;-36.829;-37.256
1,73E+12;2024-09-28T15.05.07.921;1.420;-0.092;-0.811;0.078;66.951;-32.500;-44.939
1,73E+12;2024-09-28T15.05.07.931;1.430;-0.041;-0.810;0.107;84.329;-20.793;-52.012
1,73E+12;2024-09-28T15.05.07.941;1.440;-0.028;-0.806;0.149;100.061;-4.878;-58.110
1,73E+12;2024-09-28T15.05.07.951;1.450;-0.035;-0.787;0.184;114.024;10.671;-62.195
