epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1727525139081,2024-09-28T15.05.39.081,0.000,-197.134,-16.829,60.244
1727525139091,2024-09-28T15.05.39.091,0.010,-203.171,-16.220,63.598
1727525139101,2024-09-28T15.05.39.101,0.020,-233.415,-16.098,79.207
1727525139111,2024-09-28T15.05.39.111,0.030,-266.585,-20.244,90.854
1727525139121,2024-09-28T15.05.39.121,0.040,-287.317,-25.976,86.463
1727525139131,2024-09-28T15.05.39.131,0.050,-296.098,-31.402,83.537
1727525139141,2024-09-28T15.05.39.141,0.060,-295.122,-36.037,88.659
1727525139151,2024-09-28T15.05.39.151,0.070,-290.427,-35.976,93.293
1727525139161,2024-09-28T15.05.39.161,0.080,-287.195,-34.146,95.244
1727525139171,2024-09-28T15.05.39.171,0.090,-285.671,-32.073,96.524
1727525139181,2024-09-28T15.05.39.181,0.100,-283.902,-26.463,99.329
1727525139191,2024-09-28T15.05.39.191,0.110,-280.000,-13.963,100.793
1727525139201,2024-09-28T15.05.39.201,0.120,-274.573,7.866,102.439
1727525139211,2024-09-28T15.05.39.211,0.130,-269.695,28.537,106.402
1727525139221,2024-09-28T15.05.39.221,0.140,-268.354,45.549,111.768
1727525139231,2024-09-28T15.05.39.231,0.150,-267.866,56.159,120.549
1727525139241,2024-09-28T15.05.39.241,0.160,-265.427,60.122,123.110
1727525139251,2024-09-28T15.05.39.251,0.170,-259.756,59.817,118.415
1727525139261,2024-09-28T15.05.39.261,0.180,-250.671,53.415,113.841
1727525139271,2024-09-28T15.05.39.271,0.190,-239.390,45.061,110.488
1727525139281,2024-09-28T15.05.39.281,0.200,-225.610,37.744,107.561
1727525139291,2024-09-28T15.05.39.291,0.210,-211.768,32.805,103.476
1727525139301,2024-09-28T15.05.39.301,0.220,-199.878,31.280,97.683
1727525139311,2024-09-28T15.05.39.311,0.230,-190.366,31.280,94.390
1727525139321,2024-09-28T15.05.39.321,0.240,-182.927,28.780,93.537
1727525139331,2024-09-28T15.05.39.331,0.250,-177.195,22.622,93.049
1727525139341,2024-09-28T15.05.39.341,0.260,-172.378,17.012,92.256
1727525139351,2024-09-28T15.05.39.351,0.270,-167.805,16.098,90.732
1727525139361,2024-09-28T15.05.39.361,0.280,-163.171,21.280,90.732
1727525139371,2024-09-28T15.05.39.371,0.290,-157.073,23.963,91.951
1727525139381,2024-09-28T15.05.39.381,0.300,-148.963,23.476,88.598
1727525139391,2024-09-28T15.05.39.391,0.310,-140.671,21.402,82.073
1727525139401,2024-09-28T15.05.39.401,0.320,-131.220,17.073,75.244
1727525139411,2024-09-28T15.05.39.411,0.330,-120.732,8.537,68.476
1727525139421,2024-09-28T15.05.39.421,0.340,-109.512,-2.012,61.341
1727525139431,2024-09-28T15.05.39.431,0.350,-96.524,-12.744,53.659
1727525139441,2024-09-28T15.05.39.441,0.360,-81.524,-23.171,45.976
1727525139451,2024-09-28T15.05.39.451,0.370,-64.573,-31.159,38.110
1727525139461,2024-09-28T15.05.39.461,0.380,-45.732,-32.256,30.000
1727525139471,2024-09-28T15.05.39.471,0.390,-26.341,-26.098,23.171
1727525139481,2024-09-28T15.05.39.481,0.400,-8.354,-17.195,17.012
1727525139491,2024-09-28T15.05.39.491,0.410,5.915,-8.476,10.732
1727525139501,2024-09-28T15.05.39.501,0.420,17.500,-0.915,5.061
1727525139511,2024-09-28T15.05.39.511,0.430,26.402,3.537,-0.488
1727525139521,2024-09-28T15.05.39.521,0.440,33.963,1.646,-6.524
1727525139531,2024-09-28T15.05.39.531,0.450,42.256,-5.183,-12.988
1727525139541,2024-09-28T15.05.39.541,0.460,53.232,-14.451,-19.573
1727525139551,2024-09-28T15.05.39.551,0.470,66.037,-23.110,-27.317
1727525139561,2024-09-28T15.05.39.561,0.480,80.122,-31.037,-36.220
1727525139571,2024-09-28T15.05.39.571,0.490,94.634,-38.354,-45.000
1727525139581,2024-09-28T15.05.39.581,0.500,109.024,-46.159,-53.537
1727525139591,2024-09-28T15.05.39.591,0.510,122.927,-53.415,-62.683
