epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1727525208262,2024-09-28T15.06.48.262,0.810,172.012,11.951,-28.232
1727525208272,2024-09-28T15.06.48.272,0.820,148.720,-32.378,-7.378
1727525208282,2024-09-28T15.06.48.282,0.830,134.329,-54.268,1.463
1727525208292,2024-09-28T15.06.48.292,0.840,126.159,-51.402,1.524
1727525208302,2024-09-28T15.06.48.302,0.850,121.159,-34.451,4.878
1727525208312,2024-09-28T15.06.48.312,0.860,117.134,-15.183,10.976
1727525208322,2024-09-28T15.06.48.322,0.870,113.232,-0.244,12.317
1727525208332,2024-09-28T15.06.48.332,0.880,109.756,6.585,8.902
1727525208342,2024-09-28T15.06.48.342,0.890,105.915,2.012,4.024
1727525208352,2024-09-28T15.06.48.352,0.900,97.195,-10.427,2.134
1727525208362,2024-09-28T15.06.48.362,0.910,81.524,-27.439,6.341
1727525208372,2024-09-28T15.06.48.372,0.920,58.720,-41.280,15.183
1727525208382,2024-09-28T15.06.48.382,0.930,32.683,-43.476,26.220
1727525208392,2024-09-28T15.06.48.392,0.940,12.134,-38.232,36.524
1727525208402,2024-09-28T15.06.48.402,0.950,-1.524,-34.390,35.305
1727525208412,2024-09-28T15.06.48.412,0.960,-12.683,-34.634,21.646
1727525208422,2024-09-28T15.06.48.422,0.970,-20.488,-45.915,12.134
1727525208432,2024-09-28T15.06.48.432,0.980,-25.488,-72.988,12.012
1727525208442,2024-09-28T15.06.48.442,0.990,-32.256,-112.195,11.646
1727525208452,2024-09-28T15.06.48.452,1.000,-41.463,-153.902,10.671
1727525208462,2024-09-28T15.06.48.462,1.010,-52.317,-187.256,13.537
1727525208472,2024-09-28T15.06.48.472,1.020,-64.268,-196.220,19.268
1727525208482,2024-09-28T15.06.48.482,1.030,-74.573,-175.549,28.354
1727525208492,2024-09-28T15.06.48.492,1.040,-84.024,-130.976,40.183
1727525208502,2024-09-28T15.06.48.502,1.050,-95.061,-73.780,51.220
1727525208512,2024-09-28T15.06.48.512,1.060,-108.293,-18.720,59.817
1727525208522,2024-09-28T15.06.48.522,1.070,-122.927,23.049,62.683
1727525208532,2024-09-28T15.06.48.532,1.080,-138.963,45.610,60.793
1727525208542,2024-09-28T15.06.48.542,1.090,-154.329,52.805,58.476
1727525208552,2024-09-28T15.06.48.552,1.100,-166.037,49.939,58.171
1727525208562,2024-09-28T15.06.48.562,1.110,-174.634,41.220,57.012
1727525208572,2024-09-28T15.06.48.572,1.120,-180.854,28.415,58.902
1727525208582,2024-09-28T15.06.48.582,1.130,-186.098,14.451,63.963
1727525208592,2024-09-28T15.06.48.592,1.140,-191.220,7.439,67.561
1727525208602,2024-09-28T15.06.48.602,1.150,-197.744,9.512,70.000
1727525208612,2024-09-28T15.06.48.612,1.160,-206.585,16.098,74.878
1727525208622,2024-09-28T15.06.48.622,1.170,-215.244,24.451,82.195
1727525208632,2024-09-28T15.06.48.632,1.180,-220.183,33.415,83.476
1727525208642,2024-09-28T15.06.48.642,1.190,-222.134,42.744,78.354
1727525208652,2024-09-28T15.06.48.652,1.200,-221.402,48.232,74.878
1727525208662,2024-09-28T15.06.48.662,1.210,-219.146,47.561,75.610
1727525208672,2024-09-28T15.06.48.672,1.220,-216.768,41.707,77.805
1727525208682,2024-09-28T15.06.48.682,1.230,-215.305,38.659,79.451
1727525208692,2024-09-28T15.06.48.692,1.240,-213.171,40.305,82.500
1727525208702,2024-09-28T15.06.48.702,1.250,-210.671,45.549,85.671
1727525208712,2024-09-28T15.06.48.712,1.260,-208.720,54.085,85.915
1727525208722,2024-09-28T15.06.48.722,1.270,-207.500,63.963,87.134
1727525208732,2024-09-28T15.06.48.732,1.280,-204.695,74.329,90.671
1727525208742,2024-09-28T15.06.48.742,1.290,-200.488,84.451,90.610
1727525208752,2024-09-28T15.06.48.752,1.300,-196.646,92.988,85.000
1727525208762,2024-09-28T15.06.48.762,1.310,-193.171,96.829,79.268
1727525208772,2024-09-28T15.06.48.772,1.320,-190.854,94.268,77.561
1727525208782,2024-09-28T15.06.48.782,1.330,-191.341,86.341,77.927
1727525208792,2024-09-28T15.06.48.792,1.340,-192.500,71.098,75.793
1727525208802,2024-09-28T15.06.48.802,1.350,-194.390,55.915,73.963
1727525208812,2024-09-28T15.06.48.812,1.360,-194.817,40.793,77.073
1727525208822,2024-09-28T15.06.48.822,1.370,-190.854,27.012,79.085
1727525208832,2024-09-28T15.06.48.832,1.380,-183.720,24.451,78.110
1727525208842,2024-09-28T15.06.48.842,1.390,-173.963,30.061,74.756
1727525208852,2024-09-28T15.06.48.852,1.400,-163.659,41.341,69.268
1727525208862,2024-09-28T15.06.48.862,1.410,-155.366,53.841,66.098
1727525208872,2024-09-28T15.06.48.872,1.420,-147.317,60.122,64.878
1727525208882,2024-09-28T15.06.48.882,1.430,-138.841,59.756,64.268
1727525208892,2024-09-28T15.06.48.892,1.440,-130.305,52.073,63.780
1727525208902,2024-09-28T15.06.48.902,1.450,-121.037,29.756,64.329
1727525208912,2024-09-28T15.06.48.912,1.460,-108.720,-13.293,65.610
1727525208922,2024-09-28T15.06.48.922,1.470,-94.634,-66.402,64.329
1727525208932,2024-09-28T15.06.48.932,1.480,-80.854,-108.963,64.329
1727525208942,2024-09-28T15.06.48.942,1.490,-68.049,-134.329,67.134
1727525208952,2024-09-28T15.06.48.952,1.500,-55.915,-138.780,60.976
1727525208962,2024-09-28T15.06.48.962,1.510,-45.244,-114.756,46.951
1727525208972,2024-09-28T15.06.48.972,1.520,-32.561,-72.195,36.707
1727525208982,2024-09-28T15.06.48.982,1.530,-14.390,-27.988,27.622
1727525208992,2024-09-28T15.06.48.992,1.540,6.098,5.000,17.561
1727525209002,2024-09-28T15.06.49.002,1.550,28.415,17.927,11.341
1727525209012,2024-09-28T15.06.49.012,1.560,49.756,16.646,9.024
1727525209022,2024-09-28T15.06.49.022,1.570,67.805,10.976,5.122
1727525209032,2024-09-28T15.06.49.032,1.580,82.927,4.390,-3.354
1727525209042,2024-09-28T15.06.49.042,1.590,96.402,-7.683,-12.378
1727525209052,2024-09-28T15.06.49.052,1.600,108.720,-26.951,-20.732
1727525209062,2024-09-28T15.06.49.062,1.610,120.488,-49.756,-30.122
1727525209072,2024-09-28T15.06.49.072,1.620,132.500,-68.841,-39.451
1727525209082,2024-09-28T15.06.49.082,1.630,145.366,-80.854,-46.402
1727525209092,2024-09-28T15.06.49.092,1.640,157.866,-84.207,-52.561
1727525209102,2024-09-28T15.06.49.102,1.650,169.756,-73.902,-58.537
1727525209112,2024-09-28T15.06.49.112,1.660,180.061,-48.659,-62.744
1727525209122,2024-09-28T15.06.49.122,1.670,189.573,-9.939,-65.671
1727525209132,2024-09-28T15.06.49.132,1.680,199.085,36.646,-68.415
1727525209142,2024-09-28T15.06.49.142,1.690,208.598,78.049,-70.915
1727525209152,2024-09-28T15.06.49.152,1.700,216.585,101.402,-73.963
1727525209162,2024-09-28T15.06.49.162,1.710,219.451,101.037,-74.512
1727525209172,2024-09-28T15.06.49.172,1.720,218.537,74.085,-69.329
1727525209182,2024-09-28T15.06.49.182,1.730,216.646,30.244,-62.439
1727525209192,2024-09-28T15.06.49.192,1.740,216.463,-13.963,-56.768
1727525209202,2024-09-28T15.06.49.202,1.750,220.671,-46.098,-56.951
