epoc (ms);timestamp (+0300);elapsed (s);acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
1,72752E+12;2024-09-28T15.01.55.250;0.000;0.080;-0.843;0.024;121.890;-3.232;-5.305
1,72752E+12;2024-09-28T15.01.55.260;0.010;0.090;-0.819;0.025;124.817;-3.415;-5.366
1,72752E+12;2024-09-28T15.01.55.270;0.020;0.094;-0.787;0.028;138.354;-3.232;-8.049
1,72752E+12;2024-09-28T15.01.55.280;0.030;0.071;-0.765;0.036;153.841;-5.549;-11.220
1,72752E+12;2024-09-28T15.01.55.290;0.040;0.048;-0.732;0.069;166.037;-7.927;-13.354
1,72752E+12;2024-09-28T15.01.55.300;0.050;0.053;-0.692;0.121;177.744;-8.232;-16.037
1,72752E+12;2024-09-28T15.01.55.310;0.060;0.052;-0.662;0.164;189.451;-7.866;-18.415
1,72752E+12;2024-09-28T15.01.55.320;0.070;0.033;-0.620;0.208;200.366;-10.549;-19.878
1,72752E+12;2024-09-28T15.01.55.330;0.080;0.036;-0.552;0.234;210.427;-15.976;-20.976
1,72752E+12;2024-09-28T15.01.55.340;0.090;0.055;-0.502;0.295;219.695;-17.073;-19.451
1,72752E+12;2024-09-28T15.01.55.350;0.100;0.106;-0.464;0.384;227.988;-11.768;-17.317
1,72752E+12;2024-09-28T15.01.55.360;0.110;0.182;-0.411;0.469;234.268;-0.915;-18.902
1,72752E+12;2024-09-28T15.01.55.370;0.120;0.202;-0.367;0.496;237.012;8.659;-21.341
1,72752E+12;2024-09-28T15.01.55.380;0.130;0.156;-0.331;0.471;236.890;5.671;-20.244
1,72752E+12;2024-09-28T15.01.55.390;0.140;0.061;-0.281;0.454;234.451;-11.646;-19.634
1,72752E+12;2024-09-28T15.01.55.400;0.150;-0.019;-0.219;0.528;231.341;-35.488;-20.610
1,72752E+12;2024-09-28T15.01.55.410;0.160;-0.023;-0.181;0.633;231.159;-59.329;-20.549
1,72752E+12;2024-09-28T15.01.55.420;0.170;0.018;-0.144;0.720;233.171;-71.402;-22.683
1,72752E+12;2024-09-28T15.01.55.430;0.180;0.104;-0.101;0.786;233.537;-67.439;-25.000
1,72752E+12;2024-09-28T15.01.55.440;0.190;0.221;-0.043;0.830;230.793;-48.537;-26.524
1,72752E+12;2024-09-28T15.01.55.450;0.200;0.326;0.031;0.854;223.537;-16.707;-26.951
1,72752E+12;2024-09-28T15.01.55.460;0.210;0.424;0.099;0.912;215.549;17.866;-26.402
1,72752E+12;2024-09-28T15.01.55.470;0.220;0.470;0.156;1.003;210.183;45.366;-29.451
1,72752E+12;2024-09-28T15.01.55.480;0.230;0.371;0.175;1.094;207.988;59.268;-33.110
1,72752E+12;2024-09-28T15.01.55.490;0.240;0.183;0.163;1.196;210.122;51.341;-30.122
1,72752E+12;2024-09-28T15.01.55.500;0.250;0.032;0.162;1.230;212.683;25.732;-25.061
1,72752E+12;2024-09-28T15.01.55.510;0.260;-0.013;0.193;1.207;208.780;3.720;-25.122
1,72752E+12;2024-09-28T15.01.55.520;0.270;0.065;0.219;1.200;198.537;-2.378;-23.902
1,72752E+12;2024-09-28T15.01.55.530;0.280;0.200;0.247;1.219;186.890;4.451;-20.854
1,72752E+12;2024-09-28T15.01.55.540;0.290;0.264;0.280;1.285;175.427;20.915;-21.159
1,72752E+12;2024-09-28T15.01.55.550;0.300;0.258;0.274;1.341;166.768;35.610;-21.220
1,72752E+12;2024-09-28T15.01.55.560;0.310;0.239;0.266;1.355;161.220;37.683;-23.415
