epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1727524946929,2024-09-28T15.02.26.929,0.000,0.534,0.169,1.139
1727524946939,2024-09-28T15.02.26.939,0.010,0.552,0.123,1.080
1727524946949,2024-09-28T15.02.26.949,0.020,0.553,0.073,1.018
1727524946959,2024-09-28T15.02.26.959,0.030,0.536,0.007,0.986
1727524946969,2024-09-28T15.02.26.969,0.040,0.486,-0.049,0.960
1727524946979,2024-09-28T15.02.26.979,0.050,0.425,-0.079,0.874
1727524946989,2024-09-28T15.02.26.989,0.060,0.380,-0.094,0.799
1727524946999,2024-09-28T15.02.26.999,0.070,0.404,-0.116,0.722
1727524947009,2024-09-28T15.02.27.009,0.080,0.444,-0.125,0.637
1727524947019,2024-09-28T15.02.27.019,0.090,0.477,-0.142,0.577
1727524947029,2024-09-28T15.02.27.029,0.100,0.521,-0.172,0.521
1727524947039,2024-09-28T15.02.27.039,0.110,0.526,-0.204,0.473
1727524947049,2024-09-28T15.02.27.049,0.120,0.460,-0.275,0.422
1727524947059,2024-09-28T15.02.27.059,0.130,0.335,-0.342,0.350
1727524947069,2024-09-28T15.02.27.069,0.140,0.201,-0.397,0.305
1727524947079,2024-09-28T15.02.27.079,0.150,0.087,-0.472,0.274
1727524947089,2024-09-28T15.02.27.089,0.160,0.028,-0.519,0.231
1727524947099,2024-09-28T15.02.27.099,0.170,0.030,-0.543,0.201
1727524947109,2024-09-28T15.02.27.109,0.180,0.074,-0.567,0.151
1727524947119,2024-09-28T15.02.27.119,0.190,0.131,-0.589,0.086
1727524947129,2024-09-28T15.02.27.129,0.200,0.182,-0.603,0.043
1727524947139,2024-09-28T15.02.27.139,0.210,0.196,-0.622,-0.016
1727524947149,2024-09-28T15.02.27.149,0.220,0.168,-0.640,-0.079
1727524947159,2024-09-28T15.02.27.159,0.230,0.115,-0.652,-0.153
1727524947169,2024-09-28T15.02.27.169,0.240,0.030,-0.674,-0.211
1727524947179,2024-09-28T15.02.27.179,0.250,-0.021,-0.735,-0.229
1727524947189,2024-09-28T15.02.27.189,0.260,-0.008,-0.803,-0.204
1727524947199,2024-09-28T15.02.27.199,0.270,0.049,-0.847,-0.114
1727524947209,2024-09-28T15.02.27.209,0.280,0.119,-0.890,-0.042
1727524947219,2024-09-28T15.02.27.219,0.290,0.121,-0.903,-0.036
1727524947229,2024-09-28T15.02.27.229,0.300,0.086,-0.872,-0.114
1727524947239,2024-09-28T15.02.27.239,0.310,0.024,-0.842,-0.213
1727524947249,2024-09-28T15.02.27.249,0.320,-0.059,-0.812,-0.277
1727524947259,2024-09-28T15.02.27.259,0.330,-0.102,-0.779,-0.267
1727524947269,2024-09-28T15.02.27.269,0.340,-0.107,-0.757,-0.202
1727524947279,2024-09-28T15.02.27.279,0.350,-0.115,-0.747,-0.124
1727524947289,2024-09-28T15.02.27.289,0.360,-0.123,-0.746,-0.064
1727524947299,2024-09-28T15.02.27.299,0.370,-0.092,-0.746,-0.024
1727524947309,2024-09-28T15.02.27.309,0.380,-0.050,-0.734,0.033
1727524947319,2024-09-28T15.02.27.319,0.390,0.011,-0.735,0.089
1727524947329,2024-09-28T15.02.27.329,0.400,0.069,-0.717,0.120
1727524947339,2024-09-28T15.02.27.339,0.410,0.132,-0.667,0.145
1727524947349,2024-09-28T15.02.27.349,0.420,0.214,-0.618,0.173
1727524947359,2024-09-28T15.02.27.359,0.430,0.256,-0.563,0.228
1727524947369,2024-09-28T15.02.27.369,0.440,0.244,-0.502,0.281
1727524947379,2024-09-28T15.02.27.379,0.450,0.203,-0.452,0.302
1727524947389,2024-09-28T15.02.27.389,0.460,0.164,-0.377,0.329
1727524947399,2024-09-28T15.02.27.399,0.470,0.139,-0.338,0.417
1727524947409,2024-09-28T15.02.27.409,0.480,0.148,-0.335,0.531
1727524947419,2024-09-28T15.02.27.419,0.490,0.164,-0.317,0.575
1727524947429,2024-09-28T15.02.27.429,0.500,0.206,-0.275,0.597
1727524947439,2024-09-28T15.02.27.439,0.510,0.297,-0.227,0.641
1727524947449,2024-09-28T15.02.27.449,0.520,0.343,-0.172,0.732
1727524947459,2024-09-28T15.02.27.459,0.530,0.331,-0.119,0.836
1727524947469,2024-09-28T15.02.27.469,0.540,0.218,-0.056,0.851
1727524947479,2024-09-28T15.02.27.479,0.550,-0.096,0.049,0.668
1727524947489,2024-09-28T15.02.27.489,0.560,-0.246,0.218,0.534
1727524947499,2024-09-28T15.02.27.499,0.570,-0.057,0.422,0.536
1727524947509,2024-09-28T15.02.27.509,0.580,0.037,0.497,0.743
1727524947519,2024-09-28T15.02.27.519,0.590,-0.048,0.389,1.083
1727524947529,2024-09-28T15.02.27.529,0.600,-0.119,0.332,1.396
1727524947539,2024-09-28T15.02.27.539,0.610,-0.003,0.383,1.580
1727524947549,2024-09-28T15.02.27.549,0.620,0.153,0.440,1.657
1727524947559,2024-09-28T15.02.27.559,0.630,0.144,0.482,1.690
1727524947569,2024-09-28T15.02.27.569,0.640,-0.030,0.544,1.497
1727524947579,2024-09-28T15.02.27.579,0.650,-0.220,0.666,1.254
1727524947589,2024-09-28T15.02.27.589,0.660,-0.056,0.810,1.202
1727524947599,2024-09-28T15.02.27.599,0.670,0.274,0.896,1.300
1727524947609,2024-09-28T15.02.27.609,0.680,0.405,0.804,1.420
1727524947619,2024-09-28T15.02.27.619,0.690,0.374,0.644,1.495
1727524947629,2024-09-28T15.02.27.629,0.700,0.328,0.602,1.541
1727524947639,2024-09-28T15.02.27.639,0.710,0.302,0.576,1.540
1727524947649,2024-09-28T15.02.27.649,0.720,0.276,0.538,1.488
1727524947659,2024-09-28T15.02.27.659,0.730,0.205,0.514,1.422
1727524947669,2024-09-28T15.02.27.669,0.740,0.105,0.497,1.365
1727524947679,2024-09-28T15.02.27.679,0.750,0.029,0.476,1.321
1727524947689,2024-09-28T15.02.27.689,0.760,0.005,0.448,1.285
1727524947699,2024-09-28T15.02.27.699,0.770,-0.002,0.428,1.263
1727524947709,2024-09-28T15.02.27.709,0.780,-0.006,0.427,1.270
1727524947719,2024-09-28T15.02.27.719,0.790,-0.007,0.440,1.293
1727524947729,2024-09-28T15.02.27.729,0.800,0.006,0.448,1.312
1727524947739,2024-09-28T15.02.27.739,0.810,0.032,0.448,1.323
1727524947749,2024-09-28T15.02.27.749,0.820,0.053,0.443,1.336
1727524947759,2024-09-28T15.02.27.759,0.830,0.084,0.468,1.372
1727524947769,2024-09-28T15.02.27.769,0.840,0.133,0.513,1.397
1727524947779,2024-09-28T15.02.27.779,0.850,0.185,0.548,1.417
1727524947789,2024-09-28T15.02.27.789,0.860,0.203,0.564,1.473
1727524947799,2024-09-28T15.02.27.799,0.870,0.182,0.570,1.549
1727524947809,2024-09-28T15.02.27.809,0.880,0.116,0.566,1.572
1727524947819,2024-09-28T15.02.27.819,0.890,0.010,0.540,1.526
1727524947829,2024-09-28T15.02.27.829,0.900,-0.062,0.508,1.466
1727524947839,2024-09-28T15.02.27.839,0.910,-0.027,0.471,1.437
1727524947849,2024-09-28T15.02.27.849,0.920,0.113,0.443,1.415
1727524947859,2024-09-28T15.02.27.859,0.930,0.283,0.434,1.379
1727524947869,2024-09-28T15.02.27.869,0.940,0.432,0.426,1.366
1727524947879,2024-09-28T15.02.27.879,0.950,0.524,0.401,1.385
1727524947889,2024-09-28T15.02.27.889,0.960,0.535,0.357,1.380
1727524947899,2024-09-28T15.02.27.899,0.970,0.518,0.342,1.311
1727524947909,2024-09-28T15.02.27.909,0.980,0.460,0.322,1.193
1727524947919,2024-09-28T15.02.27.919,0.990,0.348,0.275,1.095
1727524947929,2024-09-28T15.02.27.929,1.000,0.267,0.215,1.031
1727524947939,2024-09-28T15.02.27.939,1.010,0.268,0.170,0.991
1727524947949,2024-09-28T15.02.27.949,1.020,0.356,0.124,0.964
1727524947959,2024-09-28T15.02.27.959,1.030,0.442,0.093,0.973
1727524947969,2024-09-28T15.02.27.969,1.040,0.510,0.064,0.922
1727524947979,2024-09-28T15.02.27.979,1.050,0.532,0.037,0.873
1727524947989,2024-09-28T15.02.27.989,1.060,0.545,-0.005,0.837
1727524947999,2024-09-28T15.02.27.999,1.070,0.522,-0.039,0.782
1727524948009,2024-09-28T15.02.28.009,1.080,0.453,-0.074,0.712
1727524948019,2024-09-28T15.02.28.019,1.090,0.417,-0.110,0.615
1727524948029,2024-09-28T15.02.28.029,1.100,0.375,-0.143,0.561
1727524948039,2024-09-28T15.02.28.039,1.110,0.307,-0.218,0.510
1727524948049,2024-09-28T15.02.28.049,1.120,0.262,-0.262,0.457
