epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1727530032657,2024-09-28T16.27.12.657,0.000,0.730,0.167,-0.834
1727530032667,2024-09-28T16.27.12.667,0.010,0.700,0.166,-0.854
1727530032677,2024-09-28T16.27.12.677,0.020,0.695,0.174,-0.877
1727530032687,2024-09-28T16.27.12.687,0.030,0.745,0.183,-0.896
1727530032697,2024-09-28T16.27.12.697,0.040,0.780,0.189,-0.909
1727530032707,2024-09-28T16.27.12.707,0.050,0.773,0.190,-0.912
1727530032717,2024-09-28T16.27.12.717,0.060,0.724,0.190,-0.918
1727530032727,2024-09-28T16.27.12.727,0.070,0.675,0.190,-0.921
1727530032737,2024-09-28T16.27.12.737,0.080,0.648,0.189,-0.916
1727530032747,2024-09-28T16.27.12.747,0.090,0.612,0.187,-0.899
1727530032757,2024-09-28T16.27.12.757,0.100,0.594,0.188,-0.877
1727530032767,2024-09-28T16.27.12.767,0.110,0.620,0.187,-0.856
1727530032777,2024-09-28T16.27.12.777,0.120,0.652,0.183,-0.836
1727530032787,2024-09-28T16.27.12.787,0.130,0.656,0.181,-0.819
1727530032797,2024-09-28T16.27.12.797,0.140,0.667,0.177,-0.802
1727530032807,2024-09-28T16.27.12.807,0.150,0.712,0.181,-0.793
1727530032817,2024-09-28T16.27.12.817,0.160,0.777,0.189,-0.799
1727530032827,2024-09-28T16.27.12.827,0.170,0.854,0.192,-0.802
1727530032837,2024-09-28T16.27.12.837,0.180,0.910,0.194,-0.801
1727530032847,2024-09-28T16.27.12.847,0.190,0.978,0.193,-0.806
1727530032857,2024-09-28T16.27.12.857,0.200,1.040,0.183,-0.782
1727530032867,2024-09-28T16.27.12.867,0.210,1.050,0.168,-0.732
1727530032877,2024-09-28T16.27.12.877,0.220,1.051,0.169,-0.687
1727530032887,2024-09-28T16.27.12.887,0.230,1.072,0.168,-0.632
1727530032897,2024-09-28T16.27.12.897,0.240,1.114,0.165,-0.570
1727530032907,2024-09-28T16.27.12.907,0.250,1.156,0.177,-0.516
1727530032917,2024-09-28T16.27.12.917,0.260,1.219,0.179,-0.440
1727530032927,2024-09-28T16.27.12.927,0.270,1.259,0.174,-0.376
1727530032937,2024-09-28T16.27.12.937,0.280,1.239,0.169,-0.320
1727530032947,2024-09-28T16.27.12.947,0.290,1.133,0.153,-0.269
1727530032957,2024-09-28T16.27.12.957,0.300,0.978,0.161,-0.191
1727530032967,2024-09-28T16.27.12.967,0.310,0.889,0.141,-0.075
1727530032977,2024-09-28T16.27.12.977,0.320,0.786,0.085,0.058
1727530032987,2024-09-28T16.27.12.987,0.330,0.642,0.043,0.199
1727530032997,2024-09-28T16.27.12.997,0.340,0.571,0.010,0.324
1727530033007,2024-09-28T16.27.13.007,0.350,0.569,-0.027,0.425
1727530033017,2024-09-28T16.27.13.017,0.360,0.534,-0.047,0.505
1727530033027,2024-09-28T16.27.13.027,0.370,0.498,-0.056,0.561
1727530033037,2024-09-28T16.27.13.037,0.380,0.410,-0.075,0.579
1727530033047,2024-09-28T16.27.13.047,0.390,0.160,-0.076,0.618
1727530033057,2024-09-28T16.27.13.057,0.400,0.058,-0.070,0.682
1727530033067,2024-09-28T16.27.13.067,0.410,0.108,-0.078,0.759
1727530033077,2024-09-28T16.27.13.077,0.420,0.136,-0.095,0.826
1727530033087,2024-09-28T16.27.13.087,0.430,0.098,-0.115,0.903
1727530033097,2024-09-28T16.27.13.097,0.440,0.034,-0.130,0.972
1727530033107,2024-09-28T16.27.13.107,0.450,-0.002,-0.136,1.003
1727530033117,2024-09-28T16.27.13.117,0.460,-0.025,-0.130,1.023
1727530033127,2024-09-28T16.27.13.127,0.470,-0.045,-0.117,1.032
1727530033137,2024-09-28T16.27.13.137,0.480,-0.026,-0.107,1.037
1727530033147,2024-09-28T16.27.13.147,0.490,-0.017,-0.099,1.045
1727530033157,2024-09-28T16.27.13.157,0.500,-0.018,-0.089,1.051
1727530033167,2024-09-28T16.27.13.167,0.510,0.014,-0.084,1.053
1727530033177,2024-09-28T16.27.13.177,0.520,0.040,-0.076,1.050
1727530033187,2024-09-28T16.27.13.187,0.530,0.041,-0.068,1.033
1727530033197,2024-09-28T16.27.13.197,0.540,0.043,-0.064,1.024
1727530033207,2024-09-28T16.27.13.207,0.550,0.049,-0.062,1.015
1727530033217,2024-09-28T16.27.13.217,0.560,0.048,-0.064,1.000
1727530033227,2024-09-28T16.27.13.227,0.570,0.036,-0.071,0.995
1727530033237,2024-09-28T16.27.13.237,0.580,0.056,-0.075,0.995
1727530033247,2024-09-28T16.27.13.247,0.590,0.114,-0.076,0.987
1727530033257,2024-09-28T16.27.13.257,0.600,0.138,-0.079,0.981
1727530033267,2024-09-28T16.27.13.267,0.610,0.127,-0.080,0.977
1727530033277,2024-09-28T16.27.13.277,0.620,0.108,-0.081,0.965
1727530033287,2024-09-28T16.27.13.287,0.630,0.108,-0.084,0.953
1727530033297,2024-09-28T16.27.13.297,0.640,0.125,-0.083,0.953
1727530033307,2024-09-28T16.27.13.307,0.650,0.142,-0.083,0.956
1727530033317,2024-09-28T16.27.13.317,0.660,0.153,-0.083,0.959
1727530033327,2024-09-28T16.27.13.327,0.670,0.186,-0.079,0.960
1727530033337,2024-09-28T16.27.13.337,0.680,0.201,-0.079,0.959
1727530033347,2024-09-28T16.27.13.347,0.690,0.175,-0.082,0.957
1727530033357,2024-09-28T16.27.13.357,0.700,0.162,-0.084,0.962
1727530033367,2024-09-28T16.27.13.367,0.710,0.161,-0.087,0.960
1727530033377,2024-09-28T16.27.13.377,0.720,0.157,-0.086,0.962
1727530033387,2024-09-28T16.27.13.387,0.730,0.141,-0.088,0.959
1727530033397,2024-09-28T16.27.13.397,0.740,0.117,-0.094,0.943
1727530033407,2024-09-28T16.27.13.407,0.750,0.087,-0.089,0.925
1727530033417,2024-09-28T16.27.13.417,0.760,0.131,-0.075,0.898
1727530033427,2024-09-28T16.27.13.427,0.770,0.199,-0.060,0.870
1727530033437,2024-09-28T16.27.13.437,0.780,0.241,-0.051,0.842
1727530033447,2024-09-28T16.27.13.447,0.790,0.293,-0.054,0.779
1727530033457,2024-09-28T16.27.13.457,0.800,0.302,-0.035,0.712
1727530033467,2024-09-28T16.27.13.467,0.810,0.360,-0.006,0.653
1727530033477,2024-09-28T16.27.13.477,0.820,0.544,0.016,0.590
1727530033487,2024-09-28T16.27.13.487,0.830,0.701,0.020,0.525
1727530033497,2024-09-28T16.27.13.497,0.840,0.773,0.028,0.445
1727530033507,2024-09-28T16.27.13.507,0.850,0.778,0.033,0.345
1727530033517,2024-09-28T16.27.13.517,0.860,0.761,0.062,0.222
1727530033527,2024-09-28T16.27.13.527,0.870,0.793,0.103,0.082
1727530033537,2024-09-28T16.27.13.537,0.880,0.881,0.128,-0.035
1727530033547,2024-09-28T16.27.13.547,0.890,0.961,0.141,-0.140
1727530033557,2024-09-28T16.27.13.557,0.900,1.045,0.152,-0.230
1727530033567,2024-09-28T16.27.13.567,0.910,1.104,0.163,-0.304
1727530033577,2024-09-28T16.27.13.577,0.920,1.163,0.161,-0.359
1727530033587,2024-09-28T16.27.13.587,0.930,1.211,0.158,-0.400
1727530033597,2024-09-28T16.27.13.597,0.940,1.205,0.159,-0.429
1727530033607,2024-09-28T16.27.13.607,0.950,1.117,0.145,-0.466
1727530033617,2024-09-28T16.27.13.617,0.960,0.943,0.144,-0.523
1727530033627,2024-09-28T16.27.13.627,0.970,0.808,0.151,-0.575
1727530033637,2024-09-28T16.27.13.637,0.980,0.674,0.147,-0.630
1727530033647,2024-09-28T16.27.13.647,0.990,0.571,0.177,-0.712
1727530033657,2024-09-28T16.27.13.657,1.000,0.694,0.203,-0.794
1727530033667,2024-09-28T16.27.13.667,1.010,0.872,0.197,-0.855
1727530033677,2024-09-28T16.27.13.677,1.020,0.938,0.182,-0.873
1727530033687,2024-09-28T16.27.13.687,1.030,0.904,0.158,-0.868
1727530033697,2024-09-28T16.27.13.697,1.040,0.786,0.142,-0.860
1727530033707,2024-09-28T16.27.13.707,1.050,0.622,0.141,-0.881
1727530033717,2024-09-28T16.27.13.717,1.060,0.494,0.151,-0.919
1727530033727,2024-09-28T16.27.13.727,1.070,0.505,0.177,-0.962
1727530033737,2024-09-28T16.27.13.737,1.080,0.604,0.192,-0.994
1727530033747,2024-09-28T16.27.13.747,1.090,0.659,0.191,-1.010
1727530033757,2024-09-28T16.27.13.757,1.100,0.652,0.194,-1.011
1727530033767,2024-09-28T16.27.13.767,1.110,0.620,0.191,-1.003
1727530033777,2024-09-28T16.27.13.777,1.120,0.571,0.186,-0.990
1727530033787,2024-09-28T16.27.13.787,1.130,0.508,0.178,-0.973
1727530033797,2024-09-28T16.27.13.797,1.140,0.481,0.172,-0.949
1727530033807,2024-09-28T16.27.13.807,1.150,0.501,0.165,-0.921
1727530033817,2024-09-28T16.27.13.817,1.160,0.491,0.164,-0.912
1727530033827,2024-09-28T16.27.13.827,1.170,0.486,0.174,-0.914
1727530033837,2024-09-28T16.27.13.837,1.180,0.522,0.178,-0.912
1727530033847,2024-09-28T16.27.13.847,1.190,0.553,0.177,-0.898
1727530033857,2024-09-28T16.27.13.857,1.200,0.560,0.180,-0.892
1727530033867,2024-09-28T16.27.13.867,1.210,0.580,0.186,-0.891
1727530033877,2024-09-28T16.27.13.877,1.220,0.638,0.189,-0.888
1727530033887,2024-09-28T16.27.13.887,1.230,0.705,0.194,-0.896
1727530033897,2024-09-28T16.27.13.897,1.240,0.762,0.200,-0.902
1727530033907,2024-09-28T16.27.13.907,1.250,0.814,0.204,-0.907
1727530033917,2024-09-28T16.27.13.917,1.260,0.868,0.210,-0.905
1727530033927,2024-09-28T16.27.13.927,1.270,0.915,0.212,-0.889
1727530033937,2024-09-28T16.27.13.937,1.280,0.946,0.209,-0.870
1727530033947,2024-09-28T16.27.13.947,1.290,0.981,0.207,-0.835
1727530033957,2024-09-28T16.27.13.957,1.300,1.014,0.208,-0.797
1727530033967,2024-09-28T16.27.13.967,1.310,1.088,0.211,-0.732
1727530033977,2024-09-28T16.27.13.977,1.320,1.178,0.195,-0.662
1727530033987,2024-09-28T16.27.13.987,1.330,1.216,0.185,-0.601
1727530033997,2024-09-28T16.27.13.997,1.340,1.214,0.178,-0.537
1727530034007,2024-09-28T16.27.14.007,1.350,1.203,0.186,-0.469
1727530034017,2024-09-28T16.27.14.017,1.360,1.216,0.195,-0.406
1727530034027,2024-09-28T16.27.14.027,1.370,1.180,0.190,-0.356
1727530034037,2024-09-28T16.27.14.037,1.380,1.012,0.201,-0.285
1727530034047,2024-09-28T16.27.14.047,1.390,0.822,0.182,-0.162
1727530034057,2024-09-28T16.27.14.057,1.400,0.668,0.119,-0.005
1727530034067,2024-09-28T16.27.14.067,1.410,0.556,0.056,0.173
1727530034077,2024-09-28T16.27.14.077,1.420,0.509,-0.013,0.341
1727530034087,2024-09-28T16.27.14.087,1.430,0.460,-0.052,0.465
1727530034097,2024-09-28T16.27.14.097,1.440,0.423,-0.080,0.555
1727530034107,2024-09-28T16.27.14.107,1.450,0.394,-0.097,0.624
1727530034117,2024-09-28T16.27.14.117,1.460,0.380,-0.094,0.661
1727530034127,2024-09-28T16.27.14.127,1.470,0.316,-0.085,0.690
1727530034137,2024-09-28T16.27.14.137,1.480,0.255,-0.072,0.701
1727530034147,2024-09-28T16.27.14.147,1.490,0.209,-0.063,0.714
1727530034157,2024-09-28T16.27.14.157,1.500,0.214,-0.070,0.763
1727530034167,2024-09-28T16.27.14.167,1.510,0.224,-0.078,0.831
1727530034177,2024-09-28T16.27.14.177,1.520,0.208,-0.103,0.902
1727530034187,2024-09-28T16.27.14.187,1.530,0.221,-0.119,0.960
1727530034197,2024-09-28T16.27.14.197,1.540,0.224,-0.118,0.984
1727530034207,2024-09-28T16.27.14.207,1.550,0.170,-0.119,1.005
1727530034217,2024-09-28T16.27.14.217,1.560,0.110,-0.110,1.024
1727530034227,2024-09-28T16.27.14.227,1.570,0.101,-0.093,1.026
1727530034237,2024-09-28T16.27.14.237,1.580,0.117,-0.079,1.017
1727530034247,2024-09-28T16.27.14.247,1.590,0.123,-0.061,1.006
1727530034257,2024-09-28T16.27.14.257,1.600,0.129,-0.051,0.989
1727530034267,2024-09-28T16.27.14.267,1.610,0.134,-0.042,0.988
1727530034277,2024-09-28T16.27.14.277,1.620,0.130,-0.041,0.995
1727530034287,2024-09-28T16.27.14.287,1.630,0.120,-0.047,1.003
1727530034297,2024-09-28T16.27.14.297,1.640,0.126,-0.058,1.015
1727530034307,2024-09-28T16.27.14.307,1.650,0.130,-0.065,1.015
1727530034317,2024-09-28T16.27.14.317,1.660,0.145,-0.069,1.002
1727530034327,2024-09-28T16.27.14.327,1.670,0.153,-0.069,0.988
1727530034337,2024-09-28T16.27.14.337,1.680,0.161,-0.064,0.976
1727530034347,2024-09-28T16.27.14.347,1.690,0.188,-0.061,0.961
1727530034357,2024-09-28T16.27.14.357,1.700,0.205,-0.063,0.948
1727530034367,2024-09-28T16.27.14.367,1.710,0.214,-0.062,0.946
1727530034377,2024-09-28T16.27.14.377,1.720,0.212,-0.061,0.946
1727530034387,2024-09-28T16.27.14.387,1.730,0.224,-0.065,0.945
1727530034397,2024-09-28T16.27.14.397,1.740,0.229,-0.068,0.944
1727530034407,2024-09-28T16.27.14.407,1.750,0.228,-0.072,0.944
1727530034417,2024-09-28T16.27.14.417,1.760,0.238,-0.072,0.948
1727530034427,2024-09-28T16.27.14.427,1.770,0.237,-0.073,0.950
1727530034437,2024-09-28T16.27.14.437,1.780,0.231,-0.075,0.948
1727530034447,2024-09-28T16.27.14.447,1.790,0.221,-0.078,0.947
1727530034457,2024-09-28T16.27.14.457,1.800,0.205,-0.079,0.944
1727530034467,2024-09-28T16.27.14.467,1.810,0.206,-0.079,0.933
1727530034477,2024-09-28T16.27.14.477,1.820,0.234,-0.069,0.917
1727530034487,2024-09-28T16.27.14.487,1.830,0.268,-0.060,0.908
1727530034497,2024-09-28T16.27.14.497,1.840,0.311,-0.052,0.903
1727530034507,2024-09-28T16.27.14.507,1.850,0.381,-0.041,0.894
1727530034517,2024-09-28T16.27.14.517,1.860,0.431,-0.034,0.875
1727530034527,2024-09-28T16.27.14.527,1.870,0.444,-0.036,0.850
1727530034537,2024-09-28T16.27.14.537,1.880,0.447,-0.035,0.829
1727530034547,2024-09-28T16.27.14.547,1.890,0.446,-0.030,0.803
1727530034557,2024-09-28T16.27.14.557,1.900,0.418,-0.036,0.780
1727530034567,2024-09-28T16.27.14.567,1.910,0.377,-0.041,0.742
1727530034577,2024-09-28T16.27.14.577,1.920,0.403,-0.021,0.679
1727530034587,2024-09-28T16.27.14.587,1.930,0.500,-0.018,0.598
1727530034597,2024-09-28T16.27.14.597,1.940,0.559,-0.006,0.505
1727530034607,2024-09-28T16.27.14.607,1.950,0.578,0.046,0.369
1727530034617,2024-09-28T16.27.14.617,1.960,0.694,0.075,0.234
1727530034627,2024-09-28T16.27.14.627,1.970,0.831,0.101,0.121
1727530034637,2024-09-28T16.27.14.637,1.980,0.891,0.099,0.019
1727530034647,2024-09-28T16.27.14.647,1.990,0.891,0.118,-0.103
