epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1727530871686,2024-09-28T16.41.11.686,0.000,-0.580,-0.009,0.633
1727530871696,2024-09-28T16.41.11.696,0.010,-0.462,-0.002,0.668
1727530871706,2024-09-28T16.41.11.706,0.020,-0.352,0.019,0.688
1727530871716,2024-09-28T16.41.11.716,0.030,-0.267,0.031,0.723
1727530871726,2024-09-28T16.41.11.726,0.040,-0.232,0.032,0.763
1727530871736,2024-09-28T16.41.11.736,0.050,-0.202,0.017,0.809
1727530871746,2024-09-28T16.41.11.746,0.060,-0.156,0.027,0.836
1727530871756,2024-09-28T16.41.11.756,0.070,-0.086,0.020,0.862
1727530871766,2024-09-28T16.41.11.766,0.080,-0.100,-0.006,0.894
1727530871776,2024-09-28T16.41.11.776,0.090,-0.200,0.007,0.906
1727530871786,2024-09-28T16.41.11.786,0.100,-0.208,0.040,0.895
1727530871796,2024-09-28T16.41.11.796,0.110,-0.035,0.052,0.891
1727530871806,2024-09-28T16.41.11.806,0.120,0.159,0.062,0.898
1727530871816,2024-09-28T16.41.11.816,0.130,0.240,0.076,0.898
1727530871826,2024-09-28T16.41.11.826,0.140,0.268,0.095,0.879
1727530871836,2024-09-28T16.41.11.836,0.150,0.317,0.109,0.878
1727530871846,2024-09-28T16.41.11.846,0.160,0.361,0.121,0.902
1727530871856,2024-09-28T16.41.11.856,0.170,0.351,0.112,0.933
1727530871866,2024-09-28T16.41.11.866,0.180,0.282,0.080,0.948
1727530871876,2024-09-28T16.41.11.876,0.190,0.165,0.079,0.956
1727530871886,2024-09-28T16.41.11.886,0.200,0.078,0.086,0.974
1727530871896,2024-09-28T16.41.11.896,0.210,0.054,0.072,0.992
1727530871906,2024-09-28T16.41.11.906,0.220,0.123,0.064,1.008
1727530871916,2024-09-28T16.41.11.916,0.230,0.178,0.066,0.997
1727530871926,2024-09-28T16.41.11.926,0.240,0.167,0.072,0.966
1727530871936,2024-09-28T16.41.11.936,0.250,0.176,0.083,0.939
1727530871946,2024-09-28T16.41.11.946,0.260,0.194,0.085,0.944
1727530871956,2024-09-28T16.41.11.956,0.270,0.165,0.074,0.957
1727530871966,2024-09-28T16.41.11.966,0.280,0.115,0.063,0.973
1727530871976,2024-09-28T16.41.11.976,0.290,0.096,0.062,0.978
1727530871986,2024-09-28T16.41.11.986,0.300,0.116,0.067,0.980
1727530871996,2024-09-28T16.41.11.996,0.310,0.159,0.068,0.983
1727530872006,2024-09-28T16.41.12.006,0.320,0.194,0.079,0.972
1727530872016,2024-09-28T16.41.12.016,0.330,0.203,0.084,0.962
1727530872026,2024-09-28T16.41.12.026,0.340,0.201,0.088,0.960
1727530872036,2024-09-28T16.41.12.036,0.350,0.193,0.087,0.959
1727530872046,2024-09-28T16.41.12.046,0.360,0.180,0.076,0.956
1727530872056,2024-09-28T16.41.12.056,0.370,0.162,0.080,0.964
1727530872066,2024-09-28T16.41.12.066,0.380,0.134,0.076,0.972
1727530872076,2024-09-28T16.41.12.076,0.390,0.128,0.072,0.976
1727530872086,2024-09-28T16.41.12.086,0.400,0.149,0.076,0.978
1727530872096,2024-09-28T16.41.12.096,0.410,0.179,0.087,0.960
1727530872106,2024-09-28T16.41.12.106,0.420,0.256,0.105,0.929
1727530872116,2024-09-28T16.41.12.116,0.430,0.409,0.131,0.877
1727530872126,2024-09-28T16.41.12.126,0.440,0.599,0.150,0.817
1727530872136,2024-09-28T16.41.12.136,0.450,0.652,0.154,0.741
1727530872146,2024-09-28T16.41.12.146,0.460,0.521,0.157,0.649
1727530872156,2024-09-28T16.41.12.156,0.470,0.249,0.136,0.553
1727530872166,2024-09-28T16.41.12.166,0.480,-0.029,0.117,0.455
1727530872176,2024-09-28T16.41.12.176,0.490,-0.199,0.079,0.333
1727530872186,2024-09-28T16.41.12.186,0.500,-0.335,0.052,0.196
1727530872196,2024-09-28T16.41.12.196,0.510,-0.509,-0.020,0.027
1727530872206,2024-09-28T16.41.12.206,0.520,-1.026,-0.050,-0.162
1727530872216,2024-09-28T16.41.12.216,0.530,-1.666,-0.068,-0.165
1727530872226,2024-09-28T16.41.12.226,0.540,-1.949,-0.174,0.044
1727530872236,2024-09-28T16.41.12.236,0.550,-1.811,-0.180,0.214
1727530872246,2024-09-28T16.41.12.246,0.560,-1.516,-0.162,0.286
1727530872256,2024-09-28T16.41.12.256,0.570,-1.225,-0.172,0.271
1727530872266,2024-09-28T16.41.12.266,0.580,-1.046,-0.139,0.194
1727530872276,2024-09-28T16.41.12.276,0.590,-1.024,-0.070,0.136
1727530872286,2024-09-28T16.41.12.286,0.600,-1.154,-0.047,0.087
1727530872296,2024-09-28T16.41.12.296,0.610,-1.323,-0.013,0.006
1727530872306,2024-09-28T16.41.12.306,0.620,-1.326,0.039,-0.055
1727530872316,2024-09-28T16.41.12.316,0.630,-1.149,0.081,-0.027
1727530872326,2024-09-28T16.41.12.326,0.640,-0.980,0.099,0.077
1727530872336,2024-09-28T16.41.12.336,0.650,-0.958,0.064,0.149
1727530872346,2024-09-28T16.41.12.346,0.660,-1.079,0.044,0.155
1727530872356,2024-09-28T16.41.12.356,0.670,-1.103,0.023,0.161
1727530872366,2024-09-28T16.41.12.366,0.680,-1.021,0.001,0.169
1727530872376,2024-09-28T16.41.12.376,0.690,-0.959,-0.014,0.161
1727530872386,2024-09-28T16.41.12.386,0.700,-0.939,-0.017,0.137
1727530872396,2024-09-28T16.41.12.396,0.710,-0.928,-0.023,0.114
1727530872406,2024-09-28T16.41.12.406,0.720,-0.919,-0.024,0.117
1727530872416,2024-09-28T16.41.12.416,0.730,-0.926,-0.017,0.121
1727530872426,2024-09-28T16.41.12.426,0.740,-0.935,-0.012,0.123
1727530872436,2024-09-28T16.41.12.436,0.750,-0.934,-0.009,0.140
1727530872446,2024-09-28T16.41.12.446,0.760,-0.942,-0.000,0.160
1727530872456,2024-09-28T16.41.12.456,0.770,-0.953,-0.011,0.186
1727530872466,2024-09-28T16.41.12.466,0.780,-0.972,-0.015,0.209
1727530872476,2024-09-28T16.41.12.476,0.790,-0.997,-0.020,0.218
1727530872486,2024-09-28T16.41.12.486,0.800,-1.023,-0.024,0.228
1727530872496,2024-09-28T16.41.12.496,0.810,-1.068,-0.022,0.237
1727530872506,2024-09-28T16.41.12.506,0.820,-1.128,-0.022,0.245
1727530872516,2024-09-28T16.41.12.516,0.830,-1.187,-0.025,0.278
1727530872526,2024-09-28T16.41.12.526,0.840,-1.224,-0.040,0.320
1727530872536,2024-09-28T16.41.12.536,0.850,-1.270,-0.050,0.362
1727530872546,2024-09-28T16.41.12.546,0.860,-1.234,-0.034,0.381
1727530872556,2024-09-28T16.41.12.556,0.870,-1.087,-0.024,0.413
1727530872566,2024-09-28T16.41.12.566,0.880,-0.954,-0.032,0.464
1727530872576,2024-09-28T16.41.12.576,0.890,-0.830,-0.021,0.511
1727530872586,2024-09-28T16.41.12.586,0.900,-0.661,-0.021,0.564
1727530872596,2024-09-28T16.41.12.596,0.910,-0.614,-0.039,0.610
1727530872606,2024-09-28T16.41.12.606,0.920,-0.693,-0.046,0.638
