epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1727530829056,2024-09-28T16.40.29.056,0.000,0.133,0.062,0.906
1727530829066,2024-09-28T16.40.29.066,0.010,0.053,0.070,0.919
1727530829076,2024-09-28T16.40.29.076,0.020,0.088,0.070,0.940
1727530829086,2024-09-28T16.40.29.086,0.030,0.181,0.064,0.947
1727530829096,2024-09-28T16.40.29.096,0.040,0.232,0.066,0.941
1727530829106,2024-09-28T16.40.29.106,0.050,0.275,0.072,0.932
1727530829116,2024-09-28T16.40.29.116,0.060,0.326,0.083,0.930
1727530829126,2024-09-28T16.40.29.126,0.070,0.349,0.085,0.927
1727530829136,2024-09-28T16.40.29.136,0.080,0.318,0.086,0.922
1727530829146,2024-09-28T16.40.29.146,0.090,0.257,0.081,0.927
1727530829156,2024-09-28T16.40.29.156,0.100,0.168,0.077,0.947
1727530829166,2024-09-28T16.40.29.166,0.110,0.090,0.078,0.982
1727530829176,2024-09-28T16.40.29.176,0.120,0.064,0.071,1.014
1727530829186,2024-09-28T16.40.29.186,0.130,0.141,0.074,1.034
1727530829196,2024-09-28T16.40.29.196,0.140,0.277,0.082,1.052
1727530829206,2024-09-28T16.40.29.206,0.150,0.311,0.079,1.057
1727530829216,2024-09-28T16.40.29.216,0.160,0.290,0.080,1.047
1727530829226,2024-09-28T16.40.29.226,0.170,0.292,0.086,1.049
1727530829236,2024-09-28T16.40.29.236,0.180,0.255,0.078,1.052
1727530829246,2024-09-28T16.40.29.246,0.190,0.176,0.074,1.036
1727530829256,2024-09-28T16.40.29.256,0.200,0.115,0.085,1.021
1727530829266,2024-09-28T16.40.29.266,0.210,0.098,0.089,1.021
1727530829276,2024-09-28T16.40.29.276,0.220,0.099,0.088,1.024
1727530829286,2024-09-28T16.40.29.286,0.230,0.131,0.086,1.019
1727530829296,2024-09-28T16.40.29.296,0.240,0.173,0.087,0.999
1727530829306,2024-09-28T16.40.29.306,0.250,0.200,0.084,0.975
1727530829316,2024-09-28T16.40.29.316,0.260,0.227,0.074,0.951
1727530829326,2024-09-28T16.40.29.326,0.270,0.232,0.064,0.931
1727530829336,2024-09-28T16.40.29.336,0.280,0.171,0.056,0.910
1727530829346,2024-09-28T16.40.29.346,0.290,0.110,0.050,0.911
1727530829356,2024-09-28T16.40.29.356,0.300,0.110,0.045,0.919
1727530829366,2024-09-28T16.40.29.366,0.310,0.166,0.057,0.929
1727530829376,2024-09-28T16.40.29.376,0.320,0.211,0.054,0.934
1727530829386,2024-09-28T16.40.29.386,0.330,0.228,0.053,0.932
1727530829396,2024-09-28T16.40.29.396,0.340,0.241,0.067,0.925
1727530829406,2024-09-28T16.40.29.406,0.350,0.253,0.073,0.925
1727530829416,2024-09-28T16.40.29.416,0.360,0.225,0.060,0.926
1727530829426,2024-09-28T16.40.29.426,0.370,0.137,0.049,0.922
1727530829436,2024-09-28T16.40.29.436,0.380,0.069,0.036,0.927
1727530829446,2024-09-28T16.40.29.446,0.390,0.077,0.040,0.950
1727530829456,2024-09-28T16.40.29.456,0.400,0.123,0.046,0.971
1727530829466,2024-09-28T16.40.29.466,0.410,0.135,0.036,0.977
1727530829476,2024-09-28T16.40.29.476,0.420,0.157,0.051,0.974
1727530829486,2024-09-28T16.40.29.486,0.430,0.193,0.077,0.976
1727530829496,2024-09-28T16.40.29.496,0.440,0.207,0.079,0.979
1727530829506,2024-09-28T16.40.29.506,0.450,0.175,0.080,0.976
1727530829516,2024-09-28T16.40.29.516,0.460,0.119,0.080,0.973
1727530829526,2024-09-28T16.40.29.526,0.470,0.001,0.080,0.977
1727530829536,2024-09-28T16.40.29.536,0.480,-0.120,0.057,0.990
1727530829546,2024-09-28T16.40.29.546,0.490,-0.122,0.035,1.006
1727530829556,2024-09-28T16.40.29.556,0.500,-0.009,0.040,1.033
1727530829566,2024-09-28T16.40.29.566,0.510,0.092,0.053,1.024
1727530829576,2024-09-28T16.40.29.576,0.520,0.183,0.088,0.982
1727530829586,2024-09-28T16.40.29.586,0.530,0.342,0.094,0.958
1727530829596,2024-09-28T16.40.29.596,0.540,0.451,0.074,0.943
1727530829606,2024-09-28T16.40.29.606,0.550,0.407,0.086,0.910
1727530829616,2024-09-28T16.40.29.616,0.560,0.309,0.112,0.855
1727530829626,2024-09-28T16.40.29.626,0.570,0.234,0.111,0.808
1727530829636,2024-09-28T16.40.29.636,0.580,0.208,0.108,0.750
1727530829646,2024-09-28T16.40.29.646,0.590,0.260,0.071,0.661
1727530829656,2024-09-28T16.40.29.656,0.600,0.243,0.025,0.536
1727530829666,2024-09-28T16.40.29.666,0.610,0.045,0.002,0.344
1727530829676,2024-09-28T16.40.29.676,0.620,-0.219,-0.055,0.135
1727530829686,2024-09-28T16.40.29.686,0.630,-0.478,-0.147,-0.048
1727530829696,2024-09-28T16.40.29.696,0.640,-0.916,-0.213,-0.219
1727530829706,2024-09-28T16.40.29.706,0.650,-1.511,-0.245,-0.202
1727530829716,2024-09-28T16.40.29.716,0.660,-1.771,-0.261,-0.026
1727530829726,2024-09-28T16.40.29.726,0.670,-1.668,-0.210,0.106
1727530829736,2024-09-28T16.40.29.736,0.680,-1.519,-0.174,0.177
1727530829746,2024-09-28T16.40.29.746,0.690,-1.355,-0.140,0.222
1727530829756,2024-09-28T16.40.29.756,0.700,-1.119,-0.064,0.198
1727530829766,2024-09-28T16.40.29.766,0.710,-0.955,0.028,0.128
1727530829776,2024-09-28T16.40.29.776,0.720,-0.925,0.081,0.085
1727530829786,2024-09-28T16.40.29.786,0.730,-0.988,0.096,0.047
1727530829796,2024-09-28T16.40.29.796,0.740,-1.089,0.083,0.050
1727530829806,2024-09-28T16.40.29.806,0.750,-1.205,0.056,0.077
1727530829816,2024-09-28T16.40.29.816,0.760,-1.283,0.010,0.078
1727530829826,2024-09-28T16.40.29.826,0.770,-1.268,-0.020,0.050
