epoc (ms);timestamp (+0300);elapsed (s);acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
1,72753E+12;2024-09-28T16.40.29.056;0.000;0.133;0.062;0.906;-3.476;-18.720;2.378
1,72753E+12;2024-09-28T16.40.29.066;0.010;0.053;0.070;0.919;-2.683;-23.171;1.585
1,72753E+12;2024-09-28T16.40.29.076;0.020;0.088;0.070;0.940;-0.915;-40.061;0.915
1,72753E+12;2024-09-28T16.40.29.086;0.030;0.181;0.064;0.947;2.378;-48.476;-0.061
1,72753E+12;2024-09-28T16.40.29.096;0.040;0.232;0.066;0.941;3.720;-41.341;-0.427
1,72753E+12;2024-09-28T16.40.29.106;0.050;0.275;0.072;0.932;3.110;-24.268;-1.037
1,72753E+12;2024-09-28T16.40.29.116;0.060;0.326;0.083;0.930;1.585;0.732;-2.561
1,72753E+12;2024-09-28T16.40.29.126;0.070;0.349;0.085;0.927;0.244;26.220;-3.232
1,72753E+12;2024-09-28T16.40.29.136;0.080;0.318;0.086;0.922;-1.280;45.915;-3.841
1,72753E+12;2024-09-28T16.40.29.146;0.090;0.257;0.081;0.927;-2.134;52.012;-2.927
1,72753E+12;2024-09-28T16.40.29.156;0.100;0.168;0.077;0.947;-1.524;37.805;-1.463
1,72753E+12;2024-09-28T16.40.29.166;0.110;0.090;0.078;0.982;1.098;7.439;-2.744
1,72753E+12;2024-09-28T16.40.29.176;0.120;0.064;0.071;1.014;4.512;-21.951;-4.695
1,72753E+12;2024-09-28T16.40.29.186;0.130;0.141;0.074;1.034;6.768;-33.232;-6.463
1,72753E+12;2024-09-28T16.40.29.196;0.140;0.277;0.082;1.052;8.841;-25.793;-7.073
1,72753E+12;2024-09-28T16.40.29.206;0.150;0.311;0.079;1.057;10.671;-8.232;-7.744
1,72753E+12;2024-09-28T16.40.29.216;0.160;0.290;0.080;1.047;9.573;11.951;-6.707
1,72753E+12;2024-09-28T16.40.29.226;0.170;0.292;0.086;1.049;7.439;30.549;-5.061
1,72753E+12;2024-09-28T16.40.29.236;0.180;0.255;0.078;1.052;5.122;42.012;-3.720
1,72753E+12;2024-09-28T16.40.29.246;0.190;0.176;0.074;1.036;0.427;40.915;-2.256
1,72753E+12;2024-09-28T16.40.29.256;0.200;0.115;0.085;1.021;-5.488;29.512;-2.134
1,72753E+12;2024-09-28T16.40.29.266;0.210;0.098;0.089;1.021;-9.756;13.841;-2.439
1,72753E+12;2024-09-28T16.40.29.276;0.220;0.099;0.088;1.024;-12.256;0.610;-3.232
1,72753E+12;2024-09-28T16.40.29.286;0.230;0.131;0.086;1.019;-13.232;-5.549;-3.841
1,72753E+12;2024-09-28T16.40.29.296;0.240;0.173;0.087;0.999;-13.354;-2.683;-4.268
1,72753E+12;2024-09-28T16.40.29.306;0.250;0.200;0.084;0.975;-13.598;6.951;-3.963
1,72753E+12;2024-09-28T16.40.29.316;0.260;0.227;0.074;0.951;-13.537;19.939;-4.146
1,72753E+12;2024-09-28T16.40.29.326;0.270;0.232;0.064;0.931;-12.500;28.780;-4.634
1,72753E+12;2024-09-28T16.40.29.336;0.280;0.171;0.056;0.910;-11.829;26.220;-4.024
1,72753E+12;2024-09-28T16.40.29.346;0.290;0.110;0.050;0.911;-11.280;14.085;-4.085
1,72753E+12;2024-09-28T16.40.29.356;0.300;0.110;0.045;0.919;-9.878;2.561;-4.634
1,72753E+12;2024-09-28T16.40.29.366;0.310;0.166;0.057;0.929;-8.537;-0.122;-5.976
1,72753E+12;2024-09-28T16.40.29.376;0.320;0.211;0.054;0.934;-7.622;7.317;-6.646
1,72753E+12;2024-09-28T16.40.29.386;0.330;0.228;0.053;0.932;-7.317;20.854;-6.402
1,72753E+12;2024-09-28T16.40.29.396;0.340;0.241;0.067;0.925;-7.866;38.049;-6.280
1,72753E+12;2024-09-28T16.40.29.406;0.350;0.253;0.073;0.925;-8.232;55.732;-6.037
1,72753E+12;2024-09-28T16.40.29.416;0.360;0.225;0.060;0.926;-7.134;64.756;-4.390
1,72753E+12;2024-09-28T16.40.29.426;0.370;0.137;0.049;0.922;-5.427;59.390;-2.561
1,72753E+12;2024-09-28T16.40.29.436;0.380;0.069;0.036;0.927;-3.598;44.024;-1.707
1,72753E+12;2024-09-28T16.40.29.446;0.390;0.077;0.040;0.950;-0.793;29.024;-2.744
1,72753E+12;2024-09-28T16.40.29.456;0.400;0.123;0.046;0.971;2.195;21.951;-5.000
1,72753E+12;2024-09-28T16.40.29.466;0.410;0.135;0.036;0.977;4.024;24.939;-5.305
1,72753E+12;2024-09-28T16.40.29.476;0.420;0.157;0.051;0.974;3.780;34.390;-4.756
1,72753E+12;2024-09-28T16.40.29.486;0.430;0.193;0.077;0.976;1.341;49.024;-6.280
1,72753E+12;2024-09-28T16.40.29.496;0.440;0.207;0.079;0.979;-1.037;67.378;-7.988
1,72753E+12;2024-09-28T16.40.29.506;0.450;0.175;0.080;0.976;-3.720;83.598;-7.134
1,72753E+12;2024-09-28T16.40.29.516;0.460;0.119;0.080;0.973;-6.890;84.146;-3.598
1,72753E+12;2024-09-28T16.40.29.526;0.470;0.001;0.080;0.977;-9.573;61.768;-3.171
1,72753E+12;2024-09-28T16.40.29.536;0.480;-0.120;0.057;0.990;-10.122;24.329;-3.902
1,72753E+12;2024-09-28T16.40.29.546;0.490;-0.122;0.035;1.006;-8.720;-8.537;-4.268
1,72753E+12;2024-09-28T16.40.29.556;0.500;-0.009;0.040;1.033;-5.183;-23.293;-5.305
1,72753E+12;2024-09-28T16.40.29.566;0.510;0.092;0.053;1.024;-3.354;-18.171;-5.427
1,72753E+12;2024-09-28T16.40.29.576;0.520;0.183;0.088;0.982;-8.902;14.573;-7.256
1,72753E+12;2024-09-28T16.40.29.586;0.530;0.342;0.094;0.958;-16.585;78.780;-10.000
1,72753E+12;2024-09-28T16.40.29.596;0.540;0.451;0.074;0.943;-23.110;160.854;-9.451
1,72753E+12;2024-09-28T16.40.29.606;0.550;0.407;0.086;0.910;-31.646;241.402;-7.134
1,72753E+12;2024-09-28T16.40.29.616;0.560;0.309;0.112;0.855;-43.110;312.622;-7.195
1,72753E+12;2024-09-28T16.40.29.626;0.570;0.234;0.111;0.808;-57.134;383.780;-9.207
1,72753E+12;2024-09-28T16.40.29.636;0.580;0.208;0.108;0.750;-73.232;477.866;-12.256
1,72753E+12;2024-09-28T16.40.29.646;0.590;0.260;0.071;0.661;-86.707;598.354;-12.134
1,72753E+12;2024-09-28T16.40.29.656;0.600;0.243;0.025;0.536;-93.659;723.354;-11.098
1,72753E+12;2024-09-28T16.40.29.666;0.610;0.045;0.002;0.344;-97.012;830.854;-14.878
1,72753E+12;2024-09-28T16.40.29.676;0.620;-0.219;-0.055;0.135;-98.598;912.378;-15.427
1,72753E+12;2024-09-28T16.40.29.686;0.630;-0.478;-0.147;-0.048;-98.720;937.134;-11.890
