epoc (ms);timestamp (+0300);elapsed (s);acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
1,72753E+12;2024-09-28T16.32.47.905;0.000;0.132;0.128;0.503;-80.183;695.854;-18.110
1,72753E+12;2024-09-28T16.32.47.915;0.010;-0.137;0.116;0.459;-82.561;701.585;-17.378
1,72753E+12;2024-09-28T16.32.47.925;0.020;-0.328;0.073;0.438;-92.378;721.585;-15.061
1,72753E+12;2024-09-28T16.32.47.935;0.030;-0.468;0.044;0.433;-98.841;734.817;-7.378
1,72753E+12;2024-09-28T16.32.47.945;0.040;-0.620;0.037;0.440;-97.317;730.732;0.732
1,72753E+12;2024-09-28T16.32.47.955;0.050;-0.803;0.007;0.443;-89.878;706.037;4.756
1,72753E+12;2024-09-28T16.32.47.965;0.060;-0.975;-0.046;0.453;-79.024;657.805;9.146
1,72753E+12;2024-09-28T16.32.47.975;0.070;-1.102;-0.079;0.449;-64.085;587.195;18.049
1,72753E+12;2024-09-28T16.32.47.985;0.080;-1.125;-0.070;0.416;-47.012;506.220;27.744
1,72753E+12;2024-09-28T16.32.47.995;0.090;-1.036;-0.043;0.359;-30.488;429.207;32.195
1,72753E+12;2024-09-28T16.32.48.005;0.100;-0.965;-0.021;0.300;-17.805;370.549;27.622
1,72753E+12;2024-09-28T16.32.48.015;0.110;-1.027;-0.011;0.265;-8.415;326.890;18.841
1,72753E+12;2024-09-28T16.32.48.025;0.120;-1.154;-0.012;0.232;0.183;281.768;13.110
1,72753E+12;2024-09-28T16.32.48.035;0.130;-1.245;-0.011;0.224;8.293;222.256;11.524
1,72753E+12;2024-09-28T16.32.48.045;0.140;-1.247;0.010;0.211;15.671;152.622;9.451
1,72753E+12;2024-09-28T16.32.48.055;0.150;-1.152;0.032;0.180;20.793;90.549;5.610
1,72753E+12;2024-09-28T16.32.48.065;0.160;-1.010;0.036;0.171;21.707;52.561;3.354
1,72753E+12;2024-09-28T16.32.48.075;0.170;-0.905;0.047;0.196;20.122;42.927;3.598
1,72753E+12;2024-09-28T16.32.48.085;0.180;-0.888;0.058;0.194;17.378;52.195;3.354
1,72753E+12;2024-09-28T16.32.48.095;0.190;-0.936;0.055;0.185;13.049;63.232;3.415
1,72753E+12;2024-09-28T16.32.48.105;0.200;-1.019;0.058;0.164;8.963;60.732;3.110
1,72753E+12;2024-09-28T16.32.48.115;0.210;-1.082;0.056;0.157;6.159;43.780;-0.061
1,72753E+12;2024-09-28T16.32.48.125;0.220;-1.075;0.046;0.168;4.085;21.159;-1.402
1,72753E+12;2024-09-28T16.32.48.135;0.230;-1.018;0.055;0.179;3.415;3.720;1.220
1,72753E+12;2024-09-28T16.32.48.145;0.240;-0.969;0.063;0.178;3.415;-3.049;2.683
1,72753E+12;2024-09-28T16.32.48.155;0.250;-0.955;0.051;0.177;3.110;-1.768;3.171
1,72753E+12;2024-09-28T16.32.48.165;0.260;-0.974;0.049;0.173;2.622;0.366;5.000
1,72753E+12;2024-09-28T16.32.48.175;0.270;-0.989;0.053;0.157;2.012;0.549;4.451
1,72753E+12;2024-09-28T16.32.48.185;0.280;-1.003;0.049;0.164;1.159;-1.341;2.439
1,72753E+12;2024-09-28T16.32.48.195;0.290;-1.024;0.037;0.170;0.549;-5.061;1.341
1,72753E+12;2024-09-28T16.32.48.205;0.300;-1.020;0.032;0.173;0.549;-10.183;0.976
1,72753E+12;2024-09-28T16.32.48.215;0.310;-1.015;0.029;0.184;1.037;-15.793;-0.122
1,72753E+12;2024-09-28T16.32.48.225;0.320;-1.047;0.021;0.181;2.195;-23.537;-1.098
1,72753E+12;2024-09-28T16.32.48.235;0.330;-1.085;0.019;0.174;4.329;-37.195;-1.585
1,72753E+12;2024-09-28T16.32.48.245;0.340;-1.100;0.019;0.190;6.037;-57.988;-1.280
1,72753E+12;2024-09-28T16.32.48.255;0.350;-1.132;0.015;0.203;8.354;-86.524;-2.195
1,72753E+12;2024-09-28T16.32.48.265;0.360;-1.194;0.016;0.223;12.134;-126.585;-2.317
1,72753E+12;2024-09-28T16.32.48.275;0.370;-1.243;0.026;0.250;15.061;-180.183;-1.098
1,72753E+12;2024-09-28T16.32.48.285;0.380;-1.214;0.041;0.265;16.829;-241.951;0.061
1,72753E+12;2024-09-28T16.32.48.295;0.390;-1.119;0.057;0.297;17.744;-301.037;-0.122
1,72753E+12;2024-09-28T16.32.48.305;0.400;-0.997;0.055;0.353;16.098;-345.549;-0.427
1,72753E+12;2024-09-28T16.32.48.315;0.410;-0.919;0.044;0.424;14.390;-374.207;-0.122
1,72753E+12;2024-09-28T16.32.48.325;0.420;-0.900;0.053;0.486;14.573;-399.817;1.159
1,72753E+12;2024-09-28T16.32.48.335;0.430;-0.877;0.039;0.548;15.366;-430.488;-0.793
1,72753E+12;2024-09-28T16.32.48.345;0.440;-0.863;0.042;0.602;18.720;-467.988;-5.305
1,72753E+12;2024-09-28T16.32.48.355;0.450;-0.785;0.036;0.645;23.293;-500.610;-11.951
1,72753E+12;2024-09-28T16.32.48.365;0.460;-0.723;0.002;0.697;31.585;-530.610;-14.451
1,72753E+12;2024-09-28T16.32.48.375;0.470;-0.744;0.000;0.726;41.951;-563.659;-12.500
1,72753E+12;2024-09-28T16.32.48.385;0.480;-0.739;0.001;0.711;52.317;-602.317;-11.707
1,72753E+12;2024-09-28T16.32.48.395;0.490;-0.586;0.041;0.677;60.244;-643.293;-5.061
1,72753E+12;2024-09-28T16.32.48.405;0.500;-0.356;0.086;0.647;63.476;-674.512;2.988
1,72753E+12;2024-09-28T16.32.48.415;0.510;-0.133;0.073;0.666;62.012;-681.768;4.756
1,72753E+12;2024-09-28T16.32.48.425;0.520;-0.013;0.020;0.703;64.024;-671.646;7.256
1,72753E+12;2024-09-28T16.32.48.435;0.530;0.023;0.104;0.634;67.744;-668.902;17.378
1,72753E+12;2024-09-28T16.32.48.445;0.540;0.272;0.211;0.524;59.878;-662.927;21.707
1,72753E+12;2024-09-28T16.32.48.455;0.550;0.689;0.179;0.526;45.976;-618.171;14.817
1,72753E+12;2024-09-28T16.32.48.465;0.560;1.075;0.115;0.654;34.634;-505.244;7.195
1,72753E+12;2024-09-28T16.32.48.475;0.570;1.260;0.136;0.735;27.561;-338.720;6.280
1,72753E+12;2024-09-28T16.32.48.485;0.580;1.135;0.193;0.725;19.817;-169.695;8.598
1,72753E+12;2024-09-28T16.32.48.495;0.590;0.810;0.225;0.692;7.134;-50.000;11.159
1,72753E+12;2024-09-28T16.32.48.505;0.600;0.531;0.229;0.703;-9.024;1.524;12.378
1,72753E+12;2024-09-28T16.32.48.515;0.610;0.433;0.190;0.776;-23.293;4.878;11.463
1,72753E+12;2024-09-28T16.32.48.525;0.620;0.428;0.123;0.844;-28.415;-9.146;10.610
1,72753E+12;2024-09-28T16.32.48.535;0.630;0.452;0.104;0.867;-25.915;-24.329;12.439
1,72753E+12;2024-09-28T16.32.48.545;0.640;0.514;0.098;0.874;-20.976;-32.195;11.829
1,72753E+12;2024-09-28T16.32.48.555;0.650;0.601;0.081;0.862;-14.512;-23.171;7.256
1,72753E+12;2024-09-28T16.32.48.565;0.660;0.658;0.085;0.831;-7.378;3.659;3.598
1,72753E+12;2024-09-28T16.32.48.575;0.670;0.612;0.101;0.815;-1.768;33.720;2.317
1,72753E+12;2024-09-28T16.32.48.585;0.680;0.449;0.094;0.795;3.476;50.305;1.768
1,72753E+12;2024-09-28T16.32.48.595;0.690;0.290;0.128;0.768;7.134;35.671;5.305
1,72753E+12;2024-09-28T16.32.48.605;0.700;0.324;0.177;0.775;3.598;-4.878;7.378
1,72753E+12;2024-09-28T16.32.48.615;0.710;0.467;0.145;0.827;-0.122;-41.159;3.110
1,72753E+12;2024-09-28T16.32.48.625;0.720;0.555;0.111;0.858;0.366;-48.841;-0.061
1,72753E+12;2024-09-28T16.32.48.635;0.730;0.625;0.118;0.854;0.488;-30.854;1.829
1,72753E+12;2024-09-28T16.32.48.645;0.740;0.658;0.118;0.851;-1.463;0.305;1.463
1,72753E+12;2024-09-28T16.32.48.655;0.750;0.659;0.128;0.834;-4.268;37.317;-1.341
1,72753E+12;2024-09-28T16.32.48.665;0.760;0.621;0.119;0.839;-6.768;73.902;-4.268
1,72753E+12;2024-09-28T16.32.48.675;0.770;0.441;0.089;0.837;-5.488;91.829;-3.476
1,72753E+12;2024-09-28T16.32.48.685;0.780;0.237;0.122;0.818;-2.500;70.122;0.549
1,72753E+12;2024-09-28T16.32.48.695;0.790;0.261;0.146;0.834;-3.110;18.780;1.402
1,72753E+12;2024-09-28T16.32.48.705;0.800;0.450;0.107;0.873;-2.317;-23.963;-1.707
1,72753E+12;2024-09-28T16.32.48.715;0.810;0.564;0.083;0.893;2.988;-32.439;-3.720
1,72753E+12;2024-09-28T16.32.48.725;0.820;0.585;0.102;0.874;7.866;-14.939;-3.720
1,72753E+12;2024-09-28T16.32.48.735;0.830;0.572;0.118;0.858;9.451;8.293;-4.451
1,72753E+12;2024-09-28T16.32.48.745;0.840;0.560;0.132;0.853;8.780;27.866;-6.402
1,72753E+12;2024-09-28T16.32.48.755;0.850;0.584;0.135;0.854;7.012;46.707;-9.024
1,72753E+12;2024-09-28T16.32.48.765;0.860;0.564;0.127;0.851;6.524;66.341;-9.878
1,72753E+12;2024-09-28T16.32.48.775;0.870;0.437;0.130;0.849;7.134;76.220;-6.768
1,72753E+12;2024-09-28T16.32.48.785;0.880;0.290;0.135;0.864;6.402;61.341;-1.098
1,72753E+12;2024-09-28T16.32.48.795;0.890;0.234;0.135;0.903;5.732;21.280;1.890
1,72753E+12;2024-09-28T16.32.48.805;0.900;0.338;0.112;0.945;5.915;-18.537;-0.671
1,72753E+12;2024-09-28T16.32.48.815;0.910;0.462;0.098;0.953;8.415;-36.890;-3.780
1,72753E+12;2024-09-28T16.32.48.825;0.920;0.510;0.124;0.923;10.549;-32.805;-5.244
1,72753E+12;2024-09-28T16.32.48.835;0.930;0.521;0.137;0.888;8.598;-19.329;-7.256
1,72753E+12;2024-09-28T16.32.48.845;0.940;0.526;0.136;0.879;5.976;-5.366;-9.573
1,72753E+12;2024-09-28T16.32.48.855;0.950;0.517;0.140;0.867;5.244;6.098;-9.878
1,72753E+12;2024-09-28T16.32.48.865;0.960;0.488;0.143;0.866;4.329;11.098;-7.866
1,72753E+12;2024-09-28T16.32.48.875;0.970;0.454;0.135;0.863;4.024;9.207;-5.610
1,72753E+12;2024-09-28T16.32.48.885;0.980;0.456;0.144;0.877;3.902;2.439;-3.354
1,72753E+12;2024-09-28T16.32.48.895;0.990;0.452;0.144;0.884;4.878;-6.707;-2.622
1,72753E+12;2024-09-28T16.32.48.905;1.000;0.479;0.144;0.891;6.280;-14.329;-2.378
1,72753E+12;2024-09-28T16.32.48.915;1.010;0.514;0.143;0.889;7.988;-17.195;-2.744
1,72753E+12;2024-09-28T16.32.48.925;1.020;0.532;0.141;0.880;10.000;-14.024;-4.390
1,72753E+12;2024-09-28T16.32.48.935;1.030;0.546;0.147;0.876;11.037;-6.037;-5.915
1,72753E+12;2024-09-28T16.32.48.945;1.040;0.558;0.148;0.863;11.159;5.305;-6.768
1,72753E+12;2024-09-28T16.32.48.955;1.050;0.563;0.163;0.846;10.183;16.707;-6.890
1,72753E+12;2024-09-28T16.32.48.965;1.060;0.584;0.178;0.838;7.622;29.268;-7.134
