epoc (ms);timestamp (+0300);elapsed (s);acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
1,72753E+12;2024-09-28T16.40.51.106;0.000;-1.060;0.013;0.174;13.780;-127.439;-2.378
1,72753E+12;2024-09-28T16.40.51.116;0.010;-1.143;0.013;0.191;14.939;-137.561;-2.500
1,72753E+12;2024-09-28T16.40.51.126;0.020;-1.213;0.021;0.217;19.024;-186.585;-3.049
1,72753E+12;2024-09-28T16.40.51.136;0.030;-1.205;0.015;0.254;25.732;-258.780;-4.146
1,72753E+12;2024-09-28T16.40.51.146;0.040;-1.214;-0.004;0.302;33.963;-344.329;-6.890
1,72753E+12;2024-09-28T16.40.51.156;0.050;-1.268;0.009;0.351;42.683;-429.939;-14.024
1,72753E+12;2024-09-28T16.40.51.166;0.060;-1.161;0.015;0.384;50.915;-491.829;-22.500
1,72753E+12;2024-09-28T16.40.51.176;0.070;-0.990;0.012;0.414;58.232;-529.085;-27.134
1,72753E+12;2024-09-28T16.40.51.186;0.080;-0.912;0.007;0.469;65.122;-550.976;-28.476
1,72753E+12;2024-09-28T16.40.51.196;0.090;-0.827;0.005;0.516;71.524;-563.598;-26.098
1,72753E+12;2024-09-28T16.40.51.206;0.100;-0.727;0.003;0.554;77.500;-568.598;-23.841
1,72753E+12;2024-09-28T16.40.51.216;0.110;-0.675;-0.019;0.605;83.232;-575.610;-18.659
1,72753E+12;2024-09-28T16.40.51.226;0.120;-0.657;-0.011;0.629;86.098;-582.195;-15.427
1,72753E+12;2024-09-28T16.40.51.236;0.130;-0.552;0.029;0.623;83.537;-578.110;-14.024
1,72753E+12;2024-09-28T16.40.51.246;0.140;-0.361;0.061;0.639;77.134;-554.024;-11.280
1,72753E+12;2024-09-28T16.40.51.256;0.150;-0.165;0.073;0.676;69.817;-514.024;-7.683
1,72753E+12;2024-09-28T16.40.51.266;0.160;-0.050;0.071;0.723;62.561;-470.610;-1.768
1,72753E+12;2024-09-28T16.40.51.276;0.170;0.014;0.111;0.744;52.378;-423.476;1.280
