epoc (ms);timestamp (+0300);elapsed (s);acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
1,72753E+12;2024-09-28T16.06.49.544;0.590;0.309;0.357;0.998;77.317;7.683;33.720
1,72753E+12;2024-09-28T16.06.49.554;0.600;0.387;0.353;1.030;81.341;19.451;41.402
1,72753E+12;2024-09-28T16.06.49.564;0.610;0.401;0.384;1.083;85.366;33.476;48.537
1,72753E+12;2024-09-28T16.06.49.574;0.620;0.353;0.432;1.144;86.768;42.134;55.061
1,72753E+12;2024-09-28T16.06.49.584;0.630;0.317;0.492;1.171;81.280;43.049;54.756
1,72753E+12;2024-09-28T16.06.49.594;0.640;0.289;0.545;1.144;68.354;30.915;48.415
1,72753E+12;2024-09-28T16.06.49.604;0.650;0.194;0.554;1.114;52.317;6.463;40.671
1,72753E+12;2024-09-28T16.06.49.614;0.660;0.049;0.524;1.104;37.622;-22.073;40.122
1,72753E+12;2024-09-28T16.06.49.624;0.670;0.063;0.479;1.097;30.183;-41.402;48.476
1,72753E+12;2024-09-28T16.06.49.634;0.680;0.282;0.422;1.097;30.122;-36.768;54.634
1,72753E+12;2024-09-28T16.06.49.644;0.690;0.439;0.358;1.103;33.354;-17.256;60.061
1,72753E+12;2024-09-28T16.06.49.654;0.700;0.439;0.336;1.076;38.537;-1.159;68.232
1,72753E+12;2024-09-28T16.06.49.664;0.710;0.411;0.352;1.029;43.415;5.915;76.829
1,72753E+12;2024-09-28T16.06.49.674;0.720;0.426;0.371;0.994;48.110;6.402;83.720
1,72753E+12;2024-09-28T16.06.49.684;0.730;0.414;0.386;1.015;52.622;5.671;86.280
1,72753E+12;2024-09-28T16.06.49.694;0.740;0.310;0.400;1.031;54.207;4.756;91.707
1,72753E+12;2024-09-28T16.06.49.704;0.750;0.251;0.426;1.055;52.622;4.451;99.146
1,72753E+12;2024-09-28T16.06.49.714;0.760;0.258;0.437;1.107;47.683;7.561;100.488
1,72753E+12;2024-09-28T16.06.49.724;0.770;0.210;0.440;1.130;40.549;12.744;98.171
1,72753E+12;2024-09-28T16.06.49.734;0.780;0.139;0.435;1.129;31.037;22.317;100.915
1,72753E+12;2024-09-28T16.06.49.744;0.790;0.197;0.432;1.132;21.890;37.195;104.146
1,72753E+12;2024-09-28T16.06.49.754;0.800;0.252;0.425;1.148;14.634;50.732;103.963
1,72753E+12;2024-09-28T16.06.49.764;0.810;0.202;0.412;1.145;10.366;51.220;104.939
1,72753E+12;2024-09-28T16.06.49.774;0.820;0.149;0.401;1.145;9.390;39.817;106.220
1,72753E+12;2024-09-28T16.06.49.784;0.830;0.155;0.390;1.135;11.098;25.915;106.159
1,72753E+12;2024-09-28T16.06.49.794;0.840;0.170;0.392;1.099;13.415;14.207;108.049
1,72753E+12;2024-09-28T16.06.49.804;0.850;0.204;0.406;1.054;15.793;5.427;110.061
1,72753E+12;2024-09-28T16.06.49.814;0.860;0.226;0.429;1.009;17.439;2.500;111.768
1,72753E+12;2024-09-28T16.06.49.824;0.870;0.245;0.455;0.997;18.171;7.988;115.732
