epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1727527830613,2024-09-28T15.50.30.613,0.000,0.275,0.188,0.922
1727527830623,2024-09-28T15.50.30.623,0.010,0.315,0.185,0.935
1727527830633,2024-09-28T15.50.30.633,0.020,0.324,0.177,0.941
1727527830643,2024-09-28T15.50.30.643,0.030,0.298,0.165,0.939
1727527830653,2024-09-28T15.50.30.653,0.040,0.271,0.150,0.926
1727527830663,2024-09-28T15.50.30.663,0.050,0.239,0.131,0.897
1727527830673,2024-09-28T15.50.30.673,0.060,0.227,0.110,0.870
1727527830683,2024-09-28T15.50.30.683,0.070,0.229,0.087,0.832
1727527830693,2024-09-28T15.50.30.693,0.080,0.229,0.050,0.796
1727527830703,2024-09-28T15.50.30.703,0.090,0.217,0.013,0.785
1727527830713,2024-09-28T15.50.30.713,0.100,0.214,-0.010,0.787
1727527830723,2024-09-28T15.50.30.723,0.110,0.215,-0.026,0.788
1727527830733,2024-09-28T15.50.30.733,0.120,0.186,-0.051,0.801
1727527830743,2024-09-28T15.50.30.743,0.130,0.173,-0.055,0.818
1727527830753,2024-09-28T15.50.30.753,0.140,0.169,-0.055,0.807
1727527830763,2024-09-28T15.50.30.763,0.150,0.161,-0.075,0.771
1727527830773,2024-09-28T15.50.30.773,0.160,0.155,-0.095,0.749
1727527830783,2024-09-28T15.50.30.783,0.170,0.174,-0.097,0.730
1727527830793,2024-09-28T15.50.30.793,0.180,0.203,-0.107,0.710
1727527830803,2024-09-28T15.50.30.803,0.190,0.216,-0.118,0.714
1727527830813,2024-09-28T15.50.30.813,0.200,0.214,-0.132,0.753
1727527830823,2024-09-28T15.50.30.823,0.210,0.187,-0.129,0.795
1727527830833,2024-09-28T15.50.30.833,0.220,0.137,-0.135,0.807
1727527830843,2024-09-28T15.50.30.843,0.230,0.095,-0.160,0.798
1727527830853,2024-09-28T15.50.30.853,0.240,0.068,-0.168,0.786
1727527830863,2024-09-28T15.50.30.863,0.250,0.054,-0.177,0.779
1727527830873,2024-09-28T15.50.30.873,0.260,0.046,-0.197,0.767
1727527830883,2024-09-28T15.50.30.883,0.270,0.030,-0.216,0.756
1727527830893,2024-09-28T15.50.30.893,0.280,0.005,-0.230,0.758
1727527830903,2024-09-28T15.50.30.903,0.290,-0.020,-0.237,0.779
1727527830913,2024-09-28T15.50.30.913,0.300,-0.009,-0.230,0.815
1727527830923,2024-09-28T15.50.30.923,0.310,0.016,-0.216,0.857
1727527830933,2024-09-28T15.50.30.933,0.320,0.053,-0.198,0.914
1727527830943,2024-09-28T15.50.30.943,0.330,0.063,-0.176,0.954
1727527830953,2024-09-28T15.50.30.953,0.340,0.041,-0.167,0.964
1727527830963,2024-09-28T15.50.30.963,0.350,0.008,-0.172,0.961
1727527830973,2024-09-28T15.50.30.973,0.360,-0.005,-0.174,0.961
1727527830983,2024-09-28T15.50.30.983,0.370,0.000,-0.178,0.968
1727527830993,2024-09-28T15.50.30.993,0.380,0.011,-0.184,0.984
1727527831003,2024-09-28T15.50.31.003,0.390,0.018,-0.194,1.008
1727527831013,2024-09-28T15.50.31.013,0.400,0.047,-0.195,1.037
1727527831023,2024-09-28T15.50.31.023,0.410,0.082,-0.188,1.063
1727527831033,2024-09-28T15.50.31.033,0.420,0.079,-0.187,1.082
1727527831043,2024-09-28T15.50.31.043,0.430,0.059,-0.178,1.088
1727527831053,2024-09-28T15.50.31.053,0.440,0.038,-0.171,1.070
1727527831063,2024-09-28T15.50.31.063,0.450,0.033,-0.176,1.042
1727527831073,2024-09-28T15.50.31.073,0.460,0.038,-0.180,1.026
1727527831083,2024-09-28T15.50.31.083,0.470,0.057,-0.179,1.032
1727527831093,2024-09-28T15.50.31.093,0.480,0.065,-0.179,1.049
1727527831103,2024-09-28T15.50.31.103,0.490,0.077,-0.179,1.084
1727527831113,2024-09-28T15.50.31.113,0.500,0.103,-0.172,1.097
1727527831123,2024-09-28T15.50.31.123,0.510,0.124,-0.172,1.081
1727527831133,2024-09-28T15.50.31.133,0.520,0.117,-0.176,1.054
1727527831143,2024-09-28T15.50.31.143,0.530,0.100,-0.186,1.034
1727527831153,2024-09-28T15.50.31.153,0.540,0.096,-0.199,1.014
1727527831163,2024-09-28T15.50.31.163,0.550,0.115,-0.203,0.992
1727527831173,2024-09-28T15.50.31.173,0.560,0.142,-0.202,0.977
1727527831183,2024-09-28T15.50.31.183,0.570,0.168,-0.196,0.969
1727527831193,2024-09-28T15.50.31.193,0.580,0.174,-0.182,0.978
1727527831203,2024-09-28T15.50.31.203,0.590,0.165,-0.171,0.986
1727527831213,2024-09-28T15.50.31.213,0.600,0.160,-0.162,0.986
1727527831223,2024-09-28T15.50.31.223,0.610,0.167,-0.157,0.972
1727527831233,2024-09-28T15.50.31.233,0.620,0.171,-0.156,0.957
1727527831243,2024-09-28T15.50.31.243,0.630,0.177,-0.165,0.942
1727527831253,2024-09-28T15.50.31.253,0.640,0.179,-0.177,0.920
1727527831263,2024-09-28T15.50.31.263,0.650,0.176,-0.183,0.900
1727527831273,2024-09-28T15.50.31.273,0.660,0.175,-0.195,0.887
1727527831283,2024-09-28T15.50.31.283,0.670,0.185,-0.203,0.877
1727527831293,2024-09-28T15.50.31.293,0.680,0.192,-0.211,0.865
1727527831303,2024-09-28T15.50.31.303,0.690,0.186,-0.220,0.847
1727527831313,2024-09-28T15.50.31.313,0.700,0.185,-0.226,0.839
1727527831323,2024-09-28T15.50.31.323,0.710,0.190,-0.224,0.833
1727527831333,2024-09-28T15.50.31.333,0.720,0.191,-0.219,0.824
1727527831343,2024-09-28T15.50.31.343,0.730,0.195,-0.207,0.814
1727527831353,2024-09-28T15.50.31.353,0.740,0.218,-0.194,0.793
1727527831363,2024-09-28T15.50.31.363,0.750,0.243,-0.184,0.771
1727527831373,2024-09-28T15.50.31.373,0.760,0.234,-0.179,0.749
1727527831383,2024-09-28T15.50.31.383,0.770,0.220,-0.176,0.739
1727527831393,2024-09-28T15.50.31.393,0.780,0.235,-0.160,0.749
1727527831403,2024-09-28T15.50.31.403,0.790,0.262,-0.134,0.760
1727527831413,2024-09-28T15.50.31.413,0.800,0.256,-0.117,0.777
1727527831423,2024-09-28T15.50.31.423,0.810,0.225,-0.107,0.787
1727527831433,2024-09-28T15.50.31.433,0.820,0.182,-0.092,0.783
1727527831443,2024-09-28T15.50.31.443,0.830,0.141,-0.078,0.768
1727527831453,2024-09-28T15.50.31.453,0.840,0.110,-0.066,0.752
1727527831463,2024-09-28T15.50.31.463,0.850,0.100,-0.056,0.743
1727527831473,2024-09-28T15.50.31.473,0.860,0.094,-0.052,0.738
1727527831483,2024-09-28T15.50.31.483,0.870,0.111,-0.044,0.757
1727527831493,2024-09-28T15.50.31.493,0.880,0.185,-0.005,0.823
1727527831503,2024-09-28T15.50.31.503,0.890,0.278,0.059,0.882
1727527831513,2024-09-28T15.50.31.513,0.900,0.289,0.099,0.904
1727527831523,2024-09-28T15.50.31.523,0.910,0.192,0.098,0.914
1727527831533,2024-09-28T15.50.31.533,0.920,0.066,0.093,0.920
1727527831543,2024-09-28T15.50.31.543,0.930,-0.016,0.095,0.901
1727527831553,2024-09-28T15.50.31.553,0.940,-0.057,0.100,0.891
1727527831563,2024-09-28T15.50.31.563,0.950,-0.046,0.099,0.880
1727527831573,2024-09-28T15.50.31.573,0.960,-0.013,0.111,0.875
1727527831583,2024-09-28T15.50.31.583,0.970,0.053,0.123,0.874
1727527831593,2024-09-28T15.50.31.593,0.980,0.156,0.139,0.914
1727527831603,2024-09-28T15.50.31.603,0.990,0.230,0.175,1.013
1727527831613,2024-09-28T15.50.31.613,1.000,0.201,0.223,1.082
1727527831623,2024-09-28T15.50.31.623,1.010,0.092,0.232,1.083
1727527831633,2024-09-28T15.50.31.633,1.020,-0.019,0.218,1.061
1727527831643,2024-09-28T15.50.31.643,1.030,-0.117,0.228,1.037
1727527831653,2024-09-28T15.50.31.653,1.040,-0.198,0.240,0.995
1727527831663,2024-09-28T15.50.31.663,1.050,-0.222,0.244,0.960
1727527831673,2024-09-28T15.50.31.673,1.060,-0.154,0.257,0.974
1727527831683,2024-09-28T15.50.31.683,1.070,-0.028,0.290,1.084
1727527831693,2024-09-28T15.50.31.693,1.080,0.126,0.375,1.224
1727527831703,2024-09-28T15.50.31.703,1.090,0.207,0.446,1.283
1727527831713,2024-09-28T15.50.31.713,1.100,0.136,0.445,1.266
1727527831723,2024-09-28T15.50.31.723,1.110,-0.009,0.424,1.220
1727527831733,2024-09-28T15.50.31.733,1.120,-0.079,0.424,1.183
1727527831743,2024-09-28T15.50.31.743,1.130,-0.103,0.427,1.150
1727527831753,2024-09-28T15.50.31.753,1.140,-0.125,0.422,1.112
