epoc (ms);timestamp (+0300);elapsed (s);acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
1,72753E+12;2024-09-28T15.53.39.175;0.580;-0.022;0.662;1.026;-42.500;-71.220;-92.744
1,72753E+12;2024-09-28T15.53.39.185;0.590;0.078;0.652;1.027;-44.756;-65.000;-95.976
1,72753E+12;2024-09-28T15.53.39.195;0.600;0.135;0.636;1.025;-45.000;-53.963;-97.256
1,72753E+12;2024-09-28T15.53.39.205;0.610;0.141;0.616;1.015;-45.244;-45.732;-97.073
1,72753E+12;2024-09-28T15.53.39.215;0.620;0.122;0.602;0.996;-46.159;-44.268;-95.000
1,72753E+12;2024-09-28T15.53.39.225;0.630;0.096;0.597;0.970;-48.110;-49.939;-91.341
1,72753E+12;2024-09-28T15.53.39.235;0.640;0.061;0.588;0.945;-50.427;-61.402;-85.976
1,72753E+12;2024-09-28T15.53.39.245;0.650;0.079;0.584;0.907;-53.537;-75.000;-79.451
1,72753E+12;2024-09-28T15.53.39.255;0.660;0.105;0.590;0.894;-56.220;-83.659;-72.012
1,72753E+12;2024-09-28T15.53.39.265;0.670;0.153;0.576;0.887;-58.171;-84.695;-59.939
1,72753E+12;2024-09-28T15.53.39.275;0.680;0.279;0.576;0.897;-59.024;-76.220;-52.256
1,72753E+12;2024-09-28T15.53.39.285;0.690;0.401;0.580;0.933;-57.866;-59.024;-52.439
1,72753E+12;2024-09-28T15.53.39.295;0.700;0.400;0.567;0.980;-55.244;-41.585;-53.232
1,72753E+12;2024-09-28T15.53.39.305;0.710;0.318;0.552;1.009;-52.988;-34.512;-50.610
1,72753E+12;2024-09-28T15.53.39.315;0.720;0.244;0.553;1.054;-50.793;-36.463;-47.927
1,72753E+12;2024-09-28T15.53.39.325;0.730;0.206;0.536;1.076;-50.061;-41.402;-44.329
1,72753E+12;2024-09-28T15.53.39.335;0.740;0.250;0.561;1.037;-53.537;-41.524;-43.659
1,72753E+12;2024-09-28T15.53.39.345;0.750;0.287;0.552;0.975;-61.646;-42.195;-39.756
1,72753E+12;2024-09-28T15.53.39.355;0.760;0.215;0.516;0.937;-71.220;-44.878;-32.683
1,72753E+12;2024-09-28T15.53.39.365;0.770;0.270;0.503;0.918;-80.488;-40.976;-21.829
1,72753E+12;2024-09-28T15.53.39.375;0.780;0.348;0.480;0.921;-86.159;-32.134;-14.390
1,72753E+12;2024-09-28T15.53.39.385;0.790;0.338;0.455;0.945;-87.744;-22.317;-9.573
1,72753E+12;2024-09-28T15.53.39.395;0.800;0.314;0.433;0.963;-87.256;-11.585;-4.024
1,72753E+12;2024-09-28T15.53.39.405;0.810;0.295;0.416;0.957;-86.707;-2.805;-0.488
1,72753E+12;2024-09-28T15.53.39.415;0.820;0.245;0.391;0.956;-85.976;0.610;1.037
1,72753E+12;2024-09-28T15.53.39.425;0.830;0.182;0.367;0.950;-84.939;-0.305;4.390
1,72753E+12;2024-09-28T15.53.39.435;0.840;0.170;0.373;0.935;-84.695;-2.744;8.415
1,72753E+12;2024-09-28T15.53.39.445;0.850;0.181;0.385;0.933;-85.854;-4.634;10.244
1,72753E+12;2024-09-28T15.53.39.455;0.860;0.184;0.384;0.931;-87.195;-5.488;12.317
1,72753E+12;2024-09-28T15.53.39.465;0.870;0.181;0.383;0.938;-88.720;-6.463;15.061
1,72753E+12;2024-09-28T15.53.39.475;0.880;0.182;0.372;0.941;-90.549;-6.829;18.049
1,72753E+12;2024-09-28T15.53.39.485;0.890;0.207;0.351;0.928;-92.500;-5.854;20.976
1,72753E+12;2024-09-28T15.53.39.495;0.900;0.242;0.343;0.908;-95.122;-2.683;23.415
1,72753E+12;2024-09-28T15.53.39.505;0.910;0.272;0.333;0.921;-96.585;4.207;25.793
1,72753E+12;2024-09-28T15.53.39.515;0.920;0.290;0.323;0.940;-95.366;12.073;28.902
1,72753E+12;2024-09-28T15.53.39.525;0.930;0.278;0.315;0.942;-93.415;17.256;32.134
1,72753E+12;2024-09-28T15.53.39.535;0.940;0.247;0.306;0.927;-92.561;18.110;36.159
1,72753E+12;2024-09-28T15.53.39.545;0.950;0.232;0.295;0.907;-92.073;15.061;40.610
1,72753E+12;2024-09-28T15.53.39.555;0.960;0.223;0.276;0.892;-91.829;10.244;44.512
