epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1727527969726,2024-09-28T15.52.49.726,0.000,0.029,0.187,0.881
1727527969736,2024-09-28T15.52.49.736,0.010,-0.050,0.192,0.868
1727527969746,2024-09-28T15.52.49.746,0.020,-0.078,0.214,0.849
1727527969756,2024-09-28T15.52.49.756,0.030,-0.030,0.245,0.842
1727527969766,2024-09-28T15.52.49.766,0.040,0.057,0.272,0.841
1727527969776,2024-09-28T15.52.49.776,0.050,0.108,0.294,0.856
1727527969786,2024-09-28T15.52.49.786,0.060,0.108,0.313,0.882
1727527969796,2024-09-28T15.52.49.796,0.070,0.058,0.335,0.917
1727527969806,2024-09-28T15.52.49.806,0.080,-0.021,0.346,0.945
1727527969816,2024-09-28T15.52.49.816,0.090,-0.123,0.357,0.987
1727527969826,2024-09-28T15.52.49.826,0.100,-0.191,0.392,1.025
1727527969836,2024-09-28T15.52.49.836,0.110,-0.175,0.448,1.007
1727527969846,2024-09-28T15.52.49.846,0.120,-0.114,0.484,0.970
1727527969856,2024-09-28T15.52.49.856,0.130,-0.059,0.508,0.945
1727527969866,2024-09-28T15.52.49.866,0.140,-0.013,0.534,0.948
1727527969876,2024-09-28T15.52.49.876,0.150,0.009,0.549,0.981
1727527969886,2024-09-28T15.52.49.886,0.160,-0.009,0.557,1.035
1727527969896,2024-09-28T15.52.49.896,0.170,-0.047,0.570,1.076
1727527969906,2024-09-28T15.52.49.906,0.180,-0.106,0.589,1.094
1727527969916,2024-09-28T15.52.49.916,0.190,-0.158,0.608,1.090
1727527969926,2024-09-28T15.52.49.926,0.200,-0.183,0.634,1.060
1727527969936,2024-09-28T15.52.49.936,0.210,-0.203,0.654,1.031
1727527969946,2024-09-28T15.52.49.946,0.220,-0.187,0.666,1.012
1727527969956,2024-09-28T15.52.49.956,0.230,-0.132,0.686,1.005
1727527969966,2024-09-28T15.52.49.966,0.240,-0.106,0.688,1.015
1727527969976,2024-09-28T15.52.49.976,0.250,-0.122,0.677,1.038
1727527969986,2024-09-28T15.52.49.986,0.260,-0.136,0.676,1.063
1727527969996,2024-09-28T15.52.49.996,0.270,-0.150,0.688,1.106
