epoc (ms);timestamp (+0300);elapsed (s);acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
1,72753E+12;2024-09-28T15.54.54.136;0.000;0.022;0.600;0.968;-64.512;-34.634;-57.195
1,72753E+12;2024-09-28T15.54.54.146;0.010;0.080;0.612;0.980;-64.512;-33.476;-58.110
1,72753E+12;2024-09-28T15.54.54.156;0.020;0.125;0.616;0.996;-64.756;-28.963;-60.488
1,72753E+12;2024-09-28T15.54.54.166;0.030;0.076;0.591;0.976;-65.671;-29.085;-58.598
1,72753E+12;2024-09-28T15.54.54.176;0.040;0.048;0.575;0.929;-69.329;-33.780;-53.110
1,72753E+12;2024-09-28T15.54.54.186;0.050;0.021;0.565;0.915;-76.402;-35.061;-45.976
1,72753E+12;2024-09-28T15.54.54.196;0.060;0.036;0.562;0.925;-83.171;-32.195;-36.037
1,72753E+12;2024-09-28T15.54.54.206;0.070;0.133;0.563;0.935;-89.024;-25.366;-32.866
1,72753E+12;2024-09-28T15.54.54.216;0.080;0.168;0.535;0.950;-94.695;-14.024;-33.780
1,72753E+12;2024-09-28T15.54.54.226;0.090;0.134;0.498;0.955;-97.683;-5.122;-28.537
1,72753E+12;2024-09-28T15.54.54.236;0.100;0.106;0.470;0.961;-96.707;-3.841;-22.256
1,72753E+12;2024-09-28T15.54.54.246;0.110;0.091;0.436;0.966;-92.927;-9.939;-18.902
1,72753E+12;2024-09-28T15.54.54.256;0.120;0.072;0.423;0.986;-87.134;-15.854;-15.610
1,72753E+12;2024-09-28T15.54.54.266;0.130;0.086;0.438;0.999;-81.951;-13.841;-11.220
1,72753E+12;2024-09-28T15.54.54.276;0.140;0.129;0.460;0.993;-79.939;-4.451;-7.500
1,72753E+12;2024-09-28T15.54.54.286;0.150;0.165;0.469;0.970;-81.280;5.915;-6.341
1,72753E+12;2024-09-28T15.54.54.296;0.160;0.136;0.469;0.922;-88.415;13.476;-5.976
1,72753E+12;2024-09-28T15.54.54.306;0.170;0.078;0.457;0.876;-100.244;14.268;-1.646
1,72753E+12;2024-09-28T15.54.54.316;0.180;0.038;0.434;0.871;-111.646;8.659;3.415
1,72753E+12;2024-09-28T15.54.54.326;0.190;0.030;0.400;0.906;-119.451;2.012;6.707
1,72753E+12;2024-09-28T15.54.54.336;0.200;0.041;0.365;0.948;-121.524;-1.829;10.183
1,72753E+12;2024-09-28T15.54.54.346;0.210;0.030;0.338;0.986;-117.378;-4.329;15.976
1,72753E+12;2024-09-28T15.54.54.356;0.220;0.041;0.314;1.001;-110.122;-4.756;22.988
1,72753E+12;2024-09-28T15.54.54.366;0.230;0.078;0.281;0.971;-103.841;-3.171;27.500
1,72753E+12;2024-09-28T15.54.54.376;0.240;0.063;0.246;0.925;-100.366;-3.354;28.841
1,72753E+12;2024-09-28T15.54.54.386;0.250;0.015;0.222;0.903;-98.963;-6.098;30.854
1,72753E+12;2024-09-28T15.54.54.396;0.260;-0.013;0.216;0.880;-100.244;-8.963;33.720
1,72753E+12;2024-09-28T15.54.54.406;0.270;-0.021;0.211;0.861;-104.695;-9.451;37.256
1,72753E+12;2024-09-28T15.54.54.416;0.280;0.017;0.204;0.883;-108.598;-7.012;38.171
1,72753E+12;2024-09-28T15.54.54.426;0.290;0.069;0.203;0.922;-110.549;0.549;36.098
1,72753E+12;2024-09-28T15.54.54.436;0.300;0.091;0.189;0.939;-111.220;10.610;35.610
1,72753E+12;2024-09-28T15.54.54.446;0.310;0.064;0.160;0.939;-109.939;16.098;37.805
1,72753E+12;2024-09-28T15.54.54.456;0.320;-0.008;0.118;0.949;-105.610;11.220;40.671
1,72753E+12;2024-09-28T15.54.54.466;0.330;-0.082;0.081;0.948;-99.390;-0.671;45.732
1,72753E+12;2024-09-28T15.54.54.476;0.340;-0.098;0.062;0.917;-94.207;-12.134;51.707
1,72753E+12;2024-09-28T15.54.54.486;0.350;-0.119;0.046;0.867;-92.866;-18.354;56.646
1,72753E+12;2024-09-28T15.54.54.496;0.360;-0.117;0.010;0.809;-94.085;-20.305;62.134
1,72753E+12;2024-09-28T15.54.54.506;0.370;-0.074;-0.016;0.775;-96.951;-17.378;63.963
1,72753E+12;2024-09-28T15.54.54.516;0.380;-0.016;-0.031;0.772;-99.756;-8.780;61.951
1,72753E+12;2024-09-28T15.54.54.526;0.390;0.017;-0.036;0.799;-100.366;2.012;60.122
1,72753E+12;2024-09-28T15.54.54.536;0.400;0.012;-0.022;0.845;-99.390;8.963;59.512
1,72753E+12;2024-09-28T15.54.54.546;0.410;-0.018;-0.014;0.907;-95.732;10.122;60.000
1,72753E+12;2024-09-28T15.54.54.556;0.420;-0.063;-0.014;0.948;-88.841;5.854;62.439
1,72753E+12;2024-09-28T15.54.54.566;0.430;-0.105;-0.020;0.937;-81.829;-1.585;67.073
1,72753E+12;2024-09-28T15.54.54.576;0.440;-0.131;-0.044;0.890;-76.585;-11.585;72.012
1,72753E+12;2024-09-28T15.54.54.586;0.450;-0.142;-0.085;0.838;-72.439;-20.671;75.366
1,72753E+12;2024-09-28T15.54.54.596;0.460;-0.130;-0.124;0.801;-69.085;-22.988;78.354
1,72753E+12;2024-09-28T15.54.54.606;0.470;-0.072;-0.140;0.779;-66.951;-16.341;80.244
1,72753E+12;2024-09-28T15.54.54.616;0.480;-0.024;-0.139;0.776;-65.671;-4.146;79.878
1,72753E+12;2024-09-28T15.54.54.626;0.490;-0.032;-0.125;0.779;-64.329;5.610;78.354
1,72753E+12;2024-09-28T15.54.54.636;0.500;-0.092;-0.127;0.771;-63.537;9.817;77.256
