epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1727528422459,2024-09-28T16.00.22.459,0.000,24.085,6.463,-79.390
1727528422469,2024-09-28T16.00.22.469,0.010,24.207,6.646,-79.817
1727528422479,2024-09-28T16.00.22.479,0.020,26.646,8.659,-80.793
1727528422489,2024-09-28T16.00.22.489,0.030,30.610,11.159,-80.366
1727528422499,2024-09-28T16.00.22.499,0.040,34.634,12.927,-80.549
1727528422509,2024-09-28T16.00.22.509,0.050,37.378,11.402,-81.646
1727528422519,2024-09-28T16.00.22.519,0.060,40.061,7.195,-82.012
1727528422529,2024-09-28T16.00.22.529,0.070,44.756,3.963,-82.500
1727528422539,2024-09-28T16.00.22.539,0.080,49.207,2.622,-82.805
1727528422549,2024-09-28T16.00.22.549,0.090,52.073,2.744,-83.049
1727528422559,2024-09-28T16.00.22.559,0.100,53.659,3.659,-84.329
1727528422569,2024-09-28T16.00.22.569,0.110,54.329,4.207,-87.378
1727528422579,2024-09-28T16.00.22.579,0.120,54.329,5.000,-91.585
1727528422589,2024-09-28T16.00.22.589,0.130,54.085,7.683,-94.573
1727528422599,2024-09-28T16.00.22.599,0.140,55.061,13.902,-97.195
1727528422609,2024-09-28T16.00.22.609,0.150,56.707,24.024,-100.366
1727528422619,2024-09-28T16.00.22.619,0.160,58.841,33.293,-100.610
1727528422629,2024-09-28T16.00.22.629,0.170,60.610,34.695,-94.878
1727528422639,2024-09-28T16.00.22.639,0.180,61.890,25.854,-85.915
1727528422649,2024-09-28T16.00.22.649,0.190,62.561,9.573,-78.476
1727528422659,2024-09-28T16.00.22.659,0.200,63.780,-8.902,-73.841
1727528422669,2024-09-28T16.00.22.669,0.210,66.037,-25.244,-71.890
1727528422679,2024-09-28T16.00.22.679,0.220,69.024,-37.256,-72.317
1727528422689,2024-09-28T16.00.22.689,0.230,70.976,-38.171,-75.244
1727528422699,2024-09-28T16.00.22.699,0.240,71.098,-22.927,-76.524
1727528422709,2024-09-28T16.00.22.709,0.250,70.671,-0.122,-70.610
1727528422719,2024-09-28T16.00.22.719,0.260,70.305,18.293,-59.085
1727528422729,2024-09-28T16.00.22.729,0.270,69.573,28.537,-45.793
1727528422739,2024-09-28T16.00.22.739,0.280,69.573,27.927,-33.598
1727528422749,2024-09-28T16.00.22.749,0.290,67.073,18.049,-26.829
1727528422759,2024-09-28T16.00.22.759,0.300,62.073,5.061,-27.439
1727528422769,2024-09-28T16.00.22.769,0.310,57.805,-5.061,-29.451
